"district","date","variable","value"
"1",1980-01-01,"eddi3",-0.367545517479501
"10",1980-01-01,"eddi3",-0.294028269893983
"11",1980-01-01,"eddi3",0.980065848827362
"12",1980-01-01,"eddi3",0.457905978728563
"13",1980-01-01,"eddi3",0.536184734768338
"14",1980-01-01,"eddi3",-0.00434208952862283
"15",1980-01-01,"eddi3",0.0348719477653503
"16",1980-01-01,"eddi3",0.164044886827469
"17",1980-01-01,"eddi3",-0.111432820558548
"18",1980-01-01,"eddi3",-0.00460008212498256
"19",1980-01-01,"eddi3",-0.204653056300416
"2",1980-01-01,"eddi3",-0.488589898745219
"20",1980-01-01,"eddi3",0.940833099377461
"21",1980-01-01,"eddi3",0.930861240625381
"22",1980-01-01,"eddi3",0.928983375430107
"23",1980-01-01,"eddi3",0.668128329515457
"24",1980-01-01,"eddi3",0.555579379200935
"25",1980-01-01,"eddi3",0.871045159442084
"26",1980-01-01,"eddi3",0.96910107533137
"27",1980-01-01,"eddi3",0.958501160144806
"28",1980-01-01,"eddi3",0.82248153951433
"29",1980-01-01,"eddi3",0.889405276094164
"3",1980-01-01,"eddi3",0.0416977947408503
"30",1980-01-01,"eddi3",0.745605023283707
"31",1980-01-01,"eddi3",0.796258782347043
"32",1980-01-01,"eddi3",-0.414235190341347
"33",1980-01-01,"eddi3",0.0771277972630092
"34",1980-01-01,"eddi3",-0.315774363279343
"35",1980-01-01,"eddi3",0.646503553670995
"36",1980-01-01,"eddi3",1.06864841779073
"37",1980-01-01,"eddi3",0.939270282492918
"38",1980-01-01,"eddi3",1.03989783426126
"39",1980-01-01,"eddi3",0.587815440618075
"4",1980-01-01,"eddi3",0.280891454219818
"40",1980-01-01,"eddi3",0.472235574954894
"41",1980-01-01,"eddi3",0.122341379523277
"42",1980-01-01,"eddi3",0.338394392620433
"43",1980-01-01,"eddi3",0.393216362223029
"44",1980-01-01,"eddi3",-0.258705754578114
"45",1980-01-01,"eddi3",0.766815192997456
"47",1980-01-01,"eddi3",0.615955747407058
"48",1980-01-01,"eddi3",0.67405241727829
"49",1980-01-01,"eddi3",-0.158633194863796
"5",1980-01-01,"eddi3",-0.0253492891788483
"50",1980-01-01,"eddi3",0.802578045262231
"51",1980-01-01,"eddi3",0.9195446819067
"52",1980-01-01,"eddi3",0.944274624188741
"53",1980-01-01,"eddi3",0.663811726229531
"54",1980-01-01,"eddi3",0.273016393184662
"55",1980-01-01,"eddi3",-0.223937998215357
"56",1980-01-01,"eddi3",0.104527354240417
"57",1980-01-01,"eddi3",0.394357472658157
"58",1980-01-01,"eddi3",0.537090960144997
"59",1980-01-01,"eddi3",1.05458142643883
"6",1980-01-01,"eddi3",-0.200618892908096
"60",1980-01-01,"eddi3",0.189934742450714
"61",1980-01-01,"eddi3",-0.120618790388107
"62",1980-01-01,"eddi3",0.92413405418396
"63",1980-01-01,"eddi3",0.120278411441379
"64",1980-01-01,"eddi3",-0.45888978121232
"65",1980-01-01,"eddi3",-0.350937801178056
"66",1980-01-01,"eddi3",0.108679314454397
"67",1980-01-01,"eddi3",0.00197405025765703
"68",1980-01-01,"eddi3",0.542070437561382
"69",1980-01-01,"eddi3",0.00766992568969727
"7",1980-01-01,"eddi3",0.337946200370789
"70",1980-01-01,"eddi3",0.475827727999006
"71",1980-01-01,"eddi3",0.420663180558578
"72",1980-01-01,"eddi3",0.496403184201982
"73",1980-01-01,"eddi3",0.291656692822774
"76",1980-01-01,"eddi3",0.315570116043091
"77",1980-01-01,"eddi3",0.812691390514374
"78",1980-01-01,"eddi3",0.856626297036807
"79",1980-01-01,"eddi3",0.278120070695877
"8",1980-01-01,"eddi3",-0.212336525321007
"80",1980-01-01,"eddi3",0.547308287837289
