basin,name,id,node_id,admin,decree,priority,on_off
colorado,ALBER DITCH,3600507.01,3600507,12950.00000,1.00,1,1
colorado,ALBER DITCH,3600507.02,3600507,13301.00000,1.37,2,1
colorado,ALBER DITCH,3600507.03,3600507,17806.00000,1.00,3,1
colorado,ALBER DITCH,3600507.04,3600507,22964.21102,2.13,4,1
colorado,ALBER DITCH,3600507.05,3600507,30184.23162,5.50,5,1
colorado,ED WARD DITCH,3600603.01,3600603,19239.00000,3.50,1,1
colorado,ED WARD DITCH,3600603.02,3600603,20228.00000,1.25,2,1
colorado,ED WARD DITCH,3600603.03,3600603,32075.20228,6.21,3,1
colorado,ED WARD DITCH,3600603.04,3600603,32075.25707,6.02,4,1
colorado,ELLIOTT CREEK FEEDER,3600606.01,3600606,31258.00000,90.00,1,1
colorado,GREEN MOUNTAIN CANAL,3600642.01,3600642,19909.00000,6.35,1,1
colorado,GREEN MOUNTAIN CANAL,3600642.02,3600642,49673.49466,10.00,2,1
colorado,GREEN MOUNTAIN CANAL,3600642.03,3600642,49798.00000,3.00,3,1
colorado,GREEN MOUNTAIN CANAL,3600642.04,3600642,52230.49466,10.00,4,1
colorado,GREEN MOUNTAIN CANAL,3600642.05,3600642,53325.49773,3.00,5,1
colorado,GUTHRIE THOMAS DITCH,3600645.01,3600645,17288.00000,5.00,1,1
colorado,GUTHRIE THOMAS DITCH,3600645.02,3600645,19919.00000,2.50,2,1
colorado,GUTHRIE THOMAS DITCH,3600645.03,3600645,20294.00000,2.50,3,1
colorado,GUTHRIE THOMAS DITCH,3600645.04,3600645,21975.20392,10.00,4,1
colorado,GUTHRIE THOMAS DITCH,3600645.05,3600645,32075.23878,14.00,5,1
colorado,GUTHRIE THOMAS DITCH,3600645.06,3600645,33846.00000,3.38,6,1
colorado,UTE CREEK NO 1,3600649_D.01,3600649_D,11110.00000,1.00,1,1
colorado,UTE CREEK NO 2,3600649_D.02,3600649_D,11114.00000,1.00,2,1
colorado,BRUSH CREEK DITCH,3600649_D.03,3600649_D,11840.00000,3.50,3,1
colorado,SLATE CREEK DITCH,3600649_D.04,3600649_D,14093.00000,13.40,4,1
colorado,UTE CREEK NO 3,3600649_D.05,3600649_D,17363.00000,1.25,5,1
colorado,HAMILTON DAVIDSON DITCH,3600649_D.06,3600649_D,19180.00000,4.00,6,1
colorado,HAMILTON DAVIDSON DITCH,3600649_D.07,3600649_D,20615.00000,4.00,7,1
colorado,SLATE CREEK DITCH,3600649_D.08,3600649_D,20615.00000,8.00,8,1
colorado,HAMILTON DAVIDSON DITCH,3600649_D.09,3600649_D,23296.22888,8.00,9,1
colorado,SLATE CREEK DITCH,3600649_D.10,3600649_D,25715.24262,2.00,10,1
colorado,BRUSH CREEK DITCH,3600649_D.11,3600649_D,32075.17167,9.60,11,1
colorado,HAMILTON DAVIDSON DITCH,3600649_D.12,3600649_D,32075.23660,22.00,12,1
colorado,SLATE CREEK DITCH,3600649_D.13,3600649_D,32075.25566,4.00,13,1
colorado,HAMILTON DAVIDSON DITCH,3600649_D.14,3600649_D,32075.30102,12.39,14,1
colorado,SLATE CREEK DITCH,3600649_D.15,3600649_D,49673.47786,3.00,15,1
colorado,HIGHLINE DITCH(SLATE CR),3600649_D.16,3600649_D,49673.47786,3.00,16,1
colorado,HIGHLINE DITCH,3600658.01,3600658,23296.22431,3.40,1,1
colorado,HIGHLINE DITCH,3600658.02,3600658,36311.00000,8.00,2,1
colorado,HIGH MILLER DITCH,3600660.01,3600660,12936.00000,6.00,1,1
colorado,HIGH MILLER DITCH,3600660.02,3600660,30184.18262,2.00,2,1
colorado,HIGH MILLER DITCH,3600660.03,3600660,30184.23526,17.10,3,1
colorado,HOAGLAND CANAL (SPRING),3600662_D.01,3600662_D,22964.22029,2.00,1,1
colorado,HOAGLAND CANAL (MARTIN),3600662_D.02,3600662_D,22964.22029,10.00,2,1
colorado,HOAGLAND CANAL(N SPRING),3600662_D.03,3600662_D,22964.22029,1.00,3,1
colorado,HOAGLAND CANAL (SPRUCE),3600662_D.04,3600662_D,22964.22029,5.00,4,1
colorado,HOAGLAND CANAL (ELLIOT),3600662_D.05,3600662_D,22964.22029,25.00,5,1
colorado,HOAGLAND CANAL (SMITH),3600662_D.06,3600662_D,22964.22029,0.50,6,1
colorado,HOAGLAND CANAL (DEEP CR),3600662_D.07,3600662_D,22964.22029,25.00,7,1
colorado,HOAGLAND CANAL(N SPRUCE),3600662_D.08,3600662_D,22964.22029,2.00,8,1
colorado,HOAGLAND CANAL (BENTON),3600662_D.09,3600662_D,22964.22029,3.00,9,1
colorado,HOAGLAND CANAL SPRUCE,3600662_D.99,3600662_D,99999.00000,999.00,10,1
colorado,INDEPENDENT BLUE DITCH,3600671.01,3600671,14397.00000,1.50,1,1
colorado,INDEPENDENT BLUE DITCH,3600671.02,3600671,14884.00000,0.65,2,1
colorado,INDEPENDENT BLUE DITCH,3600671.03,3600671,22965.22553,1.50,3,1
colorado,INDEPENDENT BLUE DITCH,3600671.04,3600671,32075.25780,2.00,4,1
colorado,INDEPENDENT BLUE DITCH,3600671.05,3600671,32075.31166,18.80,5,1
colorado,INDEPENDENT BLUE DITCH,3600671.06,3600671,35929.00000,15.00,6,1
colorado,KIRKWOOD DITCH,3600687.01,3600687,9324.00000,3.25,1,1
