"district","variable","vif"
1,"aet",1.58933116674924
1,"eddi1",1.58933116674924
2,"pdsi",2.61269120830588
2,"tmax",2.78982784239775
2,"aet",4.18341997856453
4,"aet",NA
5,"soilm",1.24286762416031
5,"aet",1.24286762416031
6,"spi3",1.55167135586799
6,"tmax",1.55167135586799
7,"pet",1.32984635409778
7,"swe",1.32984635409778
8,"spi9",NA
9,"spi6",NA
23,"spi6",1.7245745502467
23,"tmax",1.79206199569974
23,"eddi6",2.02377161235333
28,"spi3",1.72195617480506
28,"tmax",1.85487989660801
28,"pet",2.26508425577635
29,"spi1",NA
30,"spi6",NA
31,"eddi1",2.08761514958705
31,"eddi12",2.08761514958705
32,"tmin",1.13556047264128
32,"spi1",2.84622977101593
32,"eddi1",3.06086546477689
33,"spi1",NA
34,"tmax",1.9026380309882
34,"spi3",3.1313637084759
34,"eddi3",3.55811595783108
36,"spi6",1.90537397514053
36,"pet",1.90537397514053
37,"swe",3.32103537500805
37,"prcp",5.10204461588896
37,"pdsi",5.88306225875002
38,NA,NA
39,"eddi6",1.46007371946191
39,"tmax",1.81395513251884
39,"spi3",2.01397161104796
40,"spi3",NA
41,"pet",NA
42,NA,NA
43,"soilm",4.38785578421901
43,"aet",8.70746727069162
43,"spi3",14.5252592754234
45,"eddi3",1.48796263549453
45,"tmax",1.80452521969569
45,"spi6",16.7140869297862
50,"spi3",NA
51,"eddi3",1.35544793773988
51,"tmin",1.35544793773988
52,"tavg",NA
53,"pdsi",3.35738090967526
53,"aet",17.3399245496475
53,"prcp",21.5619064244116
54,"spi6",NA
55,"tmax",NA
56,NA,NA
57,"aet",2.60744049906971
57,"pdsi",2.60744049906971
58,"spi3",NA
59,"spi1",NA
60,"eddi12",2.34607989430094
60,"spi3",3.17386585019332
60,"pdsi",5.31494734843568
61,"spi12",2.11039214823602
61,"eddi12",2.11039214823602
62,"tavg",1.46870805860749
62,"spi3",1.66055356028369
62,"pet",1.94888657390447
63,"pet",1.77138208437329
63,"swe",1.96574435891486
63,"spi6",2.02482235294693
64,"eddi1",1.10889241137343
64,"spi12",1.10889241137343
68,"spi1",11.2748235387996
68,"prcp",11.2748235387996
69,"spi1",NA
70,"spi6",NA
71,"spi12",NA
72,"spi3",1.72379896942698
72,"tmax",1.72379896942698
73,"pet",1.63514409814982
73,"soilm",2.1734302215977
73,"aet",4.761006969032
77,"eddi6",3.04505867500746
77,"spi6",5.00722935032639
77,"pdsi",7.40619831731609
78,"pet",1.74409534432332
78,"spi6",4.64114874377304
78,"pdsi",5.38953989129531
80,"tmax",1.93433691174209
80,"spi6",2.00030774962057
80,"eddi6",2.51217188985528
99,NA,NA
