id,name,admin,str,on_off,dest_id,dest_ac,sou1_id,sou1_ac,sou2_id,sou2_ac,type,reuse_plan,div_type,opr_loss,limit,io_beg,io_end,reservoir_id
HUPLimit.01,Annual_HUP_Pool_Release_Limit,1.00000,0.,1,NA,1,HUPLimitPLN,4,0,0,47,NA,Diversion,0,1,0,9999 Annual Release Limit,HUPLimitPLN-4
66000.  66,000.  66000.  66000.  66000.  66000.  6,6000.  66000.  66,000.  66000,.,66000.  66000.,6600,0.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.
CSULimit.01,Annual_HUP_Pool_Release_Limit,1.00000,0.,1,NA,1,CSULimitPLN,4,0,0,47,NA,Diversion,0,1,0,9999 Annual Release Limit,CSULimitPLN-4
2100.  210,0.  2100.  2100.  2100.  2100.  2100.,2100.  2100.  210,0.  2100.,21,00.  2100.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
51040550.01,Opr Granby to AdamsTun,31258.00004,0.,1,5104634,1,5104055,1,0,0,3,NA,NA,0,0,0,9999 Reservoir Release to Car,5104055-1
51040550.02,Opr Granby Res bypass,31258.00001,0.,1,5104055_M,1,5104055,1,0,0,1,NA,NA,0,0,0,9999 Reservoir Release to Ins,5104055-1
51040550.03,Opr Granby to ShadMtnRes,31258.00003,0.,1,5103695,-2,5104055,1,0,0,3,NA,NA,0,0,0,9999 Reservoir Release to Car,5104055-1
51040550.04,Opr Granby to target,99999.99999,0.,1,0,0,5104055,0,0,0,9,NA,NA,0,0,0,9999 Reservoir Release to Tar,5104055
51040550.05,Op GBRes temp5413->USFWS,99999.93001,12.,1,7202003,1,5104055,3,0,0,2,NA,NA,0,0,0,9999 Reservoir Release to Dem,5104055-3
51040550.06,Trans Granby->temp5413,99999.95000,12.,1,5104055,3,5104055,1,0,0,6,NA,NA,0,0,0,9999 Paper Exchange Between R,5104055-1
51036950.01,Opr Shadow Mtn to target,99999.99999,0.,1,0,0,5103695,0,0,0,9,NA,NA,0,0,0,9999 Reservoir Release to Tar,5103695
51009580.01,Opr WCrkFeeder to Granby,31258.00000,0.,1,5104055,-2,5100958.01,1,0,1,14,NA,NA,0,0,0,9999 Carrier with Constrained,5100958.01-1
51037100.01,Opr WillowCrk to Granby,31258.00002,0.,1,5100958,1,5103710,1,0,0,2,NA,NA,0,0,0,9999 Reservoir to a Direct Fl,5103710-1
51037100.02,Opr Willow Cr Res target,99999.99999,0.,1,0,0,5103710,0,0,0,9,NA,NA,0,0,0,9999 Reservoir Release to Tar,5103710
51047000.01,Opr Windy Gap  to Granby,47671.00001,0.,1,5104055,-2,5104700.01,1,0,1,14,NA,NA,0,0,0,9999 Carrier with Constrained,5104700.01-1
51047000.02,Opr Windy Gap  to Granby,47671.00002,0.,1,5104055,-2,5104700.02,1,0,1,14,NA,NA,0,0,0,9999 Carrier with Constrained,5104700.02-1
51047000.03,Opr Windy Gap  to Granby,47671.00003,0.,1,5104055,-2,5104700.03,1,0,1,14,NA,NA,0,0,0,9999 Carrier with Constrained,5104700.03-1
36006060.01,Opr Elliot to Green Mtn,31258.00000,1.,1,3603543,-5,3603543.01,0,3600606,0,11,NA,NA,0,0,0,9999 Carrier to a Ditch or Re,3603543.01
36006060.02,Opr Elliot to GM Power,31258.00000,1.,1,3600881,1,3600881.01,0,3600606,0,11,NA,NA,0,0,0,9999 Carrier to a Ditch or Re,3600881.01
36035430.01,Opr GreenMtn - Granby Ex,31258.00011,0.,1,5104055,-2,3603543,2,0,0,5,NA,NA,0,0,0,9999 Reservoir Exchange to St,3603543-2
36035430.02,Opr GreenMtn-WillowCr Ex,31258.00018,0.,1,5103710,-2,3603543,2,0,0,5,NA,NA,0,0,0,9999 Reservoir Exchange to St,3603543-2
36035430.03,Opr GreenMtn-ShadowMtnEx,31258.00025,0.,1,5103695,-2,3603543,2,0,0,5,NA,NA,0,0,0,9999 Reservoir Exchange to St,3603543-2
36035430.04,Opr GM-WillowCr Feeder,31258.00032,0.,1,51009580.01,1,3603543,2,0,0,7,NA,NA,0,0,0,9999 Reservoir to a Carrier b,3603543-2
36035430.05,Opr GMT-Silt Project,39041.00007,1.,1,3903505_I,1,3603543,4,0,1,2,NA,NA,0,0,0,9999 Reservoir to a Direct Fl,3603543-4
36035430.11,Opr GM Replacement(futr),46674.00000,0.,1,0,1,3603543,1,0,0,10,NA,NA,0,2,0,9999 Gen'l Replacement Releas,3603543-1
36035430.12,Opr GM=>Govt Highl(futr),46674.00000,1.,1,7200646_I,1,3603543,1,0,1,27,NA,Diversion,-1,2,0,9999 Reservoir or ReUse Plan,3603543-1
36035430.13,Opr GM=>OMID Irr (futr),46674.00000,1.,1,7200813,1,3603543,1,0,1,27,NA,Diversion,-1,2,0,9999 Reservoir or ReUse Plan,3603543-1
36035430.14,Opr GM=>OMID Pump (futr),46674.00000,1.,1,7200813PP,1,3603543,1,0,0,27,NA,Diversion,-1,2,0,9999 Reservoir or ReUse Plan,3603543-1
36035430.15,Opr GM-Vail(muni)-nonirr,42420.41373,0.,1,37VAILMUN,1,3603543,3,0,0,4,NA,NA,0,0,0,9999 Reservoir Exchange to a,3603543-3
36035430.16,Opr GMCont - ATKINSON,49308.48667,0.,1,3800516,1,3603543,3,0,0,4,NA,NA,0,0,0,9999 Reservoir Exchange to a,3603543-3
36035430.17,Opr GMContract - NEEDHAM,46751.42648,0.,1,3800902,1,3603543,3,0,0,4,NA,NA,0,0,0,9999 Reservoir Exchange to a,3603543-3
36035430.18,Opr GMContract - DERBY,47481.12662,0.,1,5300555_D,1,3603543,3,0,0,4,NA,NA,0,0,0,9999 Reservoir Exchange to a,3603543-3
36035430.19,Opr GMCont - COON PIPE,46995.00007,0.,0,7201339,1,3603543,3,0,0,4,NA,NA,0,0,0,9999 Reservoir Exchange to a,3603543-3
36035430.20,Opr GM-Agg Cont Users,48966.00007,0.,1,36GMCON,1,3603543,3,0,0,2,NA,NA,0,0,0,9999 Reservoir to a Direct Fl,3603543-3
36035430.21,Opr GreenMtn target,99999.99999,0.,1,0,0,3603543,1,0,0,9,NA,NA,0,0,0,9999 Reservoir Release to Tar,3603543-1
36035430.22,Opr GreenMtn target,99999.99999,0.,1,0,0,3603543,3,0,0,9,NA,NA,0,0,0,9999 Reservoir Release to Tar,3603543-3
36035430.23,Opr GreenMtn target,99999.99999,0.,1,0,0,3603543,4,0,0,9,NA,NA,0,0,0,9999 Reservoir Release to Tar,3603543-4
36035430.24,Opr GreenMtn target,100000.00000,0.,1,0,0,3603543,2,0,0,9,NA,NA,0,0,0,9999 Reservoir Release to Tar,3603543-2
36035430.25,Opr_HUP_to_Fish_Flow,99999.93008,12.,1,7202003,1,3603543,1,0,0,2,NA,NA,0,0,0,9999 Reservoir to a Direct Fl,3603543-1
36035430.26,Opr_1955_B_R_Decree_Exch,38628.00000,-16.,1,3603543,-5,3603543.04,0,NA,0,41,NA,Diversion,0,0,0,9999 Reservoir Storage With S,3603543.04
36035430.27,Opr GM=>Molina,46674.00000,1.,1,72_UWCD,1,3603543,1,0,0,28,NA,Diversion,-1,2,0,9999 Reservoir or ReUse Plan,3603543-1
36035430.28,Opr GM=>Plateau,46674.00000,1.,1,72_UWCD,1,3603543,1,0,0,28,NA,Diversion,-1,2,0,9999 Reservoir or ReUse Plan,3603543-1
36035430.29,Opr GM=>Ute Col Riv,46674.00000,1.,1,72_UWCD,1,3603543,1,0,0,27,NA,Diversion,-1,2,0,9999 Reservoir or ReUse Plan,3603543-1
364683SU0.01,Opr 1929 to Hoosier Tunn,30184.29071,0.,1,3604683SU,1,3604699.01,0,NA,0,11,NA,NA,0,0,0,9999 Carrier Right to a Ditch,3604699.01
364683SU0.02,Opr Mod 1948 rt to Hoosier Tun,35927.00000,0.,1,3604683SU,1,3604683.01,0,NA,0,11,NA,NA,0,0,0,9999 Carrier Right to a Ditch,3604683.01
3604683SU0.3,Opr_OOP_Cont_Hoosier,31257.99995,12.,1,3604683SU,1,3603543.01,0,3604683.01,0,38,3604683PL,Diversion,0,0,0,9999 Out of Priority Diversion,3603543.01
3604683PL0.1,Opr_Reset_C-Hoosier_Plan,99999.99999,12.,1,NA,0,3604683PL,0,NA,0,42,NA,NA,0,0,NA,Plan Demand Reset,3604683PL
36035700.01,Opr ContHoosRes to Tun,35927.00002,0.,1,3604683SU,1,3603570,1,0,0,3,NA,NA,0,0,0,9999 Reservoir Release to Car,3603570-1
