"ID","Name/ Description","Data Type","Time Step","Sequence ID","Units","Start","End","Input Type","Input Name"
0102513_Rn,N Rothe Recharge Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102513_Rn-1,N Rothe Recharge Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102513_Rs,S Rothe Recharge Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102513_Rs-1,S Rothe Recharge Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102518_R,Pioneer Recharge Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102518_R-1,Pioneer Recharge Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102522_R,Riverside Recharge Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102522_R-1,Riverside Recharge Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102528_R,Ft Morgan Canal Recharge,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102528_R-1,Ft Morgan Canal Recharge - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102529_R,Upper PB Recharge Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102529_R-1,Upper PB Recharge Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102535_R,Lower PB Recharge Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0102535_R-1,Lower PB Recharge Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103339_R,Bijou Aug Recharge Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103339_R-1,Bijou Aug Recharge Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103570,Bijou Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103570-1,Bijou Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103592,HenrylynReservoirSystem,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103592-1,HenrylynReservoirSystem - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103651,Riverside Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103651-1,Riverside Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103651-2,Riverside Res - Account 2,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103816,Empire Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103816-1,Empire Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103817,Jackson Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103817-1,Jackson Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103817-2,Jackson Res - Account 2,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103817-3,Jackson Res - Account 3,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103817-4,Jackson Res - Account 4,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103817-5,Jackson Res - Account 5,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103817-6,Jackson Res - Account 6,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103817-7,Jackson Res - Account 7,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0103817-8,Jackson Res - Account 8,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
01_ARP001,WD 1 Agg Res,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
01_ARP001-1,WD 1 Agg Res - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
