"date","year","district","demand","supply","supply_dir","aug_supply","short","short_dir","aug_supply_pct_dem","short_pct_dem","short_dir_pct_dem"
1970-10-01,1970,"01",5683.9999,6016.3489,1780,4236.3489,57,3903.9999,74.531,1.003,68.684
1970-11-01,1971,"01",0,0,0,0,0,0,0,0,0
1970-12-01,1971,"01",0,0,0,0,0,0,0,0,0
1971-01-01,1971,"01",0,0,0,0,0,0,0,0,0
1971-02-01,1971,"01",0,0,0,0,0,0,0,0,0
1971-03-01,1971,"01",0,3e-04,0,3e-04,0,0,0,0,0
1971-04-01,1971,"01",22295.9997,22242.0073,8132.9999,14109.0074,54,14162.9998,63.28,0.242,63.523
1971-05-01,1971,"01",67752,68073.2407,31896.4885,36176.7522,250.5116,35855.5115,53.396,0.37,52.922
1971-06-01,1971,"01",93481.0036,96755.846,37768.0005,58987.8455,275,55713.0031,63.101,0.294,59.598
1971-07-01,1971,"01",122126.9965,124437.5714,45746.604,78690.9674,780.3974,76380.3925,64.434,0.639,62.542
1971-08-01,1971,"01",116337.0003,120711.7064,28898.1286,91813.5778,216.0003,87438.8717,78.92,0.186,75.16
1971-09-01,1971,"01",33709,34250.0833,10819,23431.0833,104.0003,22890,69.51,0.309,67.905
1971-10-01,1971,"01",6161.0001,6404.3726,1552,4852.3726,93.0002,4609.0001,78.759,1.509,74.809
1971-11-01,1972,"01",0,0,0,0,0,0,0,0,0
1971-12-01,1972,"01",0,0,0,0,0,0,0,0,0
1972-01-01,1972,"01",0,0,0,0,0,0,0,0,0
1972-02-01,1972,"01",0,0,0,0,0,0,0,0,0
1972-03-01,1972,"01",2143,2280.4397,801,1479.4397,6,1342,69.036,0.28,62.622
1972-04-01,1972,"01",42637.9999,42493.2353,15759.5042,26733.7311,148.0001,26878.4957,62.699,0.347,63.039
1972-05-01,1972,"01",90200.0004,91106.3075,34024.9464,57081.3611,259.2436,56175.0542,63.283,0.287,62.278
1972-06-01,1972,"01",86874.9977,90587.9696,35844.9997,54742.9699,184.0009,51029.998,63.013,0.212,58.74
1972-07-01,1972,"01",97893.0002,100525.3097,30427.2758,70098.0339,220,67465.7244,71.607,0.225,68.918
1972-08-01,1972,"01",75493.0009,78306.8441,26710.771,51596.0731,148.0009,48782.2299,68.346,0.196,64.618
1972-09-01,1972,"01",58803.0011,59932.1021,20411.0002,39521.1019,139.0008,38392.0009,67.209,0.236,65.289
1972-10-01,1972,"01",12467.9999,13289.5836,4369.9999,8919.5837,92.0002,8098,71.54,0.738,64.95
