"district","type","extraction_template","pathrepl","noderepl","varrepl","typerepl","final"
"01","IrrigDemand","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""01_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""01*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""01_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""01*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""01_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""01*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""01_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""01*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")"
"02","IrrigDemand","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""02_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""02*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""02_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""02*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""02_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""02*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""02_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""02*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")"
"04","IrrigDemand","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""04_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""04*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""04_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""04*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""04_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""04*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""04_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""04*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")"
"05","IrrigDemand","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""05_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""05*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""05_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""05*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""05_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""05*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""05_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""05*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")"
"06","IrrigDemand","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""06_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""06*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""06_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""06*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""06_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""06*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""06_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""06*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")"
"07","IrrigDemand","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""07_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""07*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""07_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""07*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""07_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""07*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""07_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""07*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")"
"08","IrrigDemand","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""08_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""08*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""08_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""08*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""08_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""08*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""08_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""08*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")"
"09","IrrigDemand","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""09_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""09*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""09_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""09*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""09_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""09*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""09_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""09*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")"
"23","IrrigDemand","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""23_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""23*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""23_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""23*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""23_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""23*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""23_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""23*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")"
"28","IrrigDemand","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""NODEREPL_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""NODEREPL*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""28_AGG_VARREPL"",AddTSList=AllMatchingTSID,AddTSID=""28*VARREPL*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""28_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""28*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""28_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""28*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")","Add(TSID=""28_AGG_IrrigDemand"",AddTSList=AllMatchingTSID,AddTSID=""28*IrrigDemand*"",HandleMissingHow=""IgnoreMissing"")"
