"model","district","node_type","type","best_guess_type","from_iwr","from_ddm","from_wem","id","name_description","data_type","time_step","sequence_id","units","start","end","input_type","input_name"
"South Platte","20","_DIV","Carrier",NA,NA,0,NA,"2003","FordRechargeDivn","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","37","_DIV","Carrier",NA,NA,0,NA,"3700","EastGravelLakesDivn","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","64","_DIV","Irrigation",NA,1954,371,NA,"6400542","MCWILLIAMS CANAL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_DIV","Irrigation",NA,NA,0,NA,"0100501","Empire Canal","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"Colorado","42","_DIV","Irrigation",NA,1078,13640.29,NA,"4200541_I","Redlands Power Canal Irr","Total_Demand","Month",NA,"ACFT","1949-10","2013-09","StateModB","D:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\cm2015\cm2015B.b43"
"Gunnison","41","_DIV","Irrigation",NA,1054,106694,NA,"4100534_D","UNCO_IRONSTONE CANAL","Total_Demand","Month",NA,"ACFT","1949-10","2013-09","StateModB","D:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\gm2015\gm2015B.b43"
"South Platte","01","_DIV","Carrier",NA,NA,0,NA,"0100513","Jackson Lake Inlet","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"Gunnison","62","_DIV","Irrigation",NA,1200,22366,NA,"6200560_I","Cimmaron_Canal","Total_Demand","Month",NA,"ACFT","1949-10","2013-09","StateModB","D:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\gm2015\gm2015B.b43"
"South Platte","08","_FLO","Gage",NA,1857,7385,0,"0801004","HIGHLINE CNL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","23","_FLO","Gage",NA,1891,172,NA,"2300760","SACRAMENTO DITCH","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
