"Date","01_AGG_IrrigDemand","01_AGG_IrrigSupply","01_AGG_IrrigShortage","01_AGG_IrrigSupDirectFlow","01_AGG_MunDemand","01_AGG_MunSupply","01_AGG_MunShortage","0100507_I_IrrigDemand","0100507_I_IrrigSupply","0100507_I_IrrigShortage","0100507_I_IrrigSupDirectFlow","0100620_IrrigDemand","0100620_IrrigSupply","0100620_IrrigShortage","0100620_IrrigSupDirectFlow","0100517_IrrigDemand","0100517_IrrigSupply","0100517_IrrigShortage","0100517_IrrigSupDirectFlow","0100570_IrrigDemand","0100570_IrrigSupply","0100570_IrrigShortage","0100570_IrrigSupDirectFlow","0100514_IrrigDemand","0100514_IrrigSupply","0100514_IrrigShortage","0100514_IrrigSupDirectFlow","0100520_IrrigDemand","0100520_IrrigSupply","0100520_IrrigShortage","0100520_IrrigSupDirectFlow","0103817_I_IrrigDemand","0103817_I_IrrigSupply","0103817_I_IrrigShortage","0103817_I_IrrigSupDirectFlow","0100526_IrrigDemand","0100526_IrrigSupply","0100526_IrrigShortage","0100526_IrrigSupDirectFlow","0100518_IrrigDemand","0100518_IrrigSupply","0100518_IrrigShortage","0100518_IrrigSupDirectFlow","0100565_IrrigDemand","0100565_IrrigSupply","0100565_IrrigShortage","0100565_IrrigSupDirectFlow","0100687_I_IrrigDemand","0100687_I_IrrigSupply","0100687_I_IrrigShortage","0100687_I_IrrigSupDirectFlow","0100503_I_IrrigDemand","0100503_I_IrrigSupply","0100503_I_IrrigShortage","0100503_I_IrrigSupDirectFlow","01_ADP037_IrrigDemand","01_ADP037_IrrigSupply","01_ADP037_IrrigShortage","01_ADP037_IrrigSupDirectFlow","0100525_IrrigDemand","0100525_IrrigSupply","0100525_IrrigShortage","0100525_IrrigSupDirectFlow","0100519_D_IrrigDemand","0100519_D_IrrigSupply","0100519_D_IrrigShortage","0100519_D_IrrigSupDirectFlow","0100688_IrrigDemand","0100688_IrrigSupply","0100688_IrrigShortage","0100688_IrrigSupDirectFlow","0100515_IrrigDemand","0100515_IrrigSupply","0100515_IrrigShortage","0100515_IrrigSupDirectFlow","0100511_IrrigDemand","0100511_IrrigSupply","0100511_IrrigShortage","0100511_IrrigSupDirectFlow"
"1970-10",5740.9999,6075.4182,57,1837,NA,NA,NA,668,788.1379,0,0,43,1,42,0,40,47.7158,0,40,0,0,0,0,200,249.6115,0,200,45,45,0,23,23,23,0,0,146,164.156,0,91,318,367.7793,0,318,15,0,15,0,2141,2141,0,0,936.9999,937,0,0,57,59.0693,0,57,87,100.2445,0,87,153,183.1897,0,153,220,220,0,220,335,383.6385,0,335,313,364.8757,0,313
"1970-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1971-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1971-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1971-03",0,3e-04,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0
"1971-04",22326.9996,22274.0419,54,8163.9999,NA,NA,NA,7400,7400.0034,0,0,36,0,36,0,156,156,0,156,0,0,0,0,1073,1073,0,1073,55,55,0,15,33,33,0,0,318,318,0,318,1947,1947,0,1947,18,0,18,0,2859,2859,0,0,3776.9998,3777.0039,0,0,31,32.0346,0,31,185,185,0,185,639,639.0001,0,639,300,300,0,300,1800,1800,0,1800,1699.9999,1699.9999,0,1699.9999
"1971-05",68017.0001,68135.1225,453.6299,31957.9771,NA,NA,NA,12052,12052.0146,0,0,86,0,86,0,1450.0001,1450.0001,0,1450.0001,52,7,45,0,6035.0005,6035.0005,0,6035.0005,183,109.4885,73.5115,61.4885,104,104,0,0,839.9999,839.9999,0,839.9999,6475.9995,6475.9995,0,6475.9995,46,0,46,0,9692,10034.7969,0,0,13702,13911.6416,0,0,265,61.8817,203.1183,61.4885,947,947,0,947,1358,1377.2991,0,1358,497,497,0,497,7252,7252,1e-04,7252,6980,6980,0,6980
"1971-06",94063.0036,96815.3509,797.4951,37827.5055,NA,NA,NA,14094.001,15078.2666,0,0,152,0,152,0,1270.0001,1278.1074,0,1270.0001,161,119,42,0,7610,7649.8135,0,7610,385,385,0,0,205,205,0,0,1313,1424.3202,0,1054,8094.0005,8802.6104,0,8094.0005,81,0,81,0,21878.002,21878.002,0,0,18398,19435.502,0,0,582.0001,59.505,522.495,59.505,1271.9999,1294.4504,0,1271.9999,2431,2687.124,0,2431,830.0001,830.0001,0,730,7425,7806.6494,0,7425,7882,7882,0,7882
"1971-07",122701.9966,124499.06,1293.9089,45808.0926,NA,NA,NA,23167.998,23772.1406,0,0,166,0,166,0,1197,1326.0704,0,1197,121,114,7,0,12721.001,12987.3389,0,12721.001,361,363.5209,0,57,255,255,0,0,1583.9999,1764.0464,0,1008.9999,8576.999,9627.001,0,8092,77,0,77,0,24914,24914,0,0,25527.998,25527.998,0,0,575,61.4885,513.5115,61.4885,1223.9999,1234.6991,0,1223.9999,2824.0002,3002.8245,0,2824.0002,832,832,0,575,7902.0005,8571.3291,0,7902.0005,10676,10145.6025,530.3974,10145.6025
"1971-08",116885.0002,120773.195,702.5118,28959.617,NA,NA,NA,19679,22233.9648,0,0,159,0,159,0,1127,1248.3179,0,1127,10,10,0,0,13100,13442.875,0,3407.6865,394,394,0,0,239,239,0,0,1492,1590.9581,0,562,7369.0005,8306.1045,0,3260.3582,57,0,57,0,28554,28554,3e-04,0,22080,22080,0,0,547.9999,61.4885,486.5115,61.4885,1304.9999,1304.9999,0,1304.9999,2527,2527,0,2527,768.9999,768.9999,0,427,7641,8176.4863,0,6447.084,9835,9835,0,9835
"1971-09",33832,34309.5884,167.4953,10878.505,NA,NA,NA,4909,5399.1196,0,0,71,0,71,0,296,303.9173,0,296,0,0,0,0,3333,3333.0554,0,3333,240,240,0,0,57,57,0,0,617,617,0,0,1796,1846.2361,0,716,33,0,33,0,9814,9814,3e-04,0,6069,6100.7544,0,0,123,59.505,63.495,59.505,487,487,0,487,837,861.3782,0,837,406,406,0,406,2173,2213.6223,0,2173,2571,2571,0,2571
"1971-10",6207.0001,6452.1462,93.0002,1598,NA,NA,NA,764.0001,901.4033,0,0,60,0,60,0,18,21.4221,0,18,0,0,0,0,190,237.1309,0,190,81,81,0,0,27,27,0,0,160,182.542,0,37,172,198.8177,0,172,33,0,33,0,2650,2650,0,0,871,871,0,0,46,47.7737,0,46,71,81.7398,0,71,160,159.9998,2e-04,160,347,347,0,347,214,245.0347,0,214,343,400.2823,0,343
"1971-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1971-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1972-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
