"Date","02_AGG_IrrigDemand","02_AGG_IrrigSupply","02_AGG_IrrigShortage","02_AGG_IrrigSupDirectFlow","02_AGG_MunDemand","02_AGG_MunSupply","02_AGG_MunShortage","0203837_I_IrrigDemand","0203837_I_IrrigSupply","0203837_I_IrrigShortage","0203837_I_IrrigSupDirectFlow","0200873_IrrigDemand","0200873_IrrigSupply","0200873_IrrigShortage","0200873_IrrigSupDirectFlow","0200809_IrrigDemand","0200809_IrrigSupply","0200809_IrrigShortage","0200809_IrrigSupDirectFlow","0200810_I_IrrigDemand","0200810_I_IrrigSupply","0200810_I_IrrigShortage","0200810_I_IrrigSupDirectFlow","0200817_I_IrrigDemand","0200817_I_IrrigSupply","0200817_I_IrrigShortage","0200817_I_IrrigSupDirectFlow","0200824_I_IrrigDemand","0200824_I_IrrigSupply","0200824_I_IrrigShortage","0200824_I_IrrigSupDirectFlow","0200808_I_IrrigDemand","0200808_I_IrrigSupply","0200808_I_IrrigShortage","0200808_I_IrrigSupDirectFlow","0200872_IrrigDemand","0200872_IrrigSupply","0200872_IrrigShortage","0200872_IrrigSupDirectFlow","0200805_I_IrrigDemand","0200805_I_IrrigSupply","0200805_I_IrrigShortage","0200805_I_IrrigSupDirectFlow","0200825_I_IrrigDemand","0200825_I_IrrigSupply","0200825_I_IrrigShortage","0200825_I_IrrigSupDirectFlow","0200837_I_IrrigDemand","0200837_I_IrrigSupply","0200837_I_IrrigShortage","0200837_I_IrrigSupDirectFlow","0200826_IrrigDemand","0200826_IrrigSupply","0200826_IrrigShortage","0200826_IrrigSupDirectFlow","0200915_IrrigDemand","0200915_IrrigSupply","0200915_IrrigShortage","0200915_IrrigSupDirectFlow","0200834_I_IrrigDemand","0200834_I_IrrigSupply","0200834_I_IrrigShortage","0200834_I_IrrigSupDirectFlow","0200812_I_IrrigDemand","0200812_I_IrrigSupply","0200812_I_IrrigShortage","0200812_I_IrrigSupDirectFlow","0200821_IrrigDemand","0200821_IrrigSupply","0200821_IrrigShortage","0200821_IrrigSupDirectFlow","0200822_IrrigDemand","0200822_IrrigSupply","0200822_IrrigShortage","0200822_IrrigSupDirectFlow","0203876_I_IrrigDemand","0203876_I_IrrigSupply","0203876_I_IrrigShortage","0203876_I_IrrigSupDirectFlow","0200836_IrrigDemand","0200836_IrrigSupply","0200836_IrrigShortage","0200836_IrrigSupDirectFlow","0200813_I_IrrigDemand","0200813_I_IrrigSupply","0200813_I_IrrigShortage","0200813_I_IrrigSupDirectFlow","0200830_IrrigDemand","0200830_IrrigSupply","0200830_IrrigShortage","0200830_IrrigSupDirectFlow","0200828_I_IrrigDemand","0200828_I_IrrigSupply","0200828_I_IrrigShortage","0200828_I_IrrigSupDirectFlow","02_ADP003_IrrigDemand","02_ADP003_IrrigSupply","02_ADP003_IrrigShortage","02_ADP003_IrrigSupDirectFlow","0200871_IrrigDemand","0200871_IrrigSupply","0200871_IrrigShortage","0200871_IrrigSupDirectFlow","0200874_IrrigDemand","0200874_IrrigSupply","0200874_IrrigShortage","0200874_IrrigSupDirectFlow","02_Nglenn_I_MunDemand","02_Nglenn_I_MunSupply","02_Nglenn_I_MunShortage","02_Nglenn_O_MunDemand","02_Nglenn_O_MunSupply","02_Nglenn_O_MunShortage","02_Thorn_I_MunDemand","02_Thorn_I_MunSupply","02_Thorn_I_MunShortage","02_Thorn_O_MunDemand","02_Thorn_O_MunSupply","02_Thorn_O_MunShortage","02_Westy_I_MunDemand","02_Westy_I_MunSupply","02_Westy_I_MunShortage","02_Westy_O_MunDemand","02_Westy_O_MunSupply","02_Westy_O_MunShortage"
"1970-10",7534,8445.4349,4.0943,832.0003,3556.5899,3556.5899,0,1223,1286.8961,0,0,75,82.9734,0,75,440,496.9511,0,440,159,185.0387,0,0,767,812.676,0,0,299,349.4465,0,0,725.0001,818.1096,0,0,88,98.232,0,88,191,516.3826,0,0,357,387.6748,0,0,80,89.6,0,0,45,47.7,0,45,452,452,0,0,371,384.9016,0,0,317,390.0085,0,0,97,112.142,0,1e-04,198,214.1243,0,1e-04,405,423.9262,0,0,43,49.65,0,43,244,269.2091,0,0,77,84.1873,0,1e-04,247,254.8411,0,0,32,37.2383,0,32,564,559.9057,4.0943,71,38,41.62,0,38,219.15,219.15,0,183.94,183.94,0,910.33,910.33,0,764.05,764.05,0,782.0699,782.0699,0,697.05,697.05,0
"1970-11",0,0,0,0,1911.5501,1911.5501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.3301,910.3301,0,0,0,0,782.07,782.07,0,0,0,0
"1970-12",97,97,0,0,1911.55,1911.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.0699,782.0699,0,0,0,0
"1971-01",186,186,0,0,1911.55,1911.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.0699,782.0699,0,0,0,0
"1971-02",122,122,0,0,1911.5499,1911.5499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.07,782.07,0,0,0,0
"1971-03",1020.0001,1020.0001,0,0,1911.55,1911.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020.0001,1020.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.0699,782.0699,0,0,0,0
"1971-04",16597,16772.7887,1e-04,1454.6954,4026.6001,4026.6001,0,2521,2521,1e-04,0,111,111,0,111,1138,1138,0,1138,464,464,0,0,1426,1426,0,0,832,832.0044,0,0,2825,2825,0,0,147,147,0,20.695,704,866.1079,0,0,572,572,0,0,102,102,0,0,40,40,0,40,1283,1283.0001,0,0,889,889.0001,0,0,616,616,0,0,139,139,0,1e-04,285,285,0,3e-04,630,636.7848,0,0,52,55.6,0,52,463,463.0049,0,0,114,114,0,1e-04,607,607.0037,0,0,40,42.0815,0,40,544,545.2014,0,0,53,53,0,53,219.15,219.15,0,236.49,236.49,0,910.3301,910.3301,0,982.35,982.35,0,782.07,782.07,0,896.21,896.21,0
"1971-05",55604.9998,56211.4147,1e-04,4645.3165,5436.63,5436.63,1e-04,7437,7737.1118,0,0,383,383,0,383,2586,2586,0,2586,844,844,0,0,3791,3835.23,0,0,3576,3576.022,0,0,3538.9998,3538.9998,0,0,361,369.554,0,361,6814,6814,0,0,2674,2674,0,0,491,491,0,0,160,160,0,160,1984,2100.8376,0,0,3740,3740,0,0,2620,2620,0,0,824,823.9999,1e-04,1e-04,1772.0001,1772.0001,0,3e-04,3289.0002,3419.2056,0,0,364,364,0,364,2223,2223.0193,0,0,480,480,0,1e-04,2672,2672.0107,0,0,266,266,0,266,2557.9998,2561.4939,0,368.3161,157,159.93,0,157,219.15,219.15,0,394.15,394.15,0,910.33,910.33,0,1637.25,1637.25,1e-04,782.0699,782.0699,0,1493.6801,1493.6801,0
"1971-06",97919.0003,104006.909,0,6407.9903,6376.6604,6376.6602,2e-04,14310,15627.5791,0,0,698,758.6215,0,691.3366,3729,3969.5952,0,3729,1485,1521.473,0,0,7106,8319.6494,0,0,4535,4752.0811,0,0,5805,6457.2437,0,0,624.0001,688.7361,0,186.2117,9891,11360.9131,0,0,5129,5129.0005,0,0,900,900,0,0,317,317,0,317,4048.9998,4263.9087,0,0,6898,6898,0,0,4173,4205.0962,0,0,1382,1382,0,1e-04,2693,2693,0,3e-04,7074,7607.8149,0,0,849.9999,849.9999,0,849.9999,4275,4275.0479,0,0,1191,1191.0001,0,1e-04,4395,4395.0347,0,0,511,511,0,511,5602.0005,5609.584,0,0,297,323.53,0,123.4416,219.15,219.15,0,499.26,499.26,0,910.3301,910.3301,0,2073.8503,2073.8501,2e-04,782.07,782.07,0,1892,1892,0
"1971-07",94574.9987,96200.3368,2755.7185,6344.0002,6611.6599,6611.6599,0,12269.999,13067.2168,0,0,500.0001,510.1954,0,500.0001,3190.9998,3396.7979,0,3190.9998,1534,1559.0216,0,0,7066,8546.3408,0,0,3405.0002,3880.5627,0,0,5276.0005,5699.4102,0,0,493,520.9725,0,493,11521,11521,5e-04,0,4863,5041.3442,0,0,1017.0001,956.5193,60.4807,0,331,331,0,331,3108,3108,0,0,8617,8617,0,0,3433,3512.7021,0,0,1332,1332.0001,0,1e-04,2258,2258,0,3e-04,6757,7419.4224,0,0,1100,1100,0,1100,4051.9998,4052.0471,0,0,2181.9998,2181.9998,0,1e-04,5219.9995,5220.0508,0,0,476,476,0,476,4320,1624.7631,2695.2373,0,253,267.97,0,253,219.15,219.15,0,525.53,525.53,0,910.33,910.33,0,2183,2183,0,782.0699,782.0699,0,1991.58,1991.58,0
