"Date","07_AGG_IrrigDemand","07_AGG_IrrigSupply","07_AGG_IrrigShortage","07_AGG_IrrigSupDirectFlow","07_AGG_MunDemand","07_AGG_MunSupply","07_AGG_MunShortage","0700502_I_IrrigDemand","0700502_I_IrrigSupply","0700502_I_IrrigShortage","0700502_I_IrrigSupDirectFlow","0700540_I_IrrigDemand","0700540_I_IrrigSupply","0700540_I_IrrigShortage","0700540_I_IrrigSupDirectFlow","0700549_I_IrrigDemand","0700549_I_IrrigSupply","0700549_I_IrrigShortage","0700549_I_IrrigSupDirectFlow","0700569_I_IrrigDemand","0700569_I_IrrigSupply","0700569_I_IrrigShortage","0700569_I_IrrigSupDirectFlow","0700570_I_IrrigDemand","0700570_I_IrrigSupply","0700570_I_IrrigShortage","0700570_I_IrrigSupDirectFlow","0700597_I_IrrigDemand","0700597_I_IrrigSupply","0700597_I_IrrigShortage","0700597_I_IrrigSupDirectFlow","0700601_I_IrrigDemand","0700601_I_IrrigSupply","0700601_I_IrrigShortage","0700601_I_IrrigSupDirectFlow","0700547_I_IrrigDemand","0700547_I_IrrigSupply","0700547_I_IrrigShortage","0700547_I_IrrigSupDirectFlow","0700614_IrrigDemand","0700614_IrrigSupply","0700614_IrrigShortage","0700614_IrrigSupDirectFlow","0700647_IrrigDemand","0700647_IrrigSupply","0700647_IrrigShortage","0700647_IrrigSupDirectFlow","0700652_I_IrrigDemand","0700652_I_IrrigSupply","0700652_I_IrrigShortage","0700652_I_IrrigSupDirectFlow","0700527_D_IrrigDemand","0700527_D_IrrigSupply","0700527_D_IrrigShortage","0700527_D_IrrigSupDirectFlow","0700698_I_IrrigDemand","0700698_I_IrrigSupply","0700698_I_IrrigShortage","0700698_I_IrrigSupDirectFlow","07_ADP001_IrrigDemand","07_ADP001_IrrigSupply","07_ADP001_IrrigShortage","07_ADP001_IrrigSupDirectFlow","0700699_IrrigDemand","0700699_IrrigSupply","0700699_IrrigShortage","0700699_IrrigSupDirectFlow","07_Arvada_I_MunDemand","07_Arvada_I_MunSupply","07_Arvada_I_MunShortage","07_Arvada_O_MunDemand","07_Arvada_O_MunSupply","07_Arvada_O_MunShortage","07_ConMut_I_MunDemand","07_ConMut_I_MunSupply","07_ConMut_I_MunShortage","07_ConMut_O_MunDemand","07_ConMut_O_MunSupply","07_ConMut_O_MunShortage","07_CoorsC_MunDemand","07_CoorsC_MunSupply","07_CoorsC_MunShortage","07_CoorsB_MunDemand","07_CoorsB_MunSupply","07_CoorsB_MunShortage","07_Golden_I_MunDemand","07_Golden_I_MunSupply","07_Golden_I_MunShortage","07_Golden_O_MunDemand","07_Golden_O_MunSupply","07_Golden_O_MunShortage","07_AMP001_I_MunDemand","07_AMP001_I_MunSupply","07_AMP001_I_MunShortage","07_AMP001_O_MunDemand","07_AMP001_O_MunSupply","07_AMP001_O_MunShortage"
"1970-10",857.0001,960.9716,0,81,3813.78,3813.78,0,112,125.24,0,0,95,109.25,0,0,8,8.92,0,0,382,430.4673,0,0,3,3.38,0,0,3,3.29,0,0,10,10.9,0,0,73,77.4903,0,0,3,3.56,0,3,13,14.76,0,13,3,3.578,0,0,28,32.568,0,28,65,68.9,0,0,37,40.796,0,37,22,27.872,0,0,798.18,798.18,0,766.53,766.53,0,113,113,0,74,74,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,136.99,136.99,0,601.1801,601.1801,0,613.48,613.48,0
"1970-11",0,0,0,0,2206.89,2206.8863,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.1801,798.1801,0,0,0,0,113,113,0,0,0,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,0,0,0,601.18,601.18,0,0,0,0
"1970-12",0,0,0,0,2222.78,2222.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,113,113,0,0,0,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,0,0,0,601.1801,601.1801,0,0,0,0
"1971-01",0,0,0,0,2222.78,2222.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,116,116,0,0,0,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,0,0,0,598.18,598.18,0,0,0,0
"1971-02",0,0,0,0,2175.1199,2175.1185,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,116,116,0,0,0,0,62.42,62.42,0,458.19,458.1885,0.0015,142.15,142.15,0,0,0,0,598.18,598.18,0,0,0,0
"1971-03",0,0,0,0,2206.75,2206.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,116,116,0,0,0,0,61.32,61.32,0,490.92,490.92,0,142.15,142.15,0,0,0,0,598.18,598.18,0,0,0,0
"1971-04",974.9999,975.5999,0,62,4252.4601,4252.4563,0.0037,53,53,0,0,40,40,0,0,10,10,0,0,545.9999,545.9999,0,0,8,8,0,0,3,3,0,0,4,4,0,0,192,192,0,0,5,5,0,5,5,5.6,0,5,0,0,0,0,13,13,0,13,45,45,0,0,39,39,0,39,12,12,0,0,798.1801,798.1801,0,985.54,985.54,0,116,116,0,99,99,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,176.13,176.13,0,598.18,598.18,0,784.9,784.9,0
"1971-05",4595.0001,4595.0001,0,510,5632.07,5632.07,0,622,622,0,0,738,738,0,0,46,46,0,0,1603,1603,0,0,43,43,0,0,27,27,0,0,71,71,0,0,516.0001,516.0001,0,0,15,15,0,15,41,41,0,41,75,75,0,0,300,300,0,300,256,256,0,0,154,154,0,154,88,88,0,0,798.18,798.18,0,1642.5699,1642.5699,0,116,116,0,168,168,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,293.55,293.55,0,598.18,598.18,0,1305.17,1305.17,0
"1971-06",8429,8586.3935,0,835.0001,6525.3201,6525.3163,0.0038,1130,1130,0,0,1736,1736,0,0,200,200,0,0,2589,2737.3535,0,0,70,70,0,0,88,88,0,0,175,175,0,0,920.9999,920.9999,0,0,41,41,0,41,74,74,0,74,150,150,0,0,590.0001,590.0001,0,590.0001,356,356,0,0,130,139.04,0,130,179,179,0,0,798.1801,798.1801,0,2080.5801,2080.5801,0,116,116,0,206,206,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,371.83,371.83,0,598.18,598.18,0,1660.02,1660.02,0
"1971-07",8328,8332.468,0,760,6768.5003,6768.5003,0,1200,1200,0,0,1670,1670,0,0,290,290,0,0,2297,2297,0,0,60,60,0,0,55,55,0,0,173,173,0,0,1042,1042,0,0,35,35,0,35,74,74,0,74,150,150,0,0,530,530,0,530,426,426,0,0,121,125.468,0,121,205,205,0,0,798.18,798.18,0,2190.0903,2190.0903,0,116,116,0,218,218,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,391.4,391.4,0,598.18,598.18,0,1746.23,1746.23,0
