Date,08_AGG_IrrigDemand,08_AGG_IrrigSupply,08_AGG_IrrigShortage,08_AGG_IrrigSupDirectFlow,08_AGG_MunDemand,08_AGG_MunSupply,08_AGG_MunShortage,0801400_IrrigDemand,0801400_IrrigSupply,0801400_IrrigShortage,0801400_IrrigSupDirectFlow,0801414_IrrigDemand,0801414_IrrigSupply,0801414_IrrigShortage,0801414_IrrigSupDirectFlow,0801008_IrrigDemand,0801008_IrrigSupply,0801008_IrrigShortage,0801008_IrrigSupDirectFlow,0801413_IrrigDemand,0801413_IrrigSupply,0801413_IrrigShortage,0801413_IrrigSupDirectFlow,0801241_IrrigDemand,0801241_IrrigSupply,0801241_IrrigShortage,0801241_IrrigSupDirectFlow,0801125_IrrigDemand,0801125_IrrigSupply,0801125_IrrigShortage,0801125_IrrigSupDirectFlow,0801128_IrrigDemand,0801128_IrrigSupply,0801128_IrrigShortage,0801128_IrrigSupDirectFlow,0801416_IrrigDemand,0801416_IrrigSupply,0801416_IrrigShortage,0801416_IrrigSupDirectFlow,0801124_IrrigDemand,0801124_IrrigSupply,0801124_IrrigShortage,0801124_IrrigSupDirectFlow,0801403_IrrigDemand,0801403_IrrigSupply,0801403_IrrigShortage,0801403_IrrigSupDirectFlow,0801492_IrrigDemand,0801492_IrrigSupply,0801492_IrrigShortage,0801492_IrrigSupDirectFlow,0801362_IrrigDemand,0801362_IrrigSupply,0801362_IrrigShortage,0801362_IrrigSupDirectFlow,0801007_IrrigDemand,0801007_IrrigSupply,0801007_IrrigShortage,0801007_IrrigSupDirectFlow,0801404_IrrigDemand,0801404_IrrigSupply,0801404_IrrigShortage,0801404_IrrigSupDirectFlow,0801009_D_IrrigDemand,0801009_D_IrrigSupply,0801009_D_IrrigShortage,0801009_D_IrrigSupDirectFlow,0801127_IrrigDemand,0801127_IrrigSupply,0801127_IrrigShortage,0801127_IrrigSupDirectFlow,0801240_IrrigDemand,0801240_IrrigSupply,0801240_IrrigShortage,0801240_IrrigSupDirectFlow,0801235_IrrigDemand,0801235_IrrigSupply,0801235_IrrigShortage,0801235_IrrigSupDirectFlow,0801406_IrrigDemand,0801406_IrrigSupply,0801406_IrrigShortage,0801406_IrrigSupDirectFlow,0801412_IrrigDemand,0801412_IrrigSupply,0801412_IrrigShortage,0801412_IrrigSupDirectFlow,0801405_IrrigDemand,0801405_IrrigSupply,0801405_IrrigShortage,0801405_IrrigSupDirectFlow,0801237_IrrigDemand,0801237_IrrigSupply,0801237_IrrigShortage,0801237_IrrigSupDirectFlow,08_ADP002_IrrigDemand,08_ADP002_IrrigSupply,08_ADP002_IrrigShortage,08_ADP002_IrrigSupDirectFlow,08_ADP004_IrrigDemand,08_ADP004_IrrigSupply,08_ADP004_IrrigShortage,08_ADP004_IrrigSupDirectFlow,08_ADP003_IrrigDemand,08_ADP003_IrrigSupply,08_ADP003_IrrigShortage,08_ADP003_IrrigSupDirectFlow,08_Aurora_I_MunDemand,08_Aurora_I_MunSupply,08_Aurora_I_MunShortage,08_Aurora_O_MunDemand,08_Aurora_O_MunSupply,08_Aurora_O_MunShortage,08_Denver_I_MunDemand,08_Denver_I_MunSupply,08_Denver_I_MunShortage,08_Denver_O_MunDemand,08_Denver_O_MunSupply,08_Denver_O_MunShortage,08_Englwd_I_MunDemand,08_Englwd_I_MunSupply,08_Englwd_I_MunShortage,08_Englwd_O_MunDemand,08_Englwd_O_MunSupply,08_Englwd_O_MunShortage
1970-10,326.0000,344.2338,3.0000,253.0000,19071.7004,19071.7004,.0000,5.0000,5.0000,0.0000,5.0000,20.0000,20.0000,0.0000,20.0000,10.0000,11.6200,0.0000,10.0000,5.0000,5.7500,0.0000,5.0000,4.0000,4.8116,0.0000,4.0000,24.0000,24.0000,.0000,13.0000,2.0000,2.0000,0.0000,2.0000,10.0000,10.0000,0.0000,10.0000,2.0000,2.0000,0.0000,2.0000,15.0000,15.0000,0.0000,15.0000,3.0000,0.0000,3.0000,0.0000,12.0000,12.8800,0.0000,12.0000,7.0000,7.8080,0.0000,7.0000,18.0000,18.0000,.0000,17.0000,12.0000,12.9520,0.0000,12.0000,2.0000,2.0000,0.0000,2.0000,4.0000,4.8116,0.0000,4.0000,5.0000,5.3000,0.0000,5.0000,2.0000,2.0000,0.0000,2.0000,18.0000,20.9000,0.0000,18.0000,6.0000,6.0000,0.0000,5.0000,4.0000,4.8116,0.0000,4.0000,59.0000,59.0000,.0000,2.0000,72.0000,82.5891,0.0000,72.0000,5.0000,5.0000,0.0000,5.0000,2332.6499,2332.6499,.0000,1598.5200,1598.5200,0.0000,8635.3906,8635.3906,0.0000,6208.3999,6208.3999,0.0000,178.2800,178.2800,.0000,118.4600,118.4600,0.0000
1970-11,0.0000,0.0000,0.0000,0.0000,11146.3196,11146.3196,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2332.6499,2332.6499,.0000,0.0000,0.0000,0.0000,8635.3896,8635.3896,0.0000,0.0000,0.0000,0.0000,178.2800,178.2800,0.0000,0.0000,0.0000,0.0000
1970-12,0.0000,0.0000,0.0000,0.0000,11146.3205,11146.3205,.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2332.6499,2332.6499,.0001,0.0000,0.0000,0.0000,8635.3906,8635.3906,0.0000,0.0000,0.0000,0.0000,178.2800,178.2800,.0000,0.0000,0.0000,0.0000
1971-01,0.0000,0.0000,0.0000,0.0000,11146.3205,11146.3205,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2332.6499,2332.6499,.0000,0.0000,0.0000,0.0000,8635.3906,8635.3906,0.0000,0.0000,0.0000,0.0000,178.2800,178.2800,.0000,0.0000,0.0000,0.0000
1971-02,0.0000,0.0000,0.0000,0.0000,11146.3195,11146.3195,.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2332.6499,2332.6499,0.0000,0.0000,0.0000,0.0000,8635.3896,8635.3896,.0001,0.0000,0.0000,0.0000,178.2800,178.2800,0.0000,0.0000,0.0000,0.0000
1971-03,0.0000,0.0000,0.0000,0.0000,11146.3205,11146.3205,.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2332.6499,2332.6499,.0001,0.0000,0.0000,0.0000,8635.3906,8635.3906,0.0000,0.0000,0.0000,0.0000,178.2800,178.2800,.0000,0.0000,0.0000,0.0000
1971-04,475.0000,475.3721,.0000,475.0000,21336.0998,21336.0998,.0002,6.0000,6.0000,0.0000,6.0000,8.0000,8.0000,0.0000,8.0000,75.0000,75.0000,.0000,75.0000,6.0000,6.0000,0.0000,6.0000,6.0000,6.1058,0.0000,6.0000,65.0000,65.0000,0.0000,65.0000,4.0000,4.0000,0.0000,4.0000,6.0000,6.0000,0.0000,6.0000,8.0000,8.0000,0.0000,8.0000,9.0000,9.0000,0.0000,9.0000,2.0000,2.0000,0.0000,2.0000,26.0000,26.0000,0.0000,26.0000,6.0000,6.0000,0.0000,6.0000,18.0000,18.0000,0.0000,18.0000,8.0000,8.0000,0.0000,8.0000,4.0000,4.0000,0.0000,4.0000,5.0000,5.2645,0.0000,5.0000,3.0000,3.0000,0.0000,3.0000,2.0000,2.0000,0.0000,2.0000,29.0000,29.0000,0.0000,29.0000,6.0000,6.0000,0.0000,6.0000,7.0000,7.0000,0.0000,7.0000,39.0000,39.0018,0.0000,39.0000,113.0000,113.0000,0.0000,113.0000,14.0000,14.0000,0.0000,14.0000,2332.6499,2332.6499,.0001,2055.2397,2055.2397,0.0000,8635.3896,8635.3896,.0002,7982.2305,7982.2305,0.0000,178.2800,178.2800,0.0000,152.3100,152.3100,0.0000
1971-05,2621.0000,2324.9222,298.6979,2201.3036,28129.2804,28129.2804,.0001,34.0000,25.1133,8.8867,24.1594,67.0000,67.0000,0.0000,67.0000,275.0000,275.0000,.0000,275.0000,50.0000,2.5500,47.4500,0.0000,26.0000,26.0000,0.0000,26.0000,156.0000,156.0000,0.0000,156.0000,12.0000,12.0000,0.0000,12.0000,72.0000,38.1022,33.8978,38.1022,16.0000,16.0000,0.0000,16.0000,67.0000,44.5240,22.4761,43.0420,16.0000,0.1040,15.8960,0.0000,64.0000,64.0000,0.0000,64.0000,80.0000,80.0000,0.0000,80.0000,68.0000,70.6200,0.0000,57.0000,150.0000,150.0000,0.0000,150.0000,23.0000,23.0000,0.0000,23.0000,20.0000,20.0000,0.0000,20.0000,48.0000,48.0000,0.0000,48.0000,7.0000,0.0000,7.0000,0.0000,285.0000,285.0000,0.0000,285.0000,26.0000,26.0000,.0000,21.0000,24.0000,24.0000,0.0000,24.0000,263.0000,99.9086,163.0914,0.0000,688.0000,688.0001,0.0000,688.0001,84.0000,84.0000,0.0000,84.0000,2332.6499,2332.6499,0.0000,3425.3999,3425.3999,0.0000,8635.3906,8635.3906,.0001,13303.7100,13303.7100,0.0000,178.2800,178.2800,.0000,253.8500,253.8500,0.0000
1971-06,3779.9999,2846.2878,935.2635,2598.4486,32658.0907,32658.0890,0.0011,44.0000,0.2861,43.7139,0.0000,125.0000,79.8111,45.1889,79.8111,624.9999,624.9999,.0000,624.9999,48.0000,0.0000,48.0000,0.0000,59.0000,59.0000,0.0000,59.0000,204.0000,63.1798,140.8202,3.0904,21.0000,11.6345,9.3655,7.5094,79.0000,10.4271,68.5729,7.6704,30.0000,7.4844,22.5156,0.0000,98.0000,41.6535,56.3465,41.6535,29.0000,0.0000,29.0000,0.0000,86.0000,86.0000,0.0000,86.0000,213.0000,213.0000,0.0000,213.0000,119.0000,16.1000,102.9000,0.0000,369.0000,369.0000,0.0000,369.0000,32.0000,18.7140,13.2860,18.7140,48.0000,49.5514,0.0000,48.0000,100.0000,100.0000,0.0000,100.0000,14.0000,0.0000,14.0000,0.0000,228.0000,228.0000,0.0000,228.0000,37.0000,13.4460,23.5540,0.0000,74.0000,74.0000,0.0000,74.0000,460.0000,142.0000,318.0000,0.0000,544.0000,544.0000,0.0000,544.0000,94.0000,94.0000,0.0000,94.0000,2332.6499,2332.6501,0.0000,4338.8501,4338.8501,0.0000,8635.3896,8635.3896,0.0000,16851.3711,16851.3691,0.0011,178.2800,178.2800,0.0000,321.5500,321.5500,0.0000
1971-07,2095.0000,1682.7618,424.2772,1548.0603,33790.2896,33790.2920,0.0000,19.0000,0.0000,19.0000,0.0000,59.0000,29.3168,29.6832,29.3168,525.0000,525.0000,.0000,525.0000,17.0000,0.0000,17.0000,0.0000,40.0000,40.3526,0.0000,40.0000,126.0000,2.4060,123.5940,2.4060,11.0000,11.0034,0.0000,10.3376,23.0000,0.0000,23.0000,0.0000,11.0000,0.0000,11.0000,0.0000,37.0000,0.0000,37.0000,0.0000,12.0000,0.0000,12.0000,0.0000,60.0000,60.0000,0.0000,60.0000,200.0000,200.0000,0.0000,200.0000,46.0000,9.0000,37.0000,0.0000,317.0000,317.0000,0.0000,317.0000,11.0000,11.3240,0.0000,11.0000,30.0000,32.5867,0.0000,30.0000,37.0000,37.0000,0.0000,37.0000,5.0000,0.0000,5.0000,0.0000,53.0000,56.1500,0.0000,53.0000,12.0000,10.0000,2.0000,0.0000,50.0000,50.0000,0.0000,50.0000,183.0000,91.0000,92.0000,0.0000,183.0000,188.6223,0.0000,183.0000,28.0000,12.0000,16.0000,0.0000,2332.6499,2332.6499,0.0000,4567.2100,4567.2104,0.0000,8635.3906,8635.3906,0.0000,17738.2891,17738.2910,0.0000,178.2800,178.2800,0.0000,338.4700,338.4700,0.0000
1971-08,2009.0001,1811.6709,207.9101,1600.6742,30393.6905,30393.6917,.0000,18.0000,18.0000,0.0000,18.0000,48.0000,48.0000,0.0000,48.0000,500.0001,500.0001,.0000,500.0001,21.0000,21.0000,0.0000,21.0000,26.0000,28.7751,0.0000,26.0000,106.0000,34.2631,71.7369,1.6742,8.0000,8.2252,0.0000,8.0000,24.0000,24.0000,0.0000,24.0000,9.0000,0.0000,9.0000,0.0000,37.0000,37.0000,0.0000,37.0000,12.0000,0.0000,12.0000,0.0000,44.0000,45.5600,0.0000,44.0000,186.0000,186.0000,0.0000,186.0000,47.0000,47.0000,.0000,37.0000,300.0000,300.0000,0.0000,300.0000,8.0000,8.8720,0.0000,0.0000,23.0000,27.4165,0.0000,23.0000,20.0000,20.0000,0.0000,20.0000,5.0000,0.0000,5.0000,0.0000,59.0000,59.4500,0.0000,59.0000,11.0000,11.0000,0.0000,0.0000,36.0000,36.2821,0.0000,36.0000,229.0000,135.0000,94.0000,0.0000,212.0000,212.0000,0.0000,212.0000,20.0000,3.8268,16.1732,0.0000,2332.6499,2332.6501,0.0000,3882.1299,3882.1299,0.0000,8635.3906,8635.3906,0.0000,15077.5400,15077.5410,0.0000,178.2800,178.2800,.0000,287.7000,287.7000,0.0000
1971-09,950.0000,941.7312,13.4624,799.0000,25864.8999,25864.8999,.0006,12.0000,12.0000,0.0000,12.0000,32.0000,32.0000,0.0000,32.0000,200.0000,200.0000,.0000,200.0000,13.0000,13.0000,0.0000,13.0000,14.0000,16.3405,0.0000,14.0000,49.0000,48.5377,0.4624,17.0000,5.0000,5.0000,0.0000,5.0000,16.0000,16.0000,0.0000,16.0000,5.0000,5.0000,0.0000,5.0000,23.0000,23.0000,0.0000,23.0000,7.0000,7.0000,0.0000,0.0000,25.0000,26.2500,0.0000,25.0000,86.0000,86.0000,0.0000,86.0000,29.0000,29.0000,0.0000,22.0000,93.0000,93.0000,0.0000,93.0000,5.0000,5.4200,0.0000,5.0000,14.0000,14.3477,0.0000,14.0000,12.0000,12.0000,0.0000,12.0000,3.0000,3.0000,0.0000,3.0000,43.0000,43.0000,0.0000,43.0000,7.0000,7.0000,0.0000,0.0000,20.0000,20.3526,0.0000,20.0000,103.0000,103.0000,0.0000,25.0000,121.0000,121.4828,0.0000,114.0000,13.0000,0.0000,13.0000,0.0000,2332.6499,2332.6499,0.0000,2968.6797,2968.6797,0.0000,8635.3896,8635.3887,.0006,11529.8906,11529.8916,0.0000,178.2800,178.2800,0.0000,220.0100,220.0100,0.0000
1971-10,423.0000,449.6769,.0000,353.0000,19071.7004,19071.7004,.0001,8.0000,8.0000,0.0000,8.0000,25.0000,25.0000,0.0000,25.0000,15.0000,17.4300,0.0000,15.0000,7.0000,7.8500,0.0000,7.0000,8.0000,9.6231,0.0000,8.0000,44.0000,44.0000,0.0000,33.0000,3.0000,3.0000,0.0000,3.0000,12.0000,12.0000,0.0000,12.0000,3.0000,3.0000,0.0000,3.0000,17.0000,17.0000,0.0000,17.0000,5.0000,5.0000,0.0000,5.0000,22.0000,23.7800,0.0000,22.0000,10.0000,11.4400,0.0000,10.0000,23.0000,23.0000,.0000,22.0000,20.0000,21.9200,0.0000,20.0000,3.0000,3.4520,0.0000,3.0000,8.0000,8.0000,0.0000,8.0000,7.0000,7.2200,0.0000,7.0000,3.0000,3.0000,0.0000,3.0000,22.0000,25.1000,0.0000,22.0000,8.0000,8.0000,0.0000,7.0000,8.0000,9.6231,0.0000,8.0000,59.0000,59.0000,.0000,2.0000,75.0000,86.2387,0.0000,75.0000,8.0000,8.0000,0.0000,8.0000,2332.6499,2332.6499,0.0000,1598.5200,1598.5200,0.0000,8635.3906,8635.3906,.0001,6208.3999,6208.3999,0.0000,178.2800,178.2800,.0000,118.4600,118.4600,0.0000
1971-11,0.0000,0.0000,0.0000,0.0000,11146.3196,11146.3196,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2332.6499,2332.6499,.0000,0.0000,0.0000,0.0000,8635.3896,8635.3896,0.0000,0.0000,0.0000,0.0000,178.2800,178.2800,0.0000,0.0000,0.0000,0.0000
