Date,09_AGG_IrrigDemand,09_AGG_IrrigSupply,09_AGG_IrrigShortage,09_AGG_IrrigSupDirectFlow,09_AGG_MunDemand,09_AGG_MunSupply,09_AGG_MunShortage,0900731_D_IrrigDemand,0900731_D_IrrigSupply,0900731_D_IrrigShortage,0900731_D_IrrigSupDirectFlow,0900535_IrrigDemand,0900535_IrrigSupply,0900535_IrrigShortage,0900535_IrrigSupDirectFlow,0900752_IrrigDemand,0900752_IrrigSupply,0900752_IrrigShortage,0900752_IrrigSupDirectFlow,0900767_IrrigDemand,0900767_IrrigSupply,0900767_IrrigShortage,0900767_IrrigSupDirectFlow,0900958_IrrigDemand,0900958_IrrigSupply,0900958_IrrigShortage,0900958_IrrigSupDirectFlow,09_ADP003_IrrigDemand,09_ADP003_IrrigSupply,09_ADP003_IrrigShortage,09_ADP003_IrrigSupDirectFlow,09_ASI_TH_MunDemand,09_ASI_TH_MunSupply,09_ASI_TH_MunShortage,09_AMP001_I_MunDemand,09_AMP001_I_MunSupply,09_AMP001_I_MunShortage,09_AMP001_O_MunDemand,09_AMP001_O_MunSupply,09_AMP001_O_MunShortage
1970-10,331.0000,365.7420,0.0000,331.0000,126.9500,126.9400,0.0100,170.0000,188.3600,0.0000,170.0000,3.0000,3.0000,0.0000,3.0000,5.0000,5.4500,0.0000,5.0000,13.0000,13.0000,0.0000,13.0000,138.0000,153.9320,0.0000,138.0000,2.0000,2.0000,0.0000,2.0000,0.0100,0.0000,0.0100,65.9800,65.9800,0.0000,60.9600,60.9600,0.0000
1970-11,0.0000,0.0000,0.0000,0.0000,65.9900,65.9800,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,65.9800,65.9800,0.0000,0.0000,0.0000,0.0000
1970-12,0.0000,0.0000,0.0000,0.0000,65.9900,65.9800,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,65.9800,65.9800,0.0000,0.0000,0.0000,0.0000
1971-01,0.0000,0.0000,0.0000,0.0000,65.9900,65.9800,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,65.9800,65.9800,0.0000,0.0000,0.0000,0.0000
1971-02,0.0000,0.0000,0.0000,0.0000,65.9900,65.9800,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,65.9800,65.9800,0.0000,0.0000,0.0000,0.0000
1971-03,0.0000,0.0000,0.0000,0.0000,65.9900,65.9800,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,65.9800,65.9800,0.0000,0.0000,0.0000,0.0000
1971-04,262.0000,262.0000,0.0000,262.0000,144.3700,144.3600,0.0100,143.0000,143.0000,0.0000,143.0000,5.0000,5.0000,0.0000,5.0000,2.0000,2.0000,0.0000,2.0000,5.0000,5.0000,0.0000,5.0000,107.0000,107.0000,0.0000,107.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,65.9800,65.9800,0.0000,78.3800,78.3800,0.0000
1971-05,1189.0000,1188.9999,.0001,1188.9999,196.6300,196.6200,0.0100,606.0000,606.0000,0.0000,606.0000,19.0000,19.0000,0.0000,19.0000,15.0000,15.0000,0.0000,15.0000,103.0000,103.0000,0.0000,103.0000,435.0000,434.9999,.0001,434.9999,11.0000,11.0000,0.0000,11.0000,0.0100,0.0000,0.0100,65.9800,65.9800,0.0000,130.6400,130.6400,0.0000
1971-06,1686.0000,1724.9359,.0001,1685.9999,231.4600,231.4500,0.0100,900.0000,899.9999,.0001,899.9999,33.0000,33.0000,0.0000,33.0000,37.0000,37.0000,0.0000,37.0000,121.0000,129.2900,0.0000,121.0000,569.0000,599.4659,0.0000,568.9999,26.0000,26.1800,0.0000,26.0000,0.0100,0.0000,0.0100,65.9800,65.9800,0.0000,165.4700,165.4700,0.0000
1971-07,1427.0001,1422.7329,48.5312,1357.8750,240.1700,240.1600,0.0100,793.0001,793.0001,0.0000,793.0001,17.0000,8.8038,8.1962,0.0000,42.0000,42.0000,0.0000,42.0000,91.0000,50.6650,40.3350,38.8750,466.0000,509.5240,0.0000,466.0000,18.0000,18.7400,0.0000,18.0000,0.0100,0.0000,0.0100,65.9800,65.9800,0.0000,174.1800,174.1800,0.0000
