"Date","30_AGG_IrrigDemand","30_AGG_IrrigSupply","30_AGG_IrrigShortage","30_AGG_IrrigSupDirectFlow","30_AGG_MunDemand","30_AGG_MunSupply","30_AGG_MunShortage","30_ADS007_IrrigDemand","30_ADS008_IrrigDemand","30_ADS009_IrrigDemand","30_ADS010_IrrigDemand","30_ADS007_IrrigSupply","30_ADS008_IrrigSupply","30_ADS009_IrrigSupply","30_ADS010_IrrigSupply","30_ADS007_IrrigShortage","30_ADS008_IrrigShortage","30_ADS009_IrrigShortage","30_ADS010_IrrigShortage","30_ADS007_IrrigSupDirectFlow","30_ADS008_IrrigSupDirectFlow","30_ADS009_IrrigSupDirectFlow","30_ADS010_IrrigSupDirectFlow","30_SUIT_MunDemand","30_SUIT_MunSupply","30_SUIT_MunShortage"
"1970-10",1304,1304,0,1304,0,0,0,399,397,432,76,399,397,432,76,0,0,0,0,399,397,432,76,0,0,0
"1970-11",223,223,0,223,0,0,0,56,95,34,38,56,95,34,38,0,0,0,0,56,95,34,38,0,0,0
"1970-12",206,206,0,206,0,0,0,34,98,36,38,34,98,36,38,0,0,0,0,34,98,36,38,0,0,0
"1971-01",181,181,0,181,0,0,0,10,98,35,38,10,98,35,38,0,0,0,0,10,98,35,38,0,0,0
"1971-02",158,158,0,158,0,0,0,3,88,32,35,3,88,32,35,0,0,0,0,3,88,32,35,0,0,0
"1971-03",180,180,0,180,0,0,0,10,97,36,37,10,97,36,37,0,0,0,0,10,97,36,37,0,0,0
"1971-04",1373,1373,0,1373,0,0,0,700,394,191,88,700,394,191,88,0,0,0,0,700,394,191,88,0,0,0
"1971-05",3910.9999,3911,0,3911,0,0,0,1254,1249.9999,940,467,1254,1250,940,467,0,0,0,0,1254,1250,940,467,0,0,0
"1971-06",5114,5019.8431,94.1569,4926.6224,0,0,0,1381,1857,1421,455,1381,1762.8431,1421,455,0,94.1569,0,0,1381,1669.6224,1421,455,0,0,0
"1971-07",4463.9998,3648.3405,815.6594,3251.6816,0,0,0,1271,1603.9999,1223.9999,365,1271,788.3406,1223.9999,365,0,815.6594,0,0,1271,391.6817,1223.9999,365,0,0,0
"1971-08",3890,2944.7981,945.2019,2944.7981,0,0,0,906,1383,1362,239,906,437.7981,1362,239,0,945.2019,0,0,906,437.7981,1362,239,0,0,0
"1971-09",2758,2473.6882,284.3118,2473.6882,0,0,0,689,953,936,180,689,668.6882,936,180,0,284.3118,0,0,689,668.6882,936,180,0,0,0
"1971-10",1246,1192.6817,53.3182,1192.6817,0,0,0,259,445,496,46,259,391.6817,496,46,0,53.3182,0,0,259,391.6817,496,46,0,0,0
"1971-11",219,219,0,219,0,0,0,67,80,34,38,67,80,34,38,0,0,0,0,67,80,34,38,0,0,0
"1971-12",198,198,0,198,0,0,0,41,83,36,38,41,83,36,38,0,0,0,0,41,83,36,38,0,0,0
"1972-01",170,170,0,170,0,0,0,15,82,35,38,15,82,35,38,0,0,0,0,15,82,35,38,0,0,0
"1972-02",149,149,0,149,0,0,0,4,76,33,36,4,76,33,36,0,0,0,0,4,76,33,36,0,0,0
"1972-03",787,787,0,787,0,0,0,412,207,132,36,412,207,132,36,0,0,0,0,412,207,132,36,0,0,0
"1972-04",2645.0001,2645,1e-04,2645,0,0,0,1185,770.0001,536,154,1185,770,536,154,0,1e-04,0,0,1185,770,536,154,0,0,0
"1972-05",4960.9999,4960.9999,0,4960.9999,0,0,0,1608,1769.9999,1125,458,1608,1769.9999,1125,458,0,0,0,0,1608,1769.9999,1125,458,0,0,0
"1972-06",5091,5007.6968,83.3031,4925.9061,0,0,0,1658,1667,1371,395,1657.9999,1583.6969,1371,395,1e-04,83.303,0,0,1657.9999,1501.9063,1371,395,0,0,0
