"Date","34_AGG_IrrigDemand","34_AGG_IrrigSupply","34_AGG_IrrigShortage","34_AGG_IrrigSupDirectFlow","34_AGG_MunDemand","34_AGG_MunSupply","34_AGG_MunShortage","34_ADS012_IrrigDemand","34_ADS013_IrrigDemand","34_ADS014_IrrigDemand","34_ADS012_IrrigSupply","34_ADS013_IrrigSupply","34_ADS014_IrrigSupply","34_ADS012_IrrigShortage","34_ADS013_IrrigShortage","34_ADS014_IrrigShortage","34_ADS012_IrrigSupDirectFlow","34_ADS013_IrrigSupDirectFlow","34_ADS014_IrrigSupDirectFlow"
"1970-10",387,387.0997,0,290.8778,NA,NA,NA,198,46,143,198,46.0998,143,0,0,0,198,0,92.8778
"1970-11",10,10,0,10,NA,NA,NA,0,0,10,0,0,10,0,0,0,0,0,10
"1970-12",14,14,0,14,NA,NA,NA,0,0,14,0,0,14,0,0,0,0,0,14
"1971-01",12,12,0,12,NA,NA,NA,0,0,12,0,0,12,0,0,0,0,0,12
"1971-02",19,19,0,19,NA,NA,NA,0,0,19,0,0,19,0,0,0,0,0,19
"1971-03",17,17,0,17,NA,NA,NA,0,0,17,0,0,17,0,0,0,0,0,17
"1971-04",211,211,0,211,NA,NA,NA,17,3,191,17,3,191,0,0,0,17,3,191
"1971-05",1167.0001,1167.0001,0,1167.0001,NA,NA,NA,450,133,584.0001,450,133,584.0001,0,0,0,450,133,584.0001
"1971-06",2118,2118.18,0,1574.3586,NA,NA,NA,833,223,1062,833.18,223,1062,0,0,0,445.6924,223,905.6661
"1971-07",2293,2230.5679,62.4321,771.2764,NA,NA,NA,804,224,1265,804,224,1202.5679,0,0,62.4321,460.5489,0,310.7276
"1971-08",1515,534.0112,980.9888,199.8376,NA,NA,NA,269,176,1070,208.9976,34,291.0135,60.0024,142,778.9865,199.8376,0,0
"1971-09",1015,156.5369,858.4631,140.1754,NA,NA,NA,339,118,558,133.8862,16.3616,6.2891,205.1137,101.6384,551.7109,133.8862,0,6.2891
"1971-10",299,130,169,130,NA,NA,NA,130,30,139,130,0,0,0,30,139,130,0,0
"1971-11",10,10,0,10,NA,NA,NA,0,0,10,0,0,10,0,0,0,0,0,10
"1971-12",14,14,0,14,NA,NA,NA,0,0,14,0,0,14,0,0,0,0,0,14
"1972-01",12,12,0,12,NA,NA,NA,0,0,12,0,0,12,0,0,0,0,0,12
"1972-02",19,19,0,19,NA,NA,NA,0,0,19,0,0,19,0,0,0,0,0,19
"1972-03",233,233,0,233,NA,NA,NA,0,0,233,0,0,233,0,0,0,0,0,233
"1972-04",384,384,0,384,NA,NA,NA,38,5,341,38,5,341,0,0,0,38,5,341
"1972-05",1312,1312.0125,0,997.2284,NA,NA,NA,591,137,584.0001,591,137.0125,584.0001,0,0,0,460.5489,0,536.6795
"1972-06",1972.0001,646.0063,1325.9937,515.3133,NA,NA,NA,781,211,980.0001,466.5525,12.3021,167.1517,314.4476,198.6979,812.8483,445.6924,0,69.6208
"1972-07",2238,138.3491,2099.6509,138.3491,NA,NA,NA,789,220,1229,138.3491,0,0,650.6509,220,1229,138.3491,0,0
"1972-08",1742,138.3491,1603.6509,138.3491,NA,NA,NA,452,219,1071,138.3491,0,0,313.6509,219,1071,138.3491,0,0
"1972-09",959,133.8862,825.1137,133.8862,NA,NA,NA,283,118,558,133.8862,0,0,149.1137,118,558,133.8862,0,0
"1972-10",179,179,0,179,NA,NA,NA,27,13,139,27,13,139,0,0,0,27,13,139
"1972-11",10,10,0,10,NA,NA,NA,0,0,10,0,0,10,0,0,0,0,0,10
"1972-12",14,14,0,14,NA,NA,NA,0,0,14,0,0,14,0,0,0,0,0,14
"1973-01",12,12,0,12,NA,NA,NA,0,0,12,0,0,12,0,0,0,0,0,12
"1973-02",19,19,0,19,NA,NA,NA,0,0,19,0,0,19,0,0,0,0,0,19
"1973-03",30,30,0,30,NA,NA,NA,6,0,24,6,0,24,0,0,0,6,0,24
"1973-04",208,208.1968,0,208,NA,NA,NA,119,19,70,119,19,70.1968,0,0,0,119,19,70
"1973-05",850,850.04,0,850,NA,NA,NA,424,100,326,424.04,100,326,0,0,0,424,100,326
"1973-06",1982.0001,1982.2201,0,1820.6661,NA,NA,NA,707,208,1067.0001,707.22,208,1067.0001,0,0,0,707,208,905.6661
"1973-07",2213,2213.2401,0,1755.855,NA,NA,NA,594,226,1393,594.2401,226,1393,0,0,0,594,226,935.855
"1973-08",1631.9999,1631.9999,0,532.1388,NA,NA,NA,419,204,1008.9999,419,204,1008.9999,0,0,0,419,0,113.1388
