Date,36_AGG_IrrigDemand,36_AGG_IrrigSupply,36_AGG_IrrigShortage,36_AGG_IrrigSupDirectFlow,36_AGG_MunDemand,36_AGG_MunSupply,36_AGG_MunShortage,36_ADC017_IrrigDemand,36_ADC018_IrrigDemand,36_ADC019_IrrigDemand,36_ADC017_IrrigSupply,36_ADC018_IrrigSupply,36_ADC019_IrrigSupply,36_ADC017_IrrigShortage,36_ADC018_IrrigShortage,36_ADC019_IrrigShortage,36_ADC017_IrrigSupDirectFlow,36_ADC018_IrrigSupDirectFlow,36_ADC019_IrrigSupDirectFlow,3600649_D_IrrigDemand,3600649_D_IrrigSupply,3600649_D_IrrigShortage,3600649_D_IrrigSupDirectFlow,3600662_D_IrrigDemand,3600662_D_IrrigSupply,3600662_D_IrrigShortage,3600662_D_IrrigSupDirectFlow,3600776_D_IrrigDemand,3600776_D_IrrigSupply,3600776_D_IrrigShortage,3600776_D_IrrigSupDirectFlow,3600868_D_IrrigDemand,3600868_D_IrrigSupply,3600868_D_IrrigShortage,3600868_D_IrrigSupDirectFlow,36_KeyMun_MunDemand,36_KeyMun_MunSupply,36_KeyMun_MunShortage
1970-10,496.0000,496.3800,0.0000,496.0000,22.0000,22.0000,.0000,85.0000,405.0000,3.0000,85.0000,405.0000,3.3800,0.0000,0.0000,0.0000,85.0000,405.0000,3.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,22.0000,.0000
1970-11,3.0000,3.0000,0.0000,3.0000,23.0000,23.0000,.0000,0.0000,3.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,23.0000,.0000
1970-12,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,.0000
1971-01,0.0000,0.0000,0.0000,0.0000,28.0000,28.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.0000,28.0000,.0000
1971-02,0.0000,0.0000,0.0000,0.0000,29.0000,29.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0000,29.0000,.0000
1971-03,2.0000,2.0000,0.0000,2.0000,35.0000,35.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.0000
1971-04,797.0000,800.8407,0.0000,797.0000,26.0000,26.0000,.0000,72.0000,61.0000,380.0000,75.8407,61.0000,380.0000,0.0000,0.0000,0.0000,72.0000,61.0000,380.0000,0.0000,0.0000,0.0000,0.0000,284.0000,284.0000,0.0000,284.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,26.0000,.0000
1971-05,7275.9999,7275.9999,0.0000,7275.9999,29.0000,29.0000,.0000,1500.0000,1050.0000,1511.0000,1500.0000,1050.0000,1511.0000,0.0000,0.0000,0.0000,1500.0000,1050.0000,1511.0000,717.9999,717.9999,0.0000,717.9999,1800.0000,1800.0000,0.0000,1800.0000,440.0000,440.0000,0.0000,440.0000,257.0000,257.0000,0.0000,257.0000,29.0000,29.0000,.0000
1971-06,21059.9999,21060.0002,0.0000,21060.0002,46.0000,46.0000,0.0000,5857.0000,3314.0000,2235.0000,5857.0000,3314.0000,2235.0000,0.0000,0.0000,0.0000,5857.0000,3314.0000,2235.0000,3800.0000,3800.0002,0.0000,3800.0002,3744.0000,3744.0000,0.0000,3744.0000,1260.0000,1260.0000,0.0000,1260.0000,849.9999,849.9999,0.0000,849.9999,46.0000,46.0000,0.0000
1971-07,24662.9995,24662.9996,0.0000,24662.9996,67.0000,67.0000,0.0000,8133.9995,4395.9995,1864.0000,8133.9995,4395.9995,1864.0001,0.0000,0.0000,0.0000,8133.9995,4395.9995,1864.0001,4114.0005,4114.0005,0.0000,4114.0005,4012.0000,4012.0000,0.0000,4012.0000,938.0000,938.0000,0.0000,938.0000,1205.0000,1205.0000,0.0000,1205.0000,67.0000,67.0000,0.0000
