Date,37_AGG_IrrigDemand,37_AGG_IrrigSupply,37_AGG_IrrigShortage,37_AGG_IrrigSupDirectFlow,37_AGG_MunDemand,37_AGG_MunSupply,37_AGG_MunShortage,37_ADC029_IrrigDemand,37_ADC030_IrrigDemand,37_ADC031_IrrigDemand,37_ADC029_IrrigSupply,37_ADC030_IrrigSupply,37_ADC031_IrrigSupply,37_ADC029_IrrigShortage,37_ADC030_IrrigShortage,37_ADC031_IrrigShortage,37_ADC029_IrrigSupDirectFlow,37_ADC030_IrrigSupDirectFlow,37_ADC031_IrrigSupDirectFlow
1970-10,3078.0001,3078.0001,0.0000,3078.0001,,,,1234.0001,1141.0000,703.0000,1234.0001,1141.0000,703.0000,0.0000,0.0000,0.0000,1234.0001,1141.0000,703.0000
1970-11,45.0000,45.0000,0.0000,45.0000,,,,20.0000,11.0000,14.0000,20.0000,11.0000,14.0000,0.0000,0.0000,0.0000,20.0000,11.0000,14.0000
1970-12,14.0000,14.0000,0.0000,14.0000,,,,5.0000,6.0000,3.0000,5.0000,6.0000,3.0000,0.0000,0.0000,0.0000,5.0000,6.0000,3.0000
1971-01,32.0000,32.0000,0.0000,32.0000,,,,20.0000,7.0000,5.0000,20.0000,7.0000,5.0000,0.0000,0.0000,0.0000,20.0000,7.0000,5.0000
1971-02,30.0000,30.0000,0.0000,30.0000,,,,13.0000,6.0000,11.0000,13.0000,6.0000,11.0000,0.0000,0.0000,0.0000,13.0000,6.0000,11.0000
1971-03,25.0000,25.0000,0.0000,25.0000,,,,15.0000,6.0000,4.0000,15.0000,6.0000,4.0000,0.0000,0.0000,0.0000,15.0000,6.0000,4.0000
1971-04,447.0000,448.9468,0.0000,447.0000,,,,244.0000,105.0000,98.0000,244.0000,106.9468,98.0000,0.0000,0.0000,0.0000,244.0000,105.0000,98.0000
1971-05,2474.0001,2520.2898,0.0000,2474.0001,,,,936.9999,1020.0001,517.0000,952.8707,1020.0001,547.4190,0.0000,0.0000,0.0000,936.9999,1020.0001,517.0000
1971-06,7695.0000,7695.0000,.0002,7695.0000,,,,3214.0000,2960.0000,1521.0000,3213.9998,2960.0002,1521.0000,.0002,0.0000,0.0000,3213.9998,2960.0002,1521.0000
1971-07,7962.0000,7962.0000,.0002,7962.0000,,,,3467.0000,2991.0000,1504.0000,3466.9998,2991.0002,1504.0000,.0002,0.0000,0.0000,3466.9998,2991.0002,1504.0000
1971-08,6341.9998,6341.9998,0.0000,6341.9998,,,,2749.9998,2320.0000,1272.0000,2749.9998,2320.0000,1272.0000,0.0000,0.0000,0.0000,2749.9998,2320.0000,1272.0000
1971-09,3954.0000,3954.0000,0.0000,3954.0000,,,,1735.0000,1345.0000,874.0000,1735.0000,1345.0000,874.0000,0.0000,0.0000,0.0000,1735.0000,1345.0000,874.0000
1971-10,2598.9999,2598.9999,0.0000,2598.9999,,,,1098.9999,890.0000,610.0000,1098.9999,890.0000,610.0000,0.0000,0.0000,0.0000,1098.9999,890.0000,610.0000
1971-11,45.0000,45.0000,0.0000,45.0000,,,,20.0000,11.0000,14.0000,20.0000,11.0000,14.0000,0.0000,0.0000,0.0000,20.0000,11.0000,14.0000
1971-12,14.0000,14.0000,0.0000,14.0000,,,,5.0000,6.0000,3.0000,5.0000,6.0000,3.0000,0.0000,0.0000,0.0000,5.0000,6.0000,3.0000
1972-01,32.0000,32.0000,0.0000,32.0000,,,,20.0000,7.0000,5.0000,20.0000,7.0000,5.0000,0.0000,0.0000,0.0000,20.0000,7.0000,5.0000
1972-02,30.0000,30.0000,0.0000,30.0000,,,,13.0000,6.0000,11.0000,13.0000,6.0000,11.0000,0.0000,0.0000,0.0000,13.0000,6.0000,11.0000
1972-03,25.0000,25.0000,0.0000,25.0000,,,,15.0000,6.0000,4.0000,15.0000,6.0000,4.0000,0.0000,0.0000,0.0000,15.0000,6.0000,4.0000
1972-04,285.0000,285.0000,0.0000,285.0000,,,,160.0000,79.0000,46.0000,160.0000,79.0000,46.0000,0.0000,0.0000,0.0000,160.0000,79.0000,46.0000
1972-05,2663.9999,2697.8432,0.0000,2663.9999,,,,1028.0000,1090.9999,545.0001,1029.5687,1090.9999,577.2746,0.0000,0.0000,0.0000,1028.0000,1090.9999,545.0001
1972-06,7432.0000,7432.0000,.0002,7432.0000,,,,3059.0000,2852.0000,1521.0000,3058.9998,2852.0002,1521.0000,.0002,0.0000,0.0000,3058.9998,2852.0002,1521.0000
1972-07,8016.9998,8016.9998,.0002,8016.9998,,,,3467.0000,3004.9998,1545.0000,3466.9998,3005.0000,1545.0000,.0002,0.0000,0.0000,3466.9998,3005.0000,1545.0000
1972-08,5888.0000,5887.9998,.0002,5887.9998,,,,2555.0000,2153.0000,1180.0000,2554.9998,2153.0000,1180.0000,.0002,0.0000,0.0000,2554.9998,2153.0000,1180.0000
1972-09,3954.0000,3954.0000,0.0000,3954.0000,,,,1735.0000,1345.0000,874.0000,1735.0000,1345.0000,874.0000,0.0000,0.0000,0.0000,1735.0000,1345.0000,874.0000
1972-10,3078.0001,3078.0001,0.0000,3078.0001,,,,1234.0001,1141.0000,703.0000,1234.0001,1141.0000,703.0000,0.0000,0.0000,0.0000,1234.0001,1141.0000,703.0000
1972-11,45.0000,45.0000,0.0000,45.0000,,,,20.0000,11.0000,14.0000,20.0000,11.0000,14.0000,0.0000,0.0000,0.0000,20.0000,11.0000,14.0000
1972-12,14.0000,14.0000,0.0000,14.0000,,,,5.0000,6.0000,3.0000,5.0000,6.0000,3.0000,0.0000,0.0000,0.0000,5.0000,6.0000,3.0000
1973-01,32.0000,32.0000,0.0000,32.0000,,,,20.0000,7.0000,5.0000,20.0000,7.0000,5.0000,0.0000,0.0000,0.0000,20.0000,7.0000,5.0000
1973-02,30.0000,30.0000,0.0000,30.0000,,,,13.0000,6.0000,11.0000,13.0000,6.0000,11.0000,0.0000,0.0000,0.0000,13.0000,6.0000,11.0000
1973-03,25.0000,25.0000,0.0000,25.0000,,,,15.0000,6.0000,4.0000,15.0000,6.0000,4.0000,0.0000,0.0000,0.0000,15.0000,6.0000,4.0000
1973-04,300.0000,300.8973,0.0000,300.0000,,,,141.0000,61.0000,98.0000,141.0000,61.8972,98.0000,0.0000,0.0000,0.0000,141.0000,61.0000,98.0000
1973-05,2565.0000,2612.8078,0.0000,2565.0000,,,,977.0000,1051.0000,537.0000,993.2044,1051.0000,568.6034,0.0000,0.0000,0.0000,977.0000,1051.0000,537.0000
1973-06,6885.0000,6884.9998,.0002,6884.9998,,,,3059.0000,2305.0000,1521.0000,3058.9998,2305.0000,1521.0000,.0002,0.0000,0.0000,3058.9998,2305.0000,1521.0000
1973-07,8396.0002,8396.0001,.0002,8396.0001,,,,3893.0002,2608.0000,1895.0000,3893.0000,2608.0000,1895.0001,.0002,0.0000,0.0000,3893.0000,2608.0000,1895.0001
1973-08,6238.9998,6238.9998,0.0000,6238.9998,,,,2749.9998,2253.0000,1236.0000,2749.9998,2253.0000,1236.0000,0.0000,0.0000,0.0000,2749.9998,2253.0000,1236.0000
1973-09,4019.0000,4019.0000,0.0000,4019.0000,,,,1763.0000,1382.0000,874.0000,1763.0000,1382.0000,874.0000,0.0000,0.0000,0.0000,1763.0000,1382.0000,874.0000
1973-10,3579.0001,3579.0001,0.0000,3579.0001,,,,1415.0001,1310.0000,854.0000,1415.0001,1310.0000,854.0000,0.0000,0.0000,0.0000,1415.0001,1310.0000,854.0000
1973-11,13.0000,13.0000,0.0000,13.0000,,,,13.0000,0.0000,0.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0000,0.0000
1973-12,0.0000,0.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
