Date,38_AGG_IrrigDemand,38_AGG_IrrigSupply,38_AGG_IrrigShortage,38_AGG_IrrigSupDirectFlow,38_AGG_MunDemand,38_AGG_MunSupply,38_AGG_MunShortage,38_ADC033_IrrigDemand,38_ADC034_IrrigDemand,38_ADC035_IrrigDemand,38_ADC036_IrrigDemand,38_ADC037_IrrigDemand,38_ADC038_IrrigDemand,38_ADC039_IrrigDemand,38_ADC040_IrrigDemand,38_ADC033_IrrigSupply,38_ADC034_IrrigSupply,38_ADC035_IrrigSupply,38_ADC036_IrrigSupply,38_ADC037_IrrigSupply,38_ADC038_IrrigSupply,38_ADC039_IrrigSupply,38_ADC040_IrrigSupply,38_ADC033_IrrigShortage,38_ADC034_IrrigShortage,38_ADC035_IrrigShortage,38_ADC036_IrrigShortage,38_ADC037_IrrigShortage,38_ADC038_IrrigShortage,38_ADC039_IrrigShortage,38_ADC040_IrrigShortage,38_ADC033_IrrigSupDirectFlow,38_ADC034_IrrigSupDirectFlow,38_ADC035_IrrigSupDirectFlow,38_ADC036_IrrigSupDirectFlow,38_ADC037_IrrigSupDirectFlow,38_ADC038_IrrigSupDirectFlow,38_ADC039_IrrigSupDirectFlow,38_ADC040_IrrigSupDirectFlow,3800880_D_IrrigDemand,3800880_D_IrrigSupply,3800880_D_IrrigShortage,3800880_D_IrrigSupDirectFlow,3801096_D_IrrigDemand,3801096_D_IrrigSupply,3801096_D_IrrigShortage,3801096_D_IrrigSupDirectFlow,3803713M1_MunDemand,3803713M1_MunSupply,3803713M1_MunShortage,3803713M2_MunDemand,3803713M2_MunSupply,3803713M2_MunShortage
1970-10,6378.0000,6231.0032,147.0000,6230.9998,1130.0000,1130.0000,0.0000,644.0000,1274.0000,379.0000,456.0000,2047.0000,460.0000,644.0000,47.0000,644.0000,1274.0000,379.0000,456.0000,2047.0013,460.0000,644.0000,47.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,644.0000,1274.0000,379.0000,456.0000,2046.9998,460.0000,644.0000,47.0000,284.0000,137.0000,147.0000,137.0000,143.0000,143.0000,0.0000,143.0000,150.0000,150.0000,0.0000,980.0000,980.0000,0.0000
1970-11,429.0000,429.0000,0.0000,429.0000,1084.0000,1084.0000,0.0000,15.0000,32.0000,8.0000,12.0000,238.0000,38.0000,21.0000,5.0000,15.0000,32.0000,8.0000,12.0000,238.0000,38.0000,21.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,32.0000,8.0000,12.0000,238.0000,38.0000,21.0000,5.0000,32.0000,32.0000,0.0000,32.0000,28.0000,28.0000,0.0000,28.0000,150.0000,150.0000,0.0000,934.0000,934.0000,0.0000
1970-12,224.0000,224.0000,0.0000,224.0000,1130.0000,1130.0000,0.0000,12.0000,0.0000,6.0000,0.0000,105.0000,19.0000,4.0000,0.0000,12.0000,0.0000,6.0000,0.0000,105.0000,19.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0000,6.0000,0.0000,105.0000,19.0000,4.0000,0.0000,57.0000,57.0000,0.0000,57.0000,21.0000,21.0000,0.0000,21.0000,150.0000,150.0000,0.0000,980.0000,980.0000,0.0000
1971-01,199.0000,199.0000,0.0000,199.0000,1130.0000,1130.0000,0.0000,12.0000,0.0000,6.0000,0.0000,89.0000,20.0000,4.0000,0.0000,12.0000,0.0000,6.0000,0.0000,89.0000,20.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0000,6.0000,0.0000,89.0000,20.0000,4.0000,0.0000,45.0000,45.0000,0.0000,45.0000,23.0000,23.0000,0.0000,23.0000,150.0000,150.0000,0.0000,980.0000,980.0000,0.0000
1971-02,207.0000,207.0000,0.0000,207.0000,1130.0000,1130.0000,0.0000,11.0000,0.0000,5.0000,0.0000,104.0000,18.0000,3.0000,0.0000,11.0000,0.0000,5.0000,0.0000,104.0000,18.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,5.0000,0.0000,104.0000,18.0000,3.0000,0.0000,49.0000,49.0000,0.0000,49.0000,17.0000,17.0000,0.0000,17.0000,150.0000,150.0000,0.0000,980.0000,980.0000,0.0000
1971-03,312.0000,312.0000,0.0000,312.0000,1130.0000,1130.0000,0.0000,21.0000,7.0000,15.0000,1.0000,163.0000,14.0000,3.0000,6.0000,21.0000,7.0000,15.0000,1.0000,163.0000,14.0000,3.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0000,7.0000,15.0000,1.0000,163.0000,14.0000,3.0000,6.0000,48.0000,48.0000,0.0000,48.0000,34.0000,34.0000,0.0000,34.0000,150.0000,150.0000,0.0000,980.0000,980.0000,0.0000
1971-04,1028.0000,1028.0053,0.0000,1028.0000,1130.0001,1130.0001,0.0000,31.0000,131.0000,74.0000,69.0000,365.0000,46.0000,115.0000,32.0000,31.0000,131.0000,74.0000,69.0000,365.0027,46.0000,115.0000,32.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0000,131.0000,74.0000,69.0000,365.0000,46.0000,115.0000,32.0000,138.0000,138.0000,0.0000,138.0000,27.0000,27.0000,0.0000,27.0000,150.0000,150.0000,0.0000,980.0001,980.0001,0.0000
1971-05,9099.0000,9099.0391,0.0000,9098.9998,1180.0000,1180.0000,0.0000,987.9999,1276.9999,772.0000,869.0000,2319.0002,862.0000,931.0000,357.0000,987.9999,1277.0000,772.0000,869.0000,2319.0195,862.0000,931.0000,357.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,987.9999,1276.9999,772.0000,869.0000,2319.0000,862.0000,931.0000,357.0000,542.0000,542.0000,0.0000,542.0000,182.0000,182.0000,0.0000,182.0000,200.0000,200.0000,0.0000,980.0000,980.0000,0.0000
1971-06,19771.0005,19690.9644,80.0826,19690.8711,1130.0001,1130.0001,0.0000,2594.0000,3723.0000,1523.0000,2159.0000,4255.0005,1736.0000,1594.0000,473.0000,2594.0000,3723.0000,1523.0001,2159.0000,4174.9180,1736.0000,1593.9999,473.0464,0.0000,0.0000,0.0000,0.0000,80.0825,0.0000,.0001,0.0000,2594.0000,3723.0000,1523.0001,2159.0000,4174.8711,1736.0000,1593.9999,473.0000,1094.0000,1094.0000,0.0000,1094.0000,620.0000,620.0000,0.0000,620.0000,150.0000,150.0000,0.0000,980.0001,980.0001,0.0000
1971-07,18742.0004,18742.1147,0.0000,18742.0005,1130.0000,1130.0000,0.0000,2382.0002,3977.0002,1379.0000,2094.0000,4107.0000,1520.0000,1237.0000,312.0000,2382.0002,3977.0002,1379.0001,2094.0000,4107.0571,1520.0000,1237.0000,312.0570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2382.0002,3977.0002,1379.0001,2094.0000,4107.0000,1520.0000,1237.0000,312.0000,1196.0000,1196.0000,0.0000,1196.0000,537.9999,537.9999,0.0000,537.9999,150.0000,150.0000,0.0000,980.0000,980.0000,0.0000
