Date,39_AGG_IrrigDemand,39_AGG_IrrigSupply,39_AGG_IrrigShortage,39_AGG_IrrigSupDirectFlow,39_AGG_MunDemand,39_AGG_MunSupply,39_AGG_MunShortage,39_ADC041_IrrigDemand,39_ADC045_IrrigDemand,39_ADC041_IrrigSupply,39_ADC045_IrrigSupply,39_ADC041_IrrigShortage,39_ADC045_IrrigShortage,39_ADC041_IrrigSupDirectFlow,39_ADC045_IrrigSupDirectFlow,3900563_I_IrrigDemand,3900563_I_IrrigSupply,3900563_I_IrrigShortage,3900563_I_IrrigSupDirectFlow,3903505_I_IrrigDemand,3903505_I_IrrigSupply,3903505_I_IrrigShortage,3903505_I_IrrigSupDirectFlow
1970-10,1396.0000,1396.0000,0.0000,715.0000,,,,585.0000,130.0000,585.0000,130.0000,0.0000,0.0000,585.0000,130.0000,209.0000,209.0000,0.0000,0.0000,472.0000,472.0000,0.0000,0.0000
1970-11,1847.9999,1847.9999,0.0000,67.0000,,,,7.0000,60.0000,7.0000,60.0000,0.0000,0.0000,7.0000,60.0000,766.0000,766.0000,0.0000,0.0000,1014.9999,1014.9999,0.0000,0.0000
1970-12,1951.0000,1951.0000,0.0000,74.0000,,,,12.0000,62.0000,12.0000,62.0000,0.0000,0.0000,12.0000,62.0000,807.0000,807.0000,0.0000,0.0000,1070.0000,1070.0000,0.0000,0.0000
1971-01,1810.0000,1810.0000,0.0000,70.0000,,,,8.0000,62.0000,8.0000,62.0000,0.0000,0.0000,8.0000,62.0000,748.0000,748.0000,0.0000,0.0000,992.0000,992.0000,0.0000,0.0000
1971-02,99.0000,99.0000,0.0000,63.0000,,,,7.0000,56.0000,7.0000,56.0000,0.0000,0.0000,7.0000,56.0000,0.0000,0.0000,0.0000,0.0000,36.0000,36.0000,0.0000,0.0000
1971-03,70.0000,70.0000,0.0000,70.0000,,,,8.0000,62.0000,8.0000,62.0000,0.0000,0.0000,8.0000,62.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1971-04,2761.9999,2770.0199,0.0000,301.0000,,,,137.0000,164.0000,145.0200,164.0000,0.0000,0.0000,137.0000,164.0000,425.0000,425.0000,0.0000,0.0000,2035.9999,2035.9999,0.0000,0.0000
1971-05,6545.0002,6545.0002,0.0000,3240.0004,,,,2150.0002,1090.0001,2150.0002,1090.0001,0.0000,0.0000,2150.0002,1090.0001,1090.9999,1090.9999,0.0000,0.0000,2214.0000,2214.0000,0.0000,0.0000
1971-06,10378.0000,10204.5939,173.4068,5988.0005,,,,4352.0000,1636.0000,4352.0005,1636.0000,0.0000,0.0000,4352.0005,1636.0000,1647.0000,1473.5934,173.4068,0.0000,2743.0000,2743.0000,0.0000,0.0000
1971-07,10481.0005,10217.5804,263.4200,5362.0005,,,,4223.0005,1139.0000,4223.0005,1139.0000,0.0000,0.0000,4223.0005,1139.0000,1892.0000,1628.5800,263.4200,0.0000,3227.0000,3227.0000,0.0000,0.0000
