"Date","42_AGG_IrrigDemand","42_AGG_IrrigSupply","42_AGG_IrrigShortage","42_AGG_IrrigSupDirectFlow","42_AGG_MunDemand","42_AGG_MunSupply","42_AGG_MunShortage","42_ADG040_IrrigDemand","42_ADG040_IrrigSupply","42_ADG040_IrrigShortage","42_ADG040_IrrigSupDirectFlow","4200541_I_IrrigDemand","4200541_I_IrrigSupply","4200541_I_IrrigShortage","4200541_I_IrrigSupDirectFlow"
"1970-10",2231,2231,0,2231,NA,NA,NA,NA,NA,NA,NA,2231,2231,0,2231
"1970-11",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"1970-12",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"1971-01",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"1971-02",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"1971-03",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"1971-04",2385,2385,0,2385,NA,NA,NA,NA,NA,NA,NA,2385,2385,0,2385
"1971-05",4612,4612,0,4612,NA,NA,NA,NA,NA,NA,NA,4612,4612,0,4612
"1971-06",4800,4800,0,4800,NA,NA,NA,NA,NA,NA,NA,4800,4800,0,4800
"1971-07",4996.0005,4996.0005,0,4996.0005,NA,NA,NA,NA,NA,NA,NA,4996.0005,4996.0005,0,4996.0005
"1971-08",4677,4677,0,4677,NA,NA,NA,NA,NA,NA,NA,4677,4677,0,4677
"1971-09",4463,4463,0,4463,NA,NA,NA,NA,NA,NA,NA,4463,4463,0,4463
"1971-10",2231,2231,0,2231,NA,NA,NA,NA,NA,NA,NA,2231,2231,0,2231
"1971-11",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"1971-12",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"1972-01",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"1972-02",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"1972-03",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
