"Date","43_AGG_IrrigDemand","43_AGG_IrrigSupply","43_AGG_IrrigShortage","43_AGG_IrrigSupDirectFlow","43_AGG_MunDemand","43_AGG_MunSupply","43_AGG_MunShortage","4300527_D_IrrigDemand","4300527_D_IrrigSupply","4300527_D_IrrigShortage","4300527_D_IrrigSupDirectFlow","4300537_D_IrrigDemand","4300537_D_IrrigSupply","4300537_D_IrrigShortage","4300537_D_IrrigSupDirectFlow","4300578_D_IrrigDemand","4300578_D_IrrigSupply","4300578_D_IrrigShortage","4300578_D_IrrigSupDirectFlow","43_ADW001_IrrigDemand","43_ADW002_IrrigDemand","43_ADW003_IrrigDemand","43_ADW004_IrrigDemand","43_ADW005_IrrigDemand","43_ADW006_IrrigDemand","43_ADW007_IrrigDemand","43_ADW008_IrrigDemand","43_ADW009_IrrigDemand","43_ADW010_IrrigDemand","43_ADW012_IrrigDemand","43_ADW013_IrrigDemand","43_ADW014_IrrigDemand","43_ADW015_IrrigDemand","43_ADW016_IrrigDemand","43_ADW001_IrrigSupply","43_ADW002_IrrigSupply","43_ADW003_IrrigSupply","43_ADW004_IrrigSupply","43_ADW005_IrrigSupply","43_ADW006_IrrigSupply","43_ADW007_IrrigSupply","43_ADW008_IrrigSupply","43_ADW009_IrrigSupply","43_ADW010_IrrigSupply","43_ADW012_IrrigSupply","43_ADW013_IrrigSupply","43_ADW014_IrrigSupply","43_ADW015_IrrigSupply","43_ADW016_IrrigSupply","43_ADW001_IrrigShortage","43_ADW002_IrrigShortage","43_ADW003_IrrigShortage","43_ADW004_IrrigShortage","43_ADW005_IrrigShortage","43_ADW006_IrrigShortage","43_ADW007_IrrigShortage","43_ADW008_IrrigShortage","43_ADW009_IrrigShortage","43_ADW010_IrrigShortage","43_ADW012_IrrigShortage","43_ADW013_IrrigShortage","43_ADW014_IrrigShortage","43_ADW015_IrrigShortage","43_ADW016_IrrigShortage","43_ADW001_IrrigSupDirectFlow","43_ADW002_IrrigSupDirectFlow","43_ADW003_IrrigSupDirectFlow","43_ADW004_IrrigSupDirectFlow","43_ADW005_IrrigSupDirectFlow","43_ADW006_IrrigSupDirectFlow","43_ADW007_IrrigSupDirectFlow","43_ADW008_IrrigSupDirectFlow","43_ADW009_IrrigSupDirectFlow","43_ADW010_IrrigSupDirectFlow","43_ADW012_IrrigSupDirectFlow","43_ADW013_IrrigSupDirectFlow","43_ADW014_IrrigSupDirectFlow","43_ADW015_IrrigSupDirectFlow","43_ADW016_IrrigSupDirectFlow","4300815_D_IrrigDemand","4300815_D_IrrigSupply","4300815_D_IrrigShortage","4300815_D_IrrigSupDirectFlow","4300819_D_IrrigDemand","4300819_D_IrrigSupply","4300819_D_IrrigShortage","4300819_D_IrrigSupDirectFlow","4300694_D_IrrigDemand","4300694_D_IrrigSupply","4300694_D_IrrigShortage","4300694_D_IrrigSupDirectFlow","4300564_MunDemand","4300564_MunSupply","4300564_MunShortage","4303633_F_MunDemand","4303633_F_MunSupply","4303633_F_MunShortage","4303633_O_MunDemand","4303633_O_MunSupply","4303633_O_MunShortage","4306045_MunDemand","4306045_MunSupply","4306045_MunShortage","43_OilDem_MunDemand","43_OilDem_MunSupply","43_OilDem_MunShortage","4302571_MunDemand","4302571_MunSupply","4302571_MunShortage","4304313_O_MunDemand","4304313_O_MunSupply","4304313_O_MunShortage","43_AMW001_MunDemand","43_AMW001_MunSupply","43_AMW001_MunShortage"
"1970-10",6922.0002,6922.9005,0,6922.0002,43643,33542.0625,10100.9424,492,492,0,492,3,3,0,3,22,22,0,22,308,34,318,30,42,71,15,87,294,378,95,191,175,240,145,308,34,318,30,42,71,15.9,87,294,378,95,191,175,240,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,34,318,30,42,71,15,87,294,378,95,191,175,240,145,23,23,0,23,1420.0001,1420.0005,0,1420.0001,2539,2539,0,2539,48,48,0,0,0,0,0,0,0,31,31,0,0,0,0,43472,33371.0625,10100.9424,0,0,0,92,92,0
"1970-11",221,221,0,221,42217.9961,30373.4824,11844.5166,89,89,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,7,5,0,0,7,0,4,0,0,0,0,0,0,0,109,7,5,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,7,5,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,20,20,0,0,0,0,42069.9961,30225.4824,11844.5166,0,0,0,92,92,0
"1970-12",224,224,0,224,43625,28560.3594,15064.6416,92,92,0,92,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,105,0,0,0,0,6,0,6,0,0,14,0,0,0,1,105,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,105,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,24,24,0,0,0,0,43472,28407.3594,15064.6416,0,0,0,92,92,0
"1971-01",287,287,0,287,43625,25867.7656,17757.2363,103,103,0,103,0,0,0,0,0,0,0,0,3,0,69,0,0,0,3,95,0,0,0,0,4,0,10,3,0,69,0,0,0,3,95,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,69,0,0,0,3,95,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,24,24,0,0,0,0,43472,25714.7656,17757.2363,0,0,0,92,92,0
"1971-02",252,252,0,252,39414,23556.4355,15857.5635,86,86,0,86,0,0,0,0,0,0,0,0,3,0,62,0,0,0,4,84,0,0,0,0,3,0,10,3,0,62,0,0,0,4,84,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,62,0,0,0,4,84,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,23,23,0,0,0,0,39265,23407.4355,15857.5635,0,0,0,92,92,0
"1971-03",505,505,0,505,43625,26446.3418,17178.6621,129,129,0,129,0,0,0,0,0,0,0,0,3,0,112,3,86,0,18,76,19,27,18,0,4,0,10,3,0,112,3,86,0,18,76,19,27,18,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,112,3,86,0,18,76,19,27,18,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,24,24,0,0,0,0,43472,26293.3418,17178.6621,0,0,0,92,92,0
"1971-04",5151,5153.3208,0,5151,42221.9961,42221.9961,0,112,112,0,112,9,9,0,9,155,155,0,155,169,42,375,825,221,35,450,167,550,501,85,317,173,93,446,169,44.32,375,825.0001,221,35,450,167,550,501,85,317,173,93,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,42,375,825.0001,221,35,450,167,550,501,85,317,173,93,446,19,19,0,19,144,144.0008,0,144,263,263,0,263,36,36,0,0,0,0,0,0,0,24,24,0,0,0,0,42069.9961,42069.9961,0,0,0,0,92,92,0
"1971-05",19897.0004,19901.2959,0,19897.0007,43634,43634,0,600,600,0,600,200,200,0,200,1404,1404,0,1404,333,218,673,882,708,104,571,169,723,1408,493,1107,735.0001,164,1432.9999,333,222.28,673.0001,882.0001,708.0001,104,571,169,723,1408,493,1107,735.0001,164,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,218,673.0001,882.0001,708.0001,104,571,169,723,1408,493,1107,735.0001,164,1433,303,303,0,303,3280,3280.0151,0,3280,4389.0005,4389.0005,0,4389.0005,40,40,0,0,0,0,0,0,0,30,30,0,0,0,0,43472,43472,0,0,0,0,92,92,0
"1971-06",39617.0006,38818.2771,798.7597,38818.241,42232.9961,42232.9961,0,1400,1400,0,1400,2077,2077,0,2077,1195,1195,0,1195,1261,1051.0001,2226.0002,888,841.0001,132,568,207,1019,1927.0001,803,1911,1279,259,2587,1261.0001,1051.0001,2226.0002,888.0001,841.0001,132,568,161.8536,1019,1173.3868,803,1911,1278.9999,259,2587,0,0,0,0,0,0,0,45.1464,0,753.6132,0,0,1e-04,0,0,1261.0001,1051.0001,2226.0002,888.0001,841.0001,132,568,161.8536,1019,1173.3868,803,1911,1278.9999,259,2587,278,278,0,278,7041,7041.0361,0,7041,10667,10667,0,10667,37,37,0,0,0,0,0,0,0,34,34,0,0,0,0,42069.9961,42069.9961,0,0,0,0,92,92,0
"1971-07",36903.0012,35467.3326,1528.7767,35289.9622,43635,43635,0,1850.0001,1798.5387,51.4614,1798.5387,2032,2032,0,2032,668,701.28,0,668,1181,1213,2507,790,687,79,351,210,1000.0001,1753,868,2147,1278,203,2060,1181,1213.0001,2507,837.4,687,79,226.5402,140.5694,670.2246,799.3505,868,2147,1278,215.38,2060.0002,0,0,0,0,0,0,124.4598,69.4306,329.7755,953.6495,0,0,0,0,0,1181,1213.0001,2507,790,687,79,159.8701,122.977,670.2246,799.3505,868,2147,1278,203,2060.0002,281,281,0,281,6904,6904.0479,0,6904,8841.001,8841.001,0,8841.001,36,36,0,0,0,0,0,0,0,35,35,0,0,0,0,43472,43472,0,0,0,0,92,92,0
"1971-08",29431,27538.7095,1999.5083,27431.4494,43635,23276.6094,20358.3926,1650,876.2111,773.7888,876.2111,793.0001,793.0001,0,793.0001,593,628.78,0,593,1206.0001,878,1972.9999,570,482,61,153,114,762,977,585,1625,947,167,1517,1206.0002,878,1972.9999,604.2001,509.8571,61,162.38,114,473.4614,680.884,585,1625,947,167,1517,0,0,0,0,0,0,0,0,288.5385,296.116,0,0,0,0,0,1206.0002,878,1972.9999,570.0001,482,61,153,114,473.4614,680.884,585,1625,947,167,1517,345,345,0,345,6833,6191.9351,641.0649,6191.8921,7200,7200.0005,0,7200.0005,36,36,0,0,0,0,0,0,0,35,35,0,0,0,0,43472,23113.6094,20358.3926,0,0,0,92,92,0
"1971-09",15695.9997,15041.0212,679.1995,15016.8003,42230.9961,31406.1504,10824.8477,1072,847.9463,224.0538,847.9463,111,111,0,111,185,196.1,0,185,903,307,624.9999,202,380,82,87,124,396,1118,160,480,333,218,930,903,307,624.9999,213.92,380,82,88.1873,119.01,396,667.8443,160,480,333,218,930,0,0,0,0,0,0,0,4.99,0,450.1558,0,0,0,0,0,903,307,624.9999,202,380,82,87,119.01,396,667.8443,160,480,333,218,930,133,133,0,133,3399.9998,3400.0134,0,3399.9998,4450,4450,0,4450,35,35,0,0,0,0,0,0,0,34,34,0,0,0,0,42069.9961,31245.1504,10824.8477,0,0,0,92,92,0
