Date,45_AGG_IrrigDemand,45_AGG_IrrigSupply,45_AGG_IrrigShortage,45_AGG_IrrigSupDirectFlow,45_AGG_MunDemand,45_AGG_MunSupply,45_AGG_MunShortage,45_ADC042_IrrigDemand,45_ADC043_IrrigDemand,45_ADC044_IrrigDemand,45_ADC046_IrrigDemand,45_ADC047_IrrigDemand,45_ADC048_IrrigDemand,45_ADC042_IrrigSupply,45_ADC043_IrrigSupply,45_ADC044_IrrigSupply,45_ADC046_IrrigSupply,45_ADC047_IrrigSupply,45_ADC048_IrrigSupply,45_ADC042_IrrigShortage,45_ADC043_IrrigShortage,45_ADC044_IrrigShortage,45_ADC046_IrrigShortage,45_ADC047_IrrigShortage,45_ADC048_IrrigShortage,45_ADC042_IrrigSupDirectFlow,45_ADC043_IrrigSupDirectFlow,45_ADC044_IrrigSupDirectFlow,45_ADC046_IrrigSupDirectFlow,45_ADC047_IrrigSupDirectFlow,45_ADC048_IrrigSupDirectFlow,4500576_D_IrrigDemand,4500576_D_IrrigSupply,4500576_D_IrrigShortage,4500576_D_IrrigSupDirectFlow,4500632_D_IrrigDemand,4500632_D_IrrigSupply,4500632_D_IrrigShortage,4500632_D_IrrigSupDirectFlow,4500693_D_IrrigDemand,4500693_D_IrrigSupply,4500693_D_IrrigShortage,4500693_D_IrrigSupDirectFlow
1970-10,2738.0000,2671.2338,67.0000,2671.0000,,,,923.0000,148.0000,220.0000,122.0000,329.0000,549.0001,923.0000,148.0000,220.0000,122.0024,329.0000,549.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,923.0000,148.0000,220.0000,122.0000,329.0000,549.0001,193.0000,193.2306,0.0000,193.0000,67.0000,0.0000,67.0000,0.0000,187.0000,187.0008,0.0000,187.0000
1970-11,489.0000,449.0000,40.0000,449.0000,,,,23.0000,15.0000,111.0000,53.0000,113.0000,28.0000,23.0000,15.0000,111.0000,53.0000,113.0000,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,15.0000,111.0000,53.0000,113.0000,28.0000,92.0000,92.0000,0.0000,92.0000,40.0000,0.0000,40.0000,0.0000,14.0000,14.0000,0.0000,14.0000
1970-12,385.0000,366.0000,19.0000,366.0000,,,,1.0000,16.0000,101.0000,50.0000,88.0000,29.0000,1.0000,16.0000,101.0000,50.0000,88.0000,29.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,16.0000,101.0000,50.0000,88.0000,29.0000,47.0000,47.0000,0.0000,47.0000,44.0000,25.0000,19.0000,25.0000,9.0000,9.0000,0.0000,9.0000
1971-01,350.0000,350.0000,0.0000,350.0000,,,,1.0000,19.0000,97.0000,47.0000,84.0000,28.0000,1.0000,19.0000,97.0000,47.0000,84.0000,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,19.0000,97.0000,47.0000,84.0000,28.0000,33.0000,33.0000,0.0000,33.0000,41.0000,41.0000,0.0000,41.0000,0.0000,0.0000,0.0000,0.0000
1971-02,315.0000,275.0000,40.0000,275.0000,,,,1.0000,13.0000,86.0000,42.0000,69.0000,30.0000,1.0000,13.0000,86.0000,42.0000,69.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,13.0000,86.0000,42.0000,69.0000,30.0000,34.0000,34.0000,0.0000,34.0000,40.0000,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1971-03,405.0000,365.0000,40.0000,365.0000,,,,2.0000,33.0000,92.0000,86.0000,70.0000,48.0000,2.0000,33.0000,92.0000,86.0000,70.0000,48.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,33.0000,92.0000,86.0000,70.0000,48.0000,34.0000,34.0000,0.0000,34.0000,40.0000,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1971-04,2801.0000,2819.1079,20.9200,2771.0000,,,,166.0000,404.0000,239.0000,392.0000,192.0000,663.0000,166.0000,404.0000,239.6345,392.0083,192.0000,663.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,166.0000,404.0000,239.0000,392.0000,192.0000,663.0000,637.0000,674.6461,0.0000,637.0000,78.0000,57.0800,20.9200,48.0000,30.0000,30.7390,0.0000,30.0000
1971-05,15663.0003,15310.2008,352.8694,15291.0233,,,,1910.0000,2362.0000,1102.0000,832.0001,1097.0000,3312.0002,1910.0000,2362.0000,1102.0000,832.0219,1097.0000,3312.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1910.0000,2362.0000,1102.0000,832.0001,1097.0000,3312.0002,3783.0000,3783.0222,0.0000,3783.0000,494.0000,141.1306,352.8694,122.0230,771.0000,771.0259,0.0000,771.0000
1971-06,20073.0005,20073.1496,.0001,20073.0004,,,,2563.0000,2763.0000,1541.0000,1000.0001,1830.0000,4135.0000,2563.0000,2763.0000,1541.0000,1000.0483,1829.9999,4135.0000,0.0000,0.0000,0.0000,0.0000,.0001,0.0000,2563.0000,2763.0000,1541.0000,1000.0001,1829.9999,4135.0000,4744.0005,4744.0469,0.0000,4744.0005,615.0000,615.0000,0.0000,615.0000,882.0000,882.0545,0.0000,882.0000
1971-07,12760.0002,11114.7846,1825.9158,9210.5207,,,,2279.0000,975.0000,1310.0000,540.0000,772.0000,1869.0000,2279.0000,1033.4999,1363.7424,563.5741,797.7601,1869.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2279.0000,974.9999,1310.0000,540.0000,772.0000,1869.0000,3892.0002,2092.4539,1799.5464,445.4978,350.0000,323.6306,26.3694,247.0230,772.9999,792.1236,0.0000,772.9999
1971-08,10522.0002,7020.3936,3640.5383,6791.1732,,,,2021.0000,847.0000,1138.0000,435.0000,668.0000,1066.0000,2021.0000,897.6199,1184.8231,453.9903,690.4983,1066.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2021.0000,846.9999,1138.0000,435.0000,668.0000,1066.0000,3382.0002,0.0000,3382.0002,0.0000,303.0000,63.9364,239.0636,0.0000,662.0000,642.5256,19.4745,616.1732
1971-09,5684.9999,4405.8324,1305.0477,4362.9999,,,,1728.0000,328.0000,419.0000,152.0000,424.0000,985.9999,1728.0000,333.8800,432.4938,158.4905,424.0000,985.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1728.0000,328.0000,419.0000,152.0000,424.0000,985.9999,1212.0000,16.9524,1195.0477,0.0000,110.0000,0.0000,110.0000,0.0000,326.0000,326.0158,0.0000,326.0000
1971-10,2997.0000,2852.4424,146.3630,2817.6741,,,,1035.0000,142.0000,166.0000,38.0000,278.0000,823.0000,1035.0000,142.0000,166.0000,39.8041,278.0000,823.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1035.0000,142.0000,166.0000,38.0000,278.0000,823.0000,312.0000,212.6371,99.3630,179.6741,47.0000,0.0000,47.0000,0.0000,156.0000,156.0012,0.0000,156.0000
1971-11,464.0000,424.0000,40.0000,424.0000,,,,1.0000,15.0000,111.0000,50.0000,113.0000,28.0000,1.0000,15.0000,111.0000,50.0000,113.0000,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,15.0000,111.0000,50.0000,113.0000,28.0000,92.0000,92.0000,0.0000,92.0000,40.0000,0.0000,40.0000,0.0000,14.0000,14.0000,0.0000,14.0000
1971-12,381.0000,337.0000,44.0000,337.0000,,,,0.0000,16.0000,101.0000,47.0000,88.0000,29.0000,0.0000,16.0000,101.0000,47.0000,88.0000,29.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,101.0000,47.0000,88.0000,29.0000,47.0000,47.0000,0.0000,47.0000,44.0000,0.0000,44.0000,0.0000,9.0000,9.0000,0.0000,9.0000
1972-01,347.0000,306.0000,41.0000,306.0000,,,,1.0000,19.0000,97.0000,44.0000,84.0000,28.0000,1.0000,19.0000,97.0000,44.0000,84.0000,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,19.0000,97.0000,44.0000,84.0000,28.0000,33.0000,33.0000,0.0000,33.0000,41.0000,0.0000,41.0000,0.0000,0.0000,0.0000,0.0000,0.0000
