"Date","50_AGG_IrrigDemand","50_AGG_IrrigSupply","50_AGG_IrrigShortage","50_AGG_IrrigSupDirectFlow","50_AGG_MunDemand","50_AGG_MunSupply","50_AGG_MunShortage","5000734_D_IrrigDemand","5000734_D_IrrigSupply","5000734_D_IrrigShortage","5000734_D_IrrigSupDirectFlow","50_ADC012_IrrigDemand","50_ADC013_IrrigDemand","50_ADC014_IrrigDemand","50_ADC015_IrrigDemand","50_ADC016_IrrigDemand","50_ADC020_IrrigDemand","50_ADC012_IrrigSupply","50_ADC013_IrrigSupply","50_ADC014_IrrigSupply","50_ADC015_IrrigSupply","50_ADC016_IrrigSupply","50_ADC020_IrrigSupply","50_ADC012_IrrigShortage","50_ADC013_IrrigShortage","50_ADC014_IrrigShortage","50_ADC015_IrrigShortage","50_ADC016_IrrigShortage","50_ADC020_IrrigShortage","50_ADC012_IrrigSupDirectFlow","50_ADC013_IrrigSupDirectFlow","50_ADC014_IrrigSupDirectFlow","50_ADC015_IrrigSupDirectFlow","50_ADC016_IrrigSupDirectFlow","50_ADC020_IrrigSupDirectFlow","5000653_D_IrrigDemand","5000653_D_IrrigSupply","5000653_D_IrrigShortage","5000653_D_IrrigSupDirectFlow"
"1970-10",405,405,0,405,NA,NA,NA,6,6,0,6,210,4,11,16,11,27,210,4,11,16,11,27,0,0,0,0,0,0,210,4,11,16,11,27,120,120,0,120
"1970-11",5,5,0,5,NA,NA,NA,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"1970-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1971-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1971-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1971-03",6,6,0,6,NA,NA,NA,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,2
"1971-04",257,257,0,257,NA,NA,NA,0,0,0,0,0,0,0,212,0,45,0,0,0,212,0,45,0,0,0,0,0,0,0,0,0,212,0,45,0,0,0,0
"1971-05",8850.9998,8853.1599,0,8850.9998,NA,NA,NA,1457,1457,0,1457,1887,727.9999,1545.9999,930,434,938,1887,730.16,1545.9999,930,434,938,0,0,0,0,0,0,1887,727.9999,1545.9999,930,434,938,931,931,0,931
"1971-06",22509,22402.5166,106.484,22402.5166,NA,NA,NA,3675,3675,0,3675,5586,2583,3476,1303,1461,2088,5585.9995,2583.0002,3476,1303,1461.0002,1981.5166,5e-04,0,0,0,0,106.4836,5585.9995,2583.0002,3476,1303,1461.0002,1981.5166,2337,2337,0,2337
"1971-07",9749.0001,9292.591,586.4287,8801.4594,NA,NA,NA,1278,1278,0,1278,2255,1714.0001,1300,732,719,923.9999,2341.2998,1127.5713,1300,775.72,719,923.9999,0,586.4287,0,0,0,0,2255,766.4594,1300,732,719,923.9999,827,827,0,827
