"Date","52_AGG_IrrigDemand","52_AGG_IrrigSupply","52_AGG_IrrigShortage","52_AGG_IrrigSupDirectFlow","52_AGG_MunDemand","52_AGG_MunSupply","52_AGG_MunShortage","52_ADC021_IrrigDemand","52_ADC027_IrrigDemand","52_ADC021_IrrigSupply","52_ADC027_IrrigSupply","52_ADC021_IrrigShortage","52_ADC027_IrrigShortage","52_ADC021_IrrigSupDirectFlow","52_ADC027_IrrigSupDirectFlow"
"1970-10",186,186,0,186,NA,NA,NA,99,87,99,87,0,0,99,87
"1970-11",8,8,0,8,NA,NA,NA,3,5,3,5,0,0,3,5
"1970-12",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1971-01",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1971-02",3,3,0,3,NA,NA,NA,0,3,0,3,0,0,0,3
"1971-03",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1971-04",358,358,0,358,NA,NA,NA,236,122,236,122,0,0,236,122
"1971-05",4450,4449.9998,2e-04,4449.9998,NA,NA,NA,3233,1217,3232.9998,1217,2e-04,0,3232.9998,1217
"1971-06",7130.9995,7130.9996,0,7130.9996,NA,NA,NA,5318.9995,1812,5318.9995,1812.0001,0,0,5318.9995,1812.0001
"1971-07",4207,4206.9998,2e-04,4206.9998,NA,NA,NA,3276,931,3275.9998,931,2e-04,0,3275.9998,931
"1971-08",2238,2252.5973,0,2238,NA,NA,NA,1776,462,1776,476.5973,0,0,1776,462
"1971-09",1317.0001,1327.3858,0,1317.0001,NA,NA,NA,994.0001,323,994.0001,333.3858,0,0,994.0001,323
"1971-10",516,516,0,516,NA,NA,NA,420,96,420,96,0,0,420,96
"1971-11",8,8,0,8,NA,NA,NA,3,5,3,5,0,0,3,5
"1971-12",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1972-01",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1972-02",3,3,0,3,NA,NA,NA,0,3,0,3,0,0,0,3
"1972-03",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1972-04",835,835,0,835,NA,NA,NA,495,340,495,340,0,0,495,340
"1972-05",4359,4358.9998,2e-04,4358.9998,NA,NA,NA,3193,1166,3192.9998,1166,2e-04,0,3192.9998,1166
"1972-06",7130.9995,7130.9996,0,7130.9996,NA,NA,NA,5318.9995,1812,5318.9995,1812.0001,0,0,5318.9995,1812.0001
"1972-07",4714.9998,4714.9995,2e-04,4714.9995,NA,NA,NA,3695.9998,1019,3695.9995,1019,2e-04,0,3695.9995,1019
"1972-08",1993.9999,2007.0484,0,1993.9999,NA,NA,NA,1583.9999,410,1583.9999,423.0485,0,0,1583.9999,410
"1972-09",1162,1171.2719,0,1162,NA,NA,NA,874,288,874,297.2719,0,0,874,288
"1972-10",186,186,0,186,NA,NA,NA,99,87,99,87,0,0,99,87
"1972-11",8,8,0,8,NA,NA,NA,3,5,3,5,0,0,3,5
"1972-12",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1973-01",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1973-02",3,3,0,3,NA,NA,NA,0,3,0,3,0,0,0,3
"1973-03",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1973-04",517,517,0,517,NA,NA,NA,218,299,218,299,0,0,218,299
"1973-05",3984,3983.9998,2e-04,3983.9998,NA,NA,NA,2767,1217,2766.9998,1217,2e-04,0,2766.9998,1217
