"Date","53_AGG_IrrigDemand","53_AGG_IrrigSupply","53_AGG_IrrigShortage","53_AGG_IrrigSupDirectFlow","53_AGG_MunDemand","53_AGG_MunSupply","53_AGG_MunShortage","5300555_D_IrrigDemand","5300555_D_IrrigSupply","5300555_D_IrrigSupply_1","5300555_D_IrrigShortage","5300555_D_IrrigShortage_1","5300555_D_IrrigSupDirectFlow","5300555_D_IrrigSupDirectFlow_1","53_ADC022_IrrigDemand","53_ADC022_IrrigDemand_1","53_ADC023_IrrigDemand","53_ADC023_IrrigDemand_1","53_ADC024_IrrigDemand","53_ADC024_IrrigDemand_1","53_ADC025_IrrigDemand","53_ADC025_IrrigDemand_1","53_ADC026_IrrigDemand","53_ADC026_IrrigDemand_1","53_ADC028_IrrigDemand","53_ADC028_IrrigDemand_1","53_ADC032_IrrigDemand","53_ADC022_IrrigSupply","53_ADC022_IrrigSupply_1","53_ADC023_IrrigSupply","53_ADC023_IrrigSupply_1","53_ADC024_IrrigSupply","53_ADC024_IrrigSupply_1","53_ADC025_IrrigSupply","53_ADC025_IrrigSupply_1","53_ADC026_IrrigSupply","53_ADC026_IrrigSupply_1","53_ADC028_IrrigSupply","53_ADC028_IrrigSupply_1","53_ADC032_IrrigSupply","53_ADC032_IrrigSupply_1","53_ADC022_IrrigShortage","53_ADC022_IrrigShortage_1","53_ADC023_IrrigShortage","53_ADC023_IrrigShortage_1","53_ADC024_IrrigShortage","53_ADC024_IrrigShortage_1","53_ADC025_IrrigShortage","53_ADC025_IrrigShortage_1","53_ADC026_IrrigShortage","53_ADC026_IrrigShortage_1","53_ADC028_IrrigShortage","53_ADC028_IrrigShortage_1","53_ADC032_IrrigShortage","53_ADC032_IrrigShortage_1","53_ADC022_IrrigSupDirectFlow","53_ADC022_IrrigSupDirectFlow_1","53_ADC023_IrrigSupDirectFlow","53_ADC023_IrrigSupDirectFlow_1","53_ADC024_IrrigSupDirectFlow","53_ADC024_IrrigSupDirectFlow_1","53_ADC025_IrrigSupDirectFlow","53_ADC025_IrrigSupDirectFlow_1","53_ADC026_IrrigSupDirectFlow","53_ADC026_IrrigSupDirectFlow_1","53_ADC028_IrrigSupDirectFlow","53_ADC028_IrrigSupDirectFlow_1","53_ADC032_IrrigSupDirectFlow","53_ADC032_IrrigSupDirectFlow_1","5300767_D_IrrigDemand","5300767_D_IrrigDemand_1","5300767_D_IrrigSupply","5300767_D_IrrigSupply_1","5300767_D_IrrigShortage","5300767_D_IrrigShortage_1","5300767_D_IrrigSupDirectFlow","5300767_D_IrrigSupDirectFlow_1"
"1970-10",4680.0001,4518.6087,161.3937,6246.955,NA,NA,NA,438,438,0,0,0,438,438,15,15,61,61,94,94,44,44,114,114,340,340,438,15,15,61,61,94,94,44,44,114,114,340.0005,340.0005,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,61,61,94,94,44,44,114,114,340,340,438,438,64,64,23.6516,23.6516,40.3484,40.3484,23.6516,23.6516
"1970-11",569.2258,12,0,12,NA,NA,NA,281.6129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1970-12",6,12,0,12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1971-01",6,12,0,12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1971-02",4,8,0,8,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"1971-03",18,24,0,24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,0,0,0,0,0,0
"1971-04",2660,3580,0,3513,NA,NA,NA,8,8,8,0,0,8,8,9,9,16,16,15,15,14,14,228,228,86,86,452,9,9,16,16,15,15,14,14,228,228,86,86,452,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,16,16,15,15,14,14,228,228,86,86,452,452,67,67,67,67,0,0,67,67
"1971-05",32245.2672,41282.9792,9e-04,41191.9995,NA,NA,NA,901,901,901,0,0,901,901,588,588,777,777,585,585,714,714,1193,1193,1873.0001,1873.0001,3442,606.5537,606.5537,810.58,810.58,609.8552,609.8552,714,714,1193,1193,1873.0355,1873.0355,3441.9998,3441.9998,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,2e-04,588,588,777,777,585,585,714,714,1193,1193,1873.0001,1873.0001,3441.9998,3441.9998,19.6333,300,300,41.4414,0,0,300,300
"1971-06",58424.0007,71415.2925,1456.9504,71207.77,NA,NA,NA,2369,2369,2369,0,0,2142.1799,2142.1799,969.9999,969.9999,1283,1283,1349,1349,1031,1031,1922.0002,1922.0002,3389,3389,5555,680.8109,680.8109,1207.9514,1207.9514,1349,1349,1031,1031,1922.0002,1922.0002,3389.0605,3389.0605,5555,5555,289.1891,289.1891,75.0485,75.0485,0,0,0,0,0,0,0,0,0,0,680.8109,680.8109,1207.9514,1207.9514,1349,1349,1031,1031,1922.0002,1922.0002,3389,3389,5555,5555,700,700,700,0,0,0,700,700
"1971-07",43374.0005,52292.6066,4526.2372,55788.7106,NA,NA,NA,2406.9998,0,2406.9998,0,0,2213.5859,2213.5859,810,810,1060,1060,1519,1519,496,496,1348,1348,2951,479,4220.0005,245.954,245.954,1060,1060,1050.0892,1050.0892,511.1599,511.1599,1348,1348,2951.0508,2951.0508,4220.0005,4220.0005,564.046,564.046,0,0,468.9106,468.9106,0,0,0,0,0,0,0,0,245.954,245.954,1060,1060,1050.0892,1050.0892,496,496,1348,1348,2951,2951,4220.0005,4220.0005,582,582,483.3973,483.3973,98.6026,98.6026,483.3973,483.3973
