"Date","55_AGG_IrrigDemand","55_AGG_IrrigSupply","55_AGG_IrrigShortage","55_AGG_IrrigSupDirectFlow","55_AGG_MunDemand","55_AGG_MunSupply","55_AGG_MunShortage","55_ADY024_IrrigDemand","55_ADY026_IrrigDemand","55_ADY024_IrrigSupply","55_ADY026_IrrigSupply","55_ADY024_IrrigShortage","55_ADY026_IrrigShortage","55_ADY024_IrrigSupDirectFlow","55_ADY026_IrrigSupDirectFlow"
"1970-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973-10",34,34,0,34,NA,NA,NA,19,15,19,15,0,0,19,15
"1973-11",4,4,0,4,NA,NA,NA,0,4,0,4,0,0,0,4
"1973-12",4,4,0,4,NA,NA,NA,0,4,0,4,0,0,0,4
"1974-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1974-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1974-03",35,35,0,35,NA,NA,NA,0,35,0,35,0,0,0,35
"1974-04",72,72,0,72,NA,NA,NA,8,64,8,64,0,0,8,64
"1974-05",546,256.2747,289.7253,256.2747,NA,NA,NA,425,121,135.2747,121,289.7253,0,135.2747,121
"1974-06",387,206.911,180.089,206.911,NA,NA,NA,311,76,130.911,76,180.089,0,130.911,76
"1974-07",510,173.2747,336.7253,173.2747,NA,NA,NA,472,38,135.2747,38,336.7253,0,135.2747,38
"1974-08",355,183.2747,171.7253,183.2747,NA,NA,NA,307,48,135.2747,48,171.7253,0,135.2747,48
"1974-09",352,184.911,167.089,184.911,NA,NA,NA,298,54,130.911,54,167.089,0,130.911,54
"1974-10",322,150.2747,171.7253,150.2747,NA,NA,NA,307,15,135.2747,15,171.7253,0,135.2747,15
"1974-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1974-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1975-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1975-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1975-03",20,20,0,20,NA,NA,NA,0,20,0,20,0,0,0,20
"1975-04",120,120,0,120,NA,NA,NA,0,120,0,120,0,0,0,120
"1975-05",350,235.2747,114.7253,235.2747,NA,NA,NA,250,100,135.2747,100,114.7253,0,135.2747,100
"1975-06",362,206.911,155.089,206.911,NA,NA,NA,286,76,130.911,76,155.089,0,130.911,76
"1975-07",418,174.2747,243.7253,174.2747,NA,NA,NA,379,39,135.2747,39,243.7253,0,135.2747,39
"1975-08",216,164.2747,51.7253,164.2747,NA,NA,NA,187,29,135.2747,29,51.7253,0,135.2747,29
"1975-09",56,57.42,0,56,NA,NA,NA,27,29,28.42,29,0,0,27,29
"1975-10",25,25,0,25,NA,NA,NA,10,15,10,15,0,0,10,15
"1975-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1975-12",4,4,0,4,NA,NA,NA,0,4,0,4,0,0,0,4
"1976-01",5,5,0,5,NA,NA,NA,0,5,0,5,0,0,0,5
"1976-02",3,3,0,3,NA,NA,NA,0,3,0,3,0,0,0,3
"1976-03",12,12,0,12,NA,NA,NA,0,12,0,12,0,0,0,12
"1976-04",81,81,0,81,NA,NA,NA,17,64,17,64,0,0,17,64
"1976-05",450,235.2747,214.7253,235.2747,NA,NA,NA,350,100,135.2747,100,214.7253,0,135.2747,100
"1976-06",354,206.911,147.089,206.911,NA,NA,NA,278,76,130.911,76,147.089,0,130.911,76
"1976-07",282,173.2747,108.7253,173.2747,NA,NA,NA,244,38,135.2747,38,108.7253,0,135.2747,38
"1976-08",176,176,0,176,NA,NA,NA,128,48,128,48,0,0,128,48
"1976-09",82,83.72,0,82,NA,NA,NA,32,50,33.72,50,0,0,32,50
"1976-10",21,21,0,21,NA,NA,NA,6,15,6,15,0,0,6,15
"1976-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1976-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1977-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1977-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1977-03",35,35,0,35,NA,NA,NA,0,35,0,35,0,0,0,35
"1977-04",178,178,0,178,NA,NA,NA,58,120,58,120,0,0,58,120
"1977-05",512,272.2747,239.7253,272.2747,NA,NA,NA,375,137,135.2747,137,239.7253,0,135.2747,137
"1977-06",489,230.911,258.089,230.911,NA,NA,NA,389,100,130.911,100,258.089,0,130.911,100
"1977-07",269,173.2747,95.7253,173.2747,NA,NA,NA,231,38,135.2747,38,95.7253,0,135.2747,38
"1977-08",184,183.2747,0.7253,183.2747,NA,NA,NA,136,48,135.2747,48,0.7253,0,135.2747,48
"1977-09",87,89.18,0,87,NA,NA,NA,33,54,35.18,54,0,0,33,54
"1977-10",37,37,0,37,NA,NA,NA,19,18,19,18,0,0,19,18
"1977-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1977-12",4,4,0,4,NA,NA,NA,0,4,0,4,0,0,0,4
"1978-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1978-02",3,3,0,3,NA,NA,NA,0,3,0,3,0,0,0,3
"1978-03",12,12,0,12,NA,NA,NA,0,12,0,12,0,0,0,12
"1978-04",89,89,0,89,NA,NA,NA,25,64,25,64,0,0,25,64
"1978-05",400,235.2747,164.7253,235.2747,NA,NA,NA,300,100,135.2747,100,164.7253,0,135.2747,100
"1978-06",379,198.911,180.089,198.911,NA,NA,NA,311,68,130.911,68,180.089,0,130.911,68
"1978-07",270,174.2747,95.7253,174.2747,NA,NA,NA,231,39,135.2747,39,95.7253,0,135.2747,39
"1978-08",172,172,0,172,NA,NA,NA,124,48,124,48,0,0,124,48
"1978-09",59,60.8,0,59,NA,NA,NA,30,29,31.8,29,0,0,30,29
"1978-10",31,31,0,31,NA,NA,NA,16,15,16,15,0,0,16,15
"1978-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1978-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1979-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1979-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1979-03",35,35,0,35,NA,NA,NA,0,35,0,35,0,0,0,35
"1979-04",81,81,0,81,NA,NA,NA,17,64,17,64,0,0,17,64
"1979-05",400,235.2747,164.7253,235.2747,NA,NA,NA,300,100,135.2747,100,164.7253,0,135.2747,100
"1979-06",387,206.911,180.089,206.911,NA,NA,NA,311,76,130.911,76,180.089,0,130.911,76
"1979-07",257,173.2747,83.7253,173.2747,NA,NA,NA,219,38,135.2747,38,83.7253,0,135.2747,38
"1979-08",176,176,0,176,NA,NA,NA,128,48,128,48,0,0,128,48
"1979-09",93,95.78,0,93,NA,NA,NA,43,50,45.78,50,0,0,43,50
"1979-10",25,25,0,25,NA,NA,NA,10,15,10,15,0,0,10,15
"1979-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1979-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1980-01",5,5,0,5,NA,NA,NA,0,5,0,5,0,0,0,5
"1980-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1980-03",20,20,0,20,NA,NA,NA,0,20,0,20,0,0,0,20
"1980-04",45,45,0,45,NA,NA,NA,0,45,0,45,0,0,0,45
"1980-05",246,246,0,246,NA,NA,NA,125,121,125,121,0,0,125,121
"1980-06",467,230.911,236.089,230.911,NA,NA,NA,367,100,130.911,100,236.089,0,130.911,100
"1980-07",257,173.2747,83.7253,173.2747,NA,NA,NA,219,38,135.2747,38,83.7253,0,135.2747,38
"1980-08",172,172,0,172,NA,NA,NA,124,48,124,48,0,0,124,48
"1980-09",54,55.5,0,54,NA,NA,NA,25,29,26.5,29,0,0,25,29
"1980-10",25,25,0,25,NA,NA,NA,10,15,10,15,0,0,10,15
"1980-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1980-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1981-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1981-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1981-03",20,20,0,20,NA,NA,NA,0,20,0,20,0,0,0,20
"1981-04",170,170,0,170,NA,NA,NA,50,120,50,120,0,0,50,120
"1981-05",487,272.2747,214.7253,272.2747,NA,NA,NA,350,137,135.2747,137,214.7253,0,135.2747,137
"1981-06",467,230.911,236.089,230.911,NA,NA,NA,367,100,130.911,100,236.089,0,130.911,100
"1981-07",311,184.2747,126.7253,184.2747,NA,NA,NA,262,49,135.2747,49,126.7253,0,135.2747,49
"1981-08",204,183.2747,20.7253,183.2747,NA,NA,NA,156,48,135.2747,48,20.7253,0,135.2747,48
"1981-09",97,99.78,0,97,NA,NA,NA,43,54,45.78,54,0,0,43,54
"1981-10",16,16,0,16,NA,NA,NA,0,16,0,16,0,0,0,16
"1981-11",4,4,0,4,NA,NA,NA,0,4,0,4,0,0,0,4
"1981-12",4,4,0,4,NA,NA,NA,0,4,0,4,0,0,0,4
"1982-01",5,5,0,5,NA,NA,NA,0,5,0,5,0,0,0,5
"1982-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1982-03",20,20,0,20,NA,NA,NA,0,20,0,20,0,0,0,20
"1982-04",64,64,0,64,NA,NA,NA,0,64,0,64,0,0,0,64
"1982-05",350,235.2747,114.7253,235.2747,NA,NA,NA,250,100,135.2747,100,114.7253,0,135.2747,100
"1982-06",346,198.911,147.089,198.911,NA,NA,NA,278,68,130.911,68,147.089,0,130.911,68
"1982-07",239,174.2747,64.7253,174.2747,NA,NA,NA,200,39,135.2747,39,64.7253,0,135.2747,39
"1982-08",183,178.2747,4.7253,178.2747,NA,NA,NA,140,43,135.2747,43,4.7253,0,135.2747,43
"1982-09",55,55.52,0,55,NA,NA,NA,12,43,12.52,43,0,0,12,43
"1982-10",19,19,0,19,NA,NA,NA,3,16,3,16,0,0,3,16
"1982-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1982-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1983-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1983-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1983-03",20,20,0,20,NA,NA,NA,0,20,0,20,0,0,0,20
"1983-04",64,64,0,64,NA,NA,NA,0,64,0,64,0,0,0,64
"1983-05",202,196.2747,5.7253,196.2747,NA,NA,NA,141,61,135.2747,61,5.7253,0,135.2747,61
"1983-06",346,198.911,147.089,198.911,NA,NA,NA,278,68,130.911,68,147.089,0,130.911,68
"1983-07",331,185.2747,145.7253,185.2747,NA,NA,NA,281,50,135.2747,50,145.7253,0,135.2747,50
"1983-08",203,164.2747,38.7253,164.2747,NA,NA,NA,174,29,135.2747,29,38.7253,0,135.2747,29
"1983-09",106,106,0,106,NA,NA,NA,63,43,63,43,0,0,63,43
"1983-10",22,22,0,22,NA,NA,NA,6,16,6,16,0,0,6,16
"1983-11",4,4,0,4,NA,NA,NA,0,4,0,4,0,0,0,4
"1983-12",4,4,0,4,NA,NA,NA,0,4,0,4,0,0,0,4
