"Date","60_AGG_IrrigDemand","60_AGG_IrrigSupply","60_AGG_IrrigShortage","60_AGG_IrrigSupDirectFlow","60_AGG_MunDemand","60_AGG_MunSupply","60_AGG_MunShortage","60_ADS020_IrrigDemand","60_ADS021_IrrigDemand","60_ADS022_IrrigDemand","60_ADS020_IrrigSupply","60_ADS021_IrrigSupply","60_ADS022_IrrigSupply","60_ADS020_IrrigShortage","60_ADS021_IrrigShortage","60_ADS022_IrrigShortage","60_ADS020_IrrigSupDirectFlow","60_ADS021_IrrigSupDirectFlow","60_ADS022_IrrigSupDirectFlow","6000670_I_IrrigDemand","6000672_I_IrrigDemand","6000707_I_IrrigDemand","6000670_I_IrrigSupply","6000672_I_IrrigSupply","6000707_I_IrrigSupply","6000670_I_IrrigShortage","6000672_I_IrrigShortage","6000707_I_IrrigShortage","6000670_I_IrrigSupDirectFlow","6000672_I_IrrigSupDirectFlow","6000707_I_IrrigSupDirectFlow","6000511_MunDemand","6000511_MunSupply","6000511_MunShortage"
"1970-10",8913.9996,9240.4254,1e-04,2503.9999,4271.9995,4271.9995,0,274,0,189,274,163,189,0,0,0,274,163,189,328,384,971.9999,328,384,972.1064,0,0,0,0,0,0,1067.9999,1067.9999,0
"1970-11",2276.4517,872,0,108,1324,1324,0,8,0,19,8,0,19,0,0,0,8,0,19,96,371.6129,0,96,95,0,0,0,0,0,0,0,331,331,0
"1970-12",1234.0001,56,0,56,1012,1012,0,8,576.6,6,8,0,6,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,253,253,0
"1971-01",48,48,0,48,2932,2932,0,7,0,5,7,0,5,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,733,733,0
"1971-02",7037.2905,12,0,12,3660.0002,3660.0002,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,915.0001,915.0001,0
"1971-03",2763.9999,56,0,56,2120,2120,0,6,0,8,6,0,8,0,0,0,6,0,8,0,900,0,0,0,0,0,0,0,0,0,0,530,530,0
"1971-04",12272,12272,0,1864,1988.0001,1988.0001,0,27,35,404,27,35,404,0,0,0,27,35,404,269,383,1950,269,383,1950,0,0,0,0,0,0,497,497,0
"1971-05",44860.0005,42182.6152,2677.5446,10084.0002,1200,1200,0,574.0001,678,1269,574.04,678,1269,0,0,0,574.0001,678,1269,1002.0001,800,6892,955.0674,800,6269.5464,46.9327,0,622.4534,0,0,0,300,300,0
"1971-06",86942,59344.261,29545.0215,18476.2251,7004,7004,0,948,1122,2644,948.08,1078.4459,2644.24,0,43.5541,0,948,1027.0563,2644,2115,1162,14231,2115,1162,6888.2993,1e-04,0,7342.7012,0,0,0,1751,1751,0
"1971-07",94012.0051,33189.3245,60822.7559,19560.0012,8876,8876,0,940,987.0001,2963.0002,940,987.02,2963.0002,0,0,0,940,987.0001,2963.0002,2363,331,15919.001,1048.3276,331,2027.9833,1314.6724,0,13891.0166,0,0,0,2219,2219,0
"1971-08",57562,18135.5255,39034.4717,11204,4588,4588,0,576,394,1831,576,394.2401,1831.2599,0,0,0,576,394,1831,1465,193,9833,339.2317,193,1200.1498,1125.7683,0,8632.8496,0,0,0,1147,1147,0
"1971-09",39504,13129.4456,26227.8362,8164,3584,3584,0,361,428,1252,361.06,428,1252,0,0,0,361,428,1252,991,131,6676,241.9521,131.26,868.0894,749.0479,0,5807.9111,0,0,0,896,896,0
"1971-10",6130.7332,4929.14,0,1751.9999,3006.0002,4672.0005,0,180,109,149,180,109.14,149,0,0,0,180,109,149,216,182,396,216,182,396.1451,0,0,0,0,0,0,335,1168.0001,0
"1971-11",3284.1936,1088,0,52,1023.9999,1023.9999,0,187.7419,919.3549,4,9,0,4,0,0,0,9,0,4,24,200,35,24,200,35,0,0,0,0,0,0,256,256,0
"1971-12",25810,80,0,80,2040.0002,2040.0002,0,13,0,7,13,0,7,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,510.0001,510.0001,0
"1972-01",48,48,0,48,2932,2932,0,7,0,5,7,0,5,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,733,733,0
"1972-02",2473.8667,92,0,92,1972,1972,0,14,0,9,14,0,9,0,0,0,14,0,9,1190.9333,0,0,0,0,0,0,0,0,0,0,0,493,493,0
"1972-03",60,60,0,60,1724,1724,0,10,0,5,10,0,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,431,431,0
"1972-04",14922,22081.6742,2e-04,3199.9998,600,600,0,23,0,731,23,46,731.2599,0,0,0,23,46,730.9999,487,700,0,487.0061,699.9999,3533.1526,0,0,0,0,0,0,150,150,0
"1972-05",42248.533,42436.5518,13935.6066,12135.9995,1200,1200,0,656,774,2280,656,774.0399,1603.9999,0,0,0,656,774,1603.9999,1278,1011,1806.2666,1278,1011,5286.0981,0,0,3483.9016,0,0,0,300,300,0
"1972-06",41754,40526.9045,28973.0955,15563.9998,3915.9998,3915.9998,0,920.0001,35,0,920.0001,941,2029.9999,0,0,0,920.0001,941,2029.9999,1631,892,24,1547.1569,892,3801.5693,83.8432,0,7159.4307,0,0,0,978.9999,978.9999,0
"1972-07",85026.3334,22148.1133,65519.8859,14725.377,5668,5668,0,5.1667,939,2757,894,939,2280.7847,0,0,476.2155,894,939,1848.3442,2202,308,14817,263.6881,269.1808,890.3748,1938.3118,38.8192,13926.625,0,0,0,1417,1417,0
"1972-08",77939.9958,14526.9648,63413.0324,11021.9066,3428.0002,3428.0002,0,705,601.9999,2509,705,504.2492,1660.8044,0,97.7508,848.1956,705,389.6722,1660.8044,1993,265,13410.999,106.3634,122.2975,533.0266,1886.6366,142.7025,12877.9727,0,0,0,857.0001,857.0001,0
"1972-09",36044.0002,10794.5112,25602.3703,7464,402,402,0,324,207,1159,324.04,383.18,1159,0,0,0,324,383,1159,920.0001,122,6191,160.6728,65.7552,605.9799,759.3272,56.2449,5585.0205,0,0,0,0,0,0
"1972-10",12323.9996,7983.9998,1e-04,1899.9999,4271.9995,4271.9995,0,274,21,180,274,21,180,0,0,0,274,21,180,320,248,952.9999,320,248,953,0,0,0,0,0,0,1067.9999,1067.9999,0
"1972-11",1022,1088,0,52,1023.9999,1023.9999,0,9,0,4,9,0,4,0,0,0,9,0,4,0,200,35,24,200,35,0,0,0,0,0,0,256,256,0
"1972-12",54,80,0,80,2040.0002,2040.0002,0,13,0,7,13,0,7,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,510.0001,510.0001,0
"1973-01",2043.9999,100,0,100,2004.0001,2004.0001,0,17,971.9999,8,17,0,8,0,0,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,501,501,0
"1973-02",24,32,0,32,722,1444,0,0,0,4,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,361,361,0
"1973-03",88,88,0,88,1339.9999,1339.9999,0,8,0,14,8,0,14,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,335,335,0
"1973-04",14060.0002,14004.6157,56.0248,3232.0002,600,600,0,236,326,246,236,326,246.16,0,0,0,236,326,246,172,977.0001,1558,172,962.9939,1558,0,14.0062,0,0,0,0,150,150,0
"1973-05",54820.0002,54819.9963,0.0038,9568.0002,3988.0002,3988.0002,0,500.0001,591,1301,500.0001,591,1301,0,0,0,500.0001,591,1301,1185,1152,8976,1185,1152,8975.999,0,0,9e-04,0,0,0,997.0001,997.0001,0
"1973-06",59264.7102,61276.8018,5e-04,12764.0002,5782,7980,0,709,838.9999,1643.0001,709.14,838.9999,1643.0001,0,0,0,709,838.9999,1643.0001,1487,1756,8885,1487,1755.9999,8885.0605,0,1e-04,0,0,0,0,896,1995,0
"1973-07",87724.001,86004.2761,1720.3683,18772,8124,8124,0,1043,946,2704,1043,946.16,2704,0,0,0,1043,946,2704,2157.0002,550,14531,1959.3055,550,14298.6035,197.6945,0,232.3976,0,0,0,2031,2031,0
"1973-08",63230,39856.8784,26611.6018,13536.0001,8032,8032,0,780,489,2115,780,489,2115,0,0,0,780,489,2115,1683,222,11328,961.7231,222.12,5396.3765,721.2769,0,5931.6235,0,0,0,2008,2008,0
"1973-09",42044.0001,16163.4697,25881.4907,8644.0001,3584,3584,0,376,444,1341,376,444.24,1341,0,0,0,376,444,1341,1061,141,7148,336.8974,141,1401.73,724.1027,0,5746.27,0,0,0,896,896,0
"1973-10",20076,10447.6218,9629.4977,4643.9998,3363.1337,4672.0005,0,248,293,620,248.08,293,620.2,0,0,0,248,293,619.9999,456,233,3169,230.9615,233,986.664,225.0385,0,2182.3359,0,0,0,1168.0001,1168.0001,0
"1973-11",1840,1859.3548,0,0,1060,2790.6453,0,0,0,0,9.6774,0,0,0,0,0,0,0,0,24,414,22,24,414,22,0,0,0,0,0,0,265,1130.3226,0
"1973-12",0,0,0,0,2040.0002,2040.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510.0001,510.0001,0
"1974-01",0,0,0,0,1144,2288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,572,0
"1974-02",2635.613,0,0,0,1444,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,361,0
"1974-03",6492,0,0,0,1724,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,1789,0,0,0,0,0,0,0,0,0,0,0,431,431,0
"1974-04",10296.0001,10296.3338,0,1500.0002,2101.0969,1988.0001,0,45,63,267,45,63,267.0001,0,0,0,45,63,267.0001,185,311,1703,185.0834,311,1703,0,0,0,0,0,0,553.5484,497,0
