"Date","63_AGG_IrrigDemand","63_AGG_IrrigSupply","63_AGG_IrrigShortage","63_AGG_IrrigSupDirectFlow","63_AGG_MunDemand","63_AGG_MunSupply","63_AGG_MunShortage","63_AMS002_MunShortage","63_ADS023_IrrigDemand","63_ADS024_IrrigDemand","63_ADS023_IrrigSupply","63_ADS024_IrrigSupply","63_ADS023_IrrigShortage","63_ADS024_IrrigShortage","63_ADS023_IrrigSupDirectFlow","63_ADS024_IrrigSupDirectFlow","63_AMS002_MunDemand","63_AMS002_MunSupply"
"1970-10",540,540.08,0,540,108,108,0,0,198,342,198.08,342,0,0,198,342,108,108
"1970-11",90,90.2,0,90,108,104.7288,9.8136,3.2712,20,70,20.2,70,0,0,20,70,108,104.7288
"1970-12",101,101,0,101,108,108,0,0,12,89,12,89,0,0,12,89,108,108
"1971-01",75,75,0,75,108,108,0,0,11,64,11,64,0,0,11,64,108,108
"1971-02",43,43,0,43,108,97.7469,30.7594,10.2531,0,43,0,43,0,0,0,43,108,97.7469
"1971-03",224,224.26,0,224,108,108,0,0,93,131,93,131.26,0,0,93,131,108,108
"1971-04",1498,1498,0,1498,108,104.7288,9.8136,3.2712,547,951,547,951,0,0,547,951,108,104.7288
"1971-05",4825.0001,4744.7924,80.2078,4744.7924,108,108,0,0,1450.0001,3375,1450.0001,3294.7922,0,80.2078,1450.0001,3294.7922,108,108
"1971-06",3915,3915,0,3915,108,104.7288,9.8136,3.2712,1208,2707,1208,2707,0,0,1208,2707,108,104.7288
"1971-07",3389.0001,3389.26,0,3389.0001,108,108,0,0,1481,1908.0001,1481.2599,1908.0001,0,0,1481,1908.0001,108,108
"1971-08",2316.9999,2061.8993,255.1007,2061.8993,108,108,0,0,939,1377.9999,939,1122.8993,0,255.1007,939,1122.8993,108,108
"1971-09",1427.9999,1427.9999,0,1427.9999,108,104.7288,9.8136,3.2712,590.9999,837,590.9999,837,0,0,590.9999,837,108,104.7288
"1971-10",623,623,0,623,108,108,0,0,105,518,105,518,0,0,105,518,108,108
"1971-11",59,59,0,59,108,104.7288,9.8136,3.2712,6,53,6,53,0,0,6,53,108,104.7288
"1971-12",58,58,0,58,108,108,0,0,7,51,7,51,0,0,7,51,108,108
"1972-01",75,75,0,75,108,108,0,0,11,64,11,64,0,0,11,64,108,108
"1972-02",123,123,0,123,108,97.7469,30.7594,10.2531,23,100,23,100,0,0,23,100,108,97.7469
"1972-03",686,686,0,686,108,108,0,0,306,380,306,380,0,0,306,380,108,108
"1972-04",1735,1735,0,1735,108,104.7288,9.8136,3.2712,692,1043,692,1043,0,0,692,1043,108,104.7288
"1972-05",5300,4028.9272,1271.0728,4028.9272,108,108,0,0,1592,3708,1592,2436.9272,0,1271.0728,1592,2436.9272,108,108
"1972-06",3403.9998,3403.9998,0,3403.9998,108,104.7288,9.8136,3.2712,1052,2351.9998,1052,2351.9998,0,0,1052,2351.9998,108,104.7288
"1972-07",3097.0001,2718.7365,378.2635,2464.2968,108,108,0,0,1354.0001,1743,1354.0001,1364.7363,0,378.2635,1354.0001,1110.2966,108,108
"1972-08",2215,1503.7725,711.2277,1489.2458,108,108,0,0,1000.0001,1214.9999,1000.0001,503.7723,0,711.2277,1000.0001,489.2457,108,108
"1972-09",1372.0001,1174.0188,197.9812,1174.0188,108,104.7288,9.8136,3.2712,576,796.0001,576,598.0188,0,197.9812,576,598.0188,108,104.7288
"1972-10",454,454,0,454,108,108,0,0,112,342,112,342,0,0,112,342,108,108
"1972-11",62,62.14,0,62,108,104.7288,9.8136,3.2712,9,53,9.14,53,0,0,9,53,108,104.7288
"1972-12",58,58,0,58,108,108,0,0,7,51,7,51,0,0,7,51,108,108
"1973-01",63,63,0,63,108,108,0,0,7,56,7,56,0,0,7,56,108,108
"1973-02",46,46,0,46,108,97.7469,30.7594,10.2531,9,37,9,37,0,0,9,37,108,97.7469
"1973-03",73,73,0,73,108,108,0,0,32,41,32,41,0,0,32,41,108,108
"1973-04",965,965,0,965,108,104.7288,9.8136,3.2712,424,541,424,541,0,0,424,541,108,104.7288
"1973-05",5540.9999,5540.9999,0,5540.9999,108,108,0,0,1525.9999,4015,1525.9999,4015,0,0,1525.9999,4015,108,108
"1973-06",4654,4654,0,4654,108,104.7288,9.8136,3.2712,1481,3173,1481,3173,0,0,1481,3173,108,104.7288
