Date,64_AGG_IrrigDemand,64_AGG_IrrigSupply,64_AGG_IrrigShortage,64_AGG_IrrigSupDirectFlow,64_AGG_MunDemand,64_AGG_MunSupply,64_AGG_MunShortage,6400522_D_IrrigDemand,6400522_D_IrrigSupply,6400522_D_IrrigShortage,6400522_D_IrrigSupDirectFlow,6400511_I_IrrigDemand,6400511_I_IrrigSupply,6400511_I_IrrigShortage,6400511_I_IrrigSupDirectFlow,6400525_IrrigDemand,6400525_IrrigSupply,6400525_IrrigShortage,6400525_IrrigSupDirectFlow,6400584_IrrigDemand,6400584_IrrigSupply,6400584_IrrigShortage,6400584_IrrigSupDirectFlow,6400520_IrrigDemand,6400520_IrrigSupply,6400520_IrrigShortage,6400520_IrrigSupDirectFlow,6400502_IrrigDemand,6400502_IrrigSupply,6400502_IrrigShortage,6400502_IrrigSupDirectFlow,6400524_IrrigDemand,6400524_IrrigSupply,6400524_IrrigShortage,6400524_IrrigSupDirectFlow,6400542_IrrigDemand,6400542_IrrigSupply,6400542_IrrigShortage,6400542_IrrigSupDirectFlow,6400533_IrrigDemand,6400533_IrrigSupply,6400533_IrrigShortage,6400533_IrrigSupDirectFlow,6400504_IrrigDemand,6400504_IrrigSupply,6400504_IrrigShortage,6400504_IrrigSupDirectFlow,6400516_IrrigDemand,6400516_IrrigSupply,6400516_IrrigShortage,6400516_IrrigSupDirectFlow,6400514_IrrigDemand,6400514_IrrigSupply,6400514_IrrigShortage,6400514_IrrigSupDirectFlow,6400599_IrrigDemand,6400599_IrrigSupply,6400599_IrrigShortage,6400599_IrrigSupDirectFlow,6400531_IrrigDemand,6400531_IrrigSupply,6400531_IrrigShortage,6400531_IrrigSupDirectFlow,6400508_IrrigDemand,6400508_IrrigSupply,6400508_IrrigShortage,6400508_IrrigSupDirectFlow,6400535_IrrigDemand,6400535_IrrigSupply,6400535_IrrigShortage,6400535_IrrigSupDirectFlow,6400503_IrrigDemand,6400503_IrrigSupply,6400503_IrrigShortage,6400503_IrrigSupDirectFlow,6400530_IrrigDemand,6400530_IrrigSupply,6400530_IrrigShortage,6400530_IrrigSupDirectFlow,6400528_IrrigDemand,6400528_IrrigSupply,6400528_IrrigShortage,6400528_IrrigSupDirectFlow
1970-10,3244.0000,3431.8854,54.0000,2420.0000,,,,94.0000,112.3363,0.0000,94.0000,730.0000,835.3217,0.0000,0.0000,16.0000,19.5280,0.0000,16.0000,22.0000,0.0000,22.0000,0.0000,296.0000,337.5415,0.0000,296.0000,70.0000,70.0000,0.0000,70.0000,33.0000,37.7264,0.0000,33.0000,32.0000,0.0000,32.0000,0.0000,271.0000,311.2782,0.0000,271.0000,357.0000,357.0016,0.0000,357.0000,304.0000,326.7179,0.0000,304.0000,77.0000,77.0000,0.0000,77.0000,40.0000,40.0000,0.0000,0.0000,163.0000,163.0000,0.0000,163.0000,101.0000,101.0000,0.0000,101.0000,140.0000,140.0000,0.0000,140.0000,89.0000,94.4339,0.0000,89.0000,58.0000,58.0000,0.0000,58.0000,351.0000,351.0000,0.0000,351.0000
1970-11,0.0000,0.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1970-12,0.0000,.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1971-01,0.0000,.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1971-02,0.0000,.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000
1971-03,0.0000,.0000,0.0000,0.0000,,,,0.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000
1971-04,6786.0000,6810.2874,43.0000,4321.0001,,,,200.0000,200.0000,0.0000,200.0000,2353.0000,2353.0000,0.0000,0.0000,45.0000,45.0000,0.0000,45.0000,20.0000,0.0000,20.0000,0.0000,539.0000,539.0000,0.0000,539.0000,57.0000,57.0000,0.0000,43.0000,93.0000,93.0000,.0000,93.0000,20.0000,0.0000,20.0000,0.0000,815.0000,815.0024,0.0000,815.0000,0.0000,64.4051,0.0000,0.0000,277.0000,278.8295,0.0000,270.0000,64.0000,64.0000,0.0000,45.0000,8.0000,5.0000,3.0000,0.0000,310.0000,310.0000,0.0000,310.0000,180.0000,180.0000,0.0000,180.0000,600.0000,600.0000,0.0000,600.0000,65.0000,66.0503,0.0000,41.0000,209.0000,209.0000,0.0000,209.0000,931.0001,931.0001,0.0000,931.0001
1971-05,17214.9994,17119.3543,123.6263,13455.9997,,,,822.0001,822.0001,0.0000,822.0001,3429.9998,3430.0000,0.0000,0.0000,265.0000,265.0000,0.0000,265.0000,66.0000,0.0000,66.0000,0.0000,2453.9998,2453.9998,.0000,2453.9998,184.0000,184.0000,0.0000,75.0000,370.0000,370.0000,0.0000,370.0000,32.0000,0.0000,32.0000,0.0000,1837.0000,1837.0095,0.0000,1837.0000,0.0000,0.0000,0.0000,0.0000,787.0000,787.0000,0.0000,787.0000,128.0000,128.0000,0.0000,100.0000,43.0000,17.3737,25.6263,0.0000,1293.0000,1293.0000,0.0000,1293.0000,623.0000,623.0000,0.0000,623.0000,1563.0001,1563.0001,0.0000,1563.0001,121.0000,121.0000,.0000,70.0000,726.0000,753.9713,0.0000,726.0000,2470.9998,2470.9998,0.0000,2470.9998
1971-06,35278.0000,37595.3448,292.0001,26597.0001,,,,1652.0000,1716.2123,0.0000,1652.0000,7148.0000,7819.2295,0.0000,0.0000,408.0000,408.0000,0.0000,408.0000,119.0000,0.0000,119.0000,0.0000,3919.0000,4179.4414,0.0000,3919.0000,659.0000,658.9999,.0000,142.0000,955.9999,986.7763,0.0000,955.9999,73.0000,0.0000,73.0000,0.0000,4419.0000,4774.7285,0.0000,4419.0000,480.0000,480.0000,.0001,480.0000,1332.9999,1388.7539,0.0000,1080.0000,274.0000,274.0000,0.0000,274.0000,174.0000,74.0000,100.0000,0.0000,1885.0001,2082.8547,0.0000,1885.0001,2095.0000,2207.4680,0.0000,2095.0000,2604.0000,3029.9792,0.0000,2604.0000,397.0000,415.6519,0.0000,143.0000,1772.0001,1786.1344,0.0000,1629.0000,4911.0000,5313.1147,0.0000,4911.0000
1971-07,51136.9997,50854.7035,1468.5379,38138.6373,,,,1331.0000,1495.2739,0.0000,1034.0000,8186.0000,8568.4863,0.0000,0.0000,462.0000,462.0000,0.0000,462.0000,104.0000,0.0000,104.0000,0.0000,5398.0000,5565.4214,0.0000,5398.0000,630.0000,630.0000,0.0000,419.0000,1776.0000,1843.0996,0.0000,1776.0000,77.0000,0.0000,77.0000,0.0000,8571.0000,8943.0918,0.0000,8571.0000,1926.0000,1926.0000,.0001,1276.9999,1297.0000,1297.0000,.0000,900.0000,263.0000,267.6960,0.0000,263.0000,296.0000,265.0000,31.0000,0.0000,2530.9998,2559.1721,0.0000,2530.9998,3581.0000,3581.0000,0.0000,3581.0000,3373.0000,3373.0000,.0000,3373.0000,855.0000,855.0000,0.0000,855.0000,2676.0000,2676.0000,0.0000,1345.0000,7804.0000,6547.4624,1256.5378,6353.6377
