"Date","70_AGG_IrrigDemand","70_AGG_IrrigSupply","70_AGG_IrrigShortage","70_AGG_IrrigSupDirectFlow","70_AGG_MunDemand","70_AGG_MunSupply","70_AGG_MunShortage","70_ADC049_IrrigDemand","70_ADC049_IrrigDemand_1","70_ADC050_IrrigDemand","70_ADC050_IrrigDemand_1","70_ADC049_IrrigSupply","70_ADC049_IrrigSupply_1","70_ADC050_IrrigSupply","70_ADC050_IrrigSupply_1","70_ADC049_IrrigShortage","70_ADC049_IrrigShortage_1","70_ADC050_IrrigShortage","70_ADC050_IrrigShortage_1","70_ADC049_IrrigSupDirectFlow","70_ADC049_IrrigSupDirectFlow_1","70_ADC050_IrrigSupDirectFlow","70_ADC050_IrrigSupDirectFlow_1","7000583_D_IrrigDemand","7000583_D_IrrigDemand_1","7000583_D_IrrigSupply","7000583_D_IrrigSupply_1","7000583_D_IrrigShortage","7000583_D_IrrigShortage_1","7000583_D_IrrigSupDirectFlow","7000583_D_IrrigSupDirectFlow_1"
"1970-10",5100,4493.3768,606.6248,4265.3752,NA,NA,NA,825,825,222,222,673.3438,673.3438,222.0004,222.0004,151.6562,151.6562,0,0,673.3438,673.3438,222,222,228,228,228,228,0,0,228,228
"1970-11",2152,2152,0,2125,NA,NA,NA,429,429,82,82,429,429,82,82,0,0,0,0,429,429,82,82,27,27,27,27,0,0,27,27
"1970-12",820,820,0,819,NA,NA,NA,179,179,25,25,179,179,25,25,0,0,0,0,179,179,25,25,1,1,1,1,0,0,1,1
"1971-01",716.0001,716.0001,0,716.0001,NA,NA,NA,158,158,21,21,158,158,21,21,0,0,0,0,158,158,21,21,0,0,0,0,0,0,0,0
"1971-02",620,620,0,616,NA,NA,NA,116,116,35,35,116,116,35,35,0,0,0,0,116,116,35,35,4,4,4,4,0,0,4,4
"1971-03",860,860,0,858,NA,NA,NA,173,173,40,40,173,173,40,40,0,0,0,0,173,173,40,40,2,2,2,2,0,0,2,2
"1971-04",5175.9999,5176.0071,0,5083.9999,NA,NA,NA,777,777,425,425,777,777,425.0018,425.0018,0,0,0,0,777,777,425,425,92,92,92,92,0,0,92,92
"1971-05",18544,11427.9976,7116.0967,11035.9028,NA,NA,NA,3513,3513,731,731,1733.9757,1733.9757,731.0237,731.0237,1779.0242,1779.0242,0,0,1733.9757,1733.9757,731,731,392,392,392,392,0,0,392,392
"1971-06",21915.9998,12294.3306,9795.835,11540.1639,NA,NA,NA,4127,4127,772,772,1678.041,1678.041,815.5417,815.5417,2448.9587,2448.9587,0,0,1678.041,1678.041,772,772,579.9999,579.9999,579.9999,579.9999,0,0,579.9999,579.9999
"1971-07",16235.999,12541.728,3880.9009,11213.041,NA,NA,NA,2662.9998,2662.9998,827,827,1692.7748,1692.7748,873.6572,873.6572,970.2252,970.2252,0,0,1549.5103,1549.5103,827,827,569,569,569,569,0,0,569,569
"1971-08",9931.9995,9128.1436,923.6434,8586.3564,NA,NA,NA,1528.9999,1528.9999,532,532,1298.0891,1298.0891,561.9468,561.9468,230.9109,230.9109,0,0,1298.0891,1298.0891,532,532,422,422,422,422,0,0,422,422
"1971-09",11424.0004,7667.95,3756.0938,7225.9066,NA,NA,NA,1927.0001,1927.0001,487,487,987.9767,987.9767,487.0108,487.0108,939.0234,939.0234,0,0,987.9767,987.9767,487,487,442,442,442,442,0,0,442,442
"1971-10",2779.081,4514.4316,693.5682,4305.4316,NA,NA,NA,342.1072,199.4333,215,215,704.6079,704.6079,215,215,173.392,173.392,0,0,704.6079,704.6079,215,215,209,209,209,209,0,0,209,209
"1971-11",3132.6451,2408,0,2367,NA,NA,NA,830.3226,468,93,93,468,468,93,93,0,0,0,0,468,468,93,93,41,41,41,41,0,0,41,41
"1971-12",924,924,0,924,NA,NA,NA,213,213,18,18,213,213,18,18,0,0,0,0,213,213,18,18,0,0,0,0,0,0,0,0
"1972-01",884.0001,884.0001,0,884.0001,NA,NA,NA,207,207,14,14,207,207,14,14,0,0,0,0,207,207,14,14,0,0,0,0,0,0,0,0
"1972-02",1555.6001,1300.0001,0,1300.0001,NA,NA,NA,309,436.8,16,16,309,309,16,16,0,0,0,0,309,309,16,16,0,0,0,0,0,0,0,0
"1972-03",3566,4841.4291,418.5731,4784.427,NA,NA,NA,858,11,400,400,753.3568,753.3568,400.0005,400.0005,104.6433,104.6433,0,0,753.3568,753.3568,400,400,57,57,57,57,0,0,57,57
"1972-04",15994.4512,5788.8794,995.15,5596.8499,NA,NA,NA,5663.2256,1058,446,446,809.2125,809.2125,446.0074,446.0074,248.7875,248.7875,0,0,809.2125,809.2125,446,446,192,192,192,192,0,0,192,192
"1972-05",16724,11005.4773,5718.6382,10493.3618,NA,NA,NA,2960,2960,709,709,1530.3405,1530.3405,709.0289,709.0289,1429.6595,1429.6595,0,0,1530.3405,1530.3405,709,709,512,512,512,512,0,0,512,512
"1972-06",15807.999,9764.787,6155.6724,9192.3276,NA,NA,NA,2998.9998,2998.9998,493,493,1460.0819,1460.0819,521.1148,521.1148,1538.9181,1538.9181,0,0,1460.0819,1460.0819,493,493,460,460,460,460,0,0,460,460
"1972-07",15652.0002,8847.5797,6989.9158,6096.9846,NA,NA,NA,2533,2533,822.0001,822.0001,851.613,851.613,868.3739,868.3739,1681.387,1681.387,0,0,333.3151,333.3151,822.0001,822.0001,558,558,491.908,491.908,66.092,66.092,491.908,491.908
"1972-08",11220,4379.9492,6976,3783,NA,NA,NA,1744,1744,600,600,0,0,633.9873,633.9873,1744,1744,0,0,0,0,600,600,461,461,461,461,0,0,461,461
"1972-09",7576.0001,2879.0629,4697.0225,2501.9774,NA,NA,NA,1181,1181,336,336,6.7443,6.7443,336.0214,336.0214,1174.2556,1174.2556,0,0,6.7443,6.7443,336,336,377,377,377,377,0,0,377,377
"1972-10",3664,3664,0,3544,NA,NA,NA,652,652,144,144,652,652,144,144,0,0,0,0,652,652,144,144,120,120,120,120,0,0,120,120
"1972-11",548,548,0,514,NA,NA,NA,69,69,34,34,69,69,34,34,0,0,0,0,69,69,34,34,34,34,34,34,0,0,34,34
"1972-12",316,316,0,316,NA,NA,NA,61,61,18,18,61,61,18,18,0,0,0,0,61,61,18,18,0,0,0,0,0,0,0,0
"1973-01",300,300,0,300,NA,NA,NA,61,61,14,14,61,61,14,14,0,0,0,0,61,61,14,14,0,0,0,0,0,0,0,0
"1973-02",284,284,0,284,NA,NA,NA,56,56,15,15,56,56,15,15,0,0,0,0,56,56,15,15,0,0,0,0,0,0,0,0
"1973-03",304,304,0,304,NA,NA,NA,61,61,15,15,61,61,15,15,0,0,0,0,61,61,15,15,0,0,0,0,0,0,0,0
"1973-04",1116,1116.0025,0,1074,NA,NA,NA,197,197,40,40,197,197,40.0006,40.0006,0,0,0,0,197,197,40,40,42,42,42,42,0,0,42,42
"1973-05",19811.999,29848.0967,0.0019,29432.9961,NA,NA,NA,5851.9995,834,1195,1195,5851.999,5851.999,1195.0251,1195.0251,5e-04,5e-04,0,0,5851.999,5851.999,1195,1195,415,415,415,415,0,0,415,415
"1973-06",28068.0001,21723.1036,6345.0513,21240.9503,NA,NA,NA,5522,5522,1013,1013,3935.7375,3935.7375,1013.0383,1013.0383,1586.2628,1586.2628,0,0,3935.7375,3935.7375,1013,1013,482,482,482,482,0,0,482,482
"1973-07",22536,17888.7922,4723.8389,17075.1611,NA,NA,NA,4116,4116,781,781,2935.0403,2935.0403,800.1578,800.1578,1180.9597,1180.9597,0,0,2935.0403,2935.0403,781,781,737,737,737,737,0,0,737,737
"1973-08",12556,11492.4165,1213.9589,10723.041,NA,NA,NA,1853,1853,667,667,1549.5103,1549.5103,704.5939,704.5939,303.4897,303.4897,0,0,1549.5103,1549.5103,667,667,619,619,619,619,0,0,619,619
"1973-09",6600,9042.2905,137.8028,8501.1973,NA,NA,NA,0,1290,464,464,1255.5493,1255.5493,464.0233,464.0233,34.4507,34.4507,0,0,1255.5493,1255.5493,464,464,541,541,541,541,0,0,541,541
"1973-10",13148,7127.0879,6020.9414,6687.0583,NA,NA,NA,2267,2267,580,580,761.7646,761.7646,580.0074,580.0074,1505.2354,1505.2354,0,0,761.7646,761.7646,580,580,440,440,440,440,0,0,440,440
"1973-11",4040,4040,0,4040,NA,NA,NA,777,777,233,233,777,777,233,233,0,0,0,0,777,777,233,233,0,0,0,0,0,0,0,0
"1973-12",1128,1128,0,1128,NA,NA,NA,229,229,53,53,229,229,53,53,0,0,0,0,229,229,53,53,0,0,0,0,0,0,0,0
"1974-01",1008,1008,0,1008,NA,NA,NA,222,222,30,30,222,222,30,30,0,0,0,0,222,222,30,30,0,0,0,0,0,0,0,0
"1974-02",514,912,0,912,NA,NA,NA,0,199,29,29,199,199,29,29,0,0,0,0,199,199,29,29,0,0,0,0,0,0,0,0
"1974-03",1012.0001,1012.0001,0,1012.0001,NA,NA,NA,224,224,29,29,224,224,29,29,0,0,0,0,224,224,29,29,0,0,0,0,0,0,0,0
"1974-04",2110.0001,2740.0051,0,2682.0001,NA,NA,NA,315,0,312,312,315,315,312.0013,312.0013,0,0,0,0,315,315,312,312,58,58,58,58,0,0,58,58
"1974-05",29936.002,19068.717,10867.4375,18437.5635,NA,NA,NA,5909.0005,5909.0005,944.0001,944.0001,3192.1409,3192.1409,944.0385,944.0385,2716.8594,2716.8594,0,0,3192.1409,3192.1409,944.0001,944.0001,630.9999,630.9999,630.9999,630.9999,0,0,630.9999,630.9999
"1974-06",18168,14016.168,4309.0049,13273.9951,NA,NA,NA,3260,3260,697,697,2182.7488,2182.7488,736.2932,736.2932,1077.2512,1077.2512,0,0,2182.7488,2182.7488,697,697,585,585,585,585,0,0,585,585
"1974-07",14652,12104.6658,2728.9006,11010.041,NA,NA,NA,2325,2325,798,798,1642.7748,1642.7748,843.3917,843.3917,682.2252,682.2252,0,0,1549.5103,1549.5103,798,798,540,540,540,540,0,0,540,540
"1974-08",10691.9999,8382.0629,2442.4873,6201.2455,NA,NA,NA,1631,1631,585,585,1020.3782,1020.3782,618.1376,618.1376,610.6218,610.6218,0,0,622.5614,622.5614,585,585,457,457,457,457,0,0,457,457
"1974-09",5321.5484,3408.032,4044.0496,2888.0836,NA,NA,NA,66.7742,1132,320,320,120.9876,120.9876,320.0204,320.0204,1011.0124,1011.0124,0,0,93.7709,93.7709,320,320,411,411,411,411,0,0,411,411
"1974-10",5324.0001,4608.0043,0,4323.0002,NA,NA,NA,1029,671.0001,196,196,671.0001,671.0001,196.001,196.001,0,0,0,0,671.0001,671.0001,196,196,285,285,285,285,0,0,285,285
"1974-11",1772,1772,0,1652,NA,NA,NA,263,263,60,60,263,263,60,60,0,0,0,0,263,263,60,60,120,120,120,120,0,0,120,120
"1974-12",684,684,0,616,NA,NA,NA,103,103,0,0,103,103,0,0,0,0,0,0,103,103,0,0,68,68,68,68,0,0,68,68
"1975-01",412,412,0,412,NA,NA,NA,103,103,0,0,103,103,0,0,0,0,0,0,103,103,0,0,0,0,0,0,0,0,0,0
"1975-02",372,372,0,372,NA,NA,NA,93,93,0,0,93,93,0,0,0,0,0,0,93,93,0,0,0,0,0,0,0,0,0,0
"1975-03",472,472,0,472,NA,NA,NA,103,103,15,15,103,103,15,15,0,0,0,0,103,103,15,15,0,0,0,0,0,0,0,0
"1975-04",1890.645,708.0005,0,691,NA,NA,NA,119,710.3225,41,41,119,119,41.0001,41.0001,0,0,0,0,119,119,41,41,17,17,17,17,0,0,17,17
"1975-05",16859.9997,16860.0519,0,16628.9997,NA,NA,NA,3227,3227,756.9999,756.9999,3227,3227,757.013,757.013,0,0,0,0,3227,3227,756.9999,756.9999,231,231,231,231,0,0,231,231
"1975-06",24568,24577.1428,0,24055,NA,NA,NA,5026,5026,603,603,5026,5026,605.2857,605.2857,0,0,0,0,5026,5026,603,603,513,513,513,513,0,0,513,513
"1975-07",22976,17238.6406,5908.4282,16482.5713,NA,NA,NA,4404,4404,755,755,2926.8928,2926.8928,797.7673,797.7673,1477.1071,1477.1071,0,0,2926.8928,2926.8928,755,755,585,585,585,585,0,0,585,585
"1975-08",14372,10350.8928,4153.9595,9796.041,NA,NA,NA,2588,2588,583,583,1549.5103,1549.5103,616.213,616.213,1038.4899,1038.4899,0,0,1549.5103,1549.5103,583,583,422,422,422,422,0,0,422,422
"1975-09",6652.0004,6525.0527,127.0188,6159.9816,NA,NA,NA,1016.0001,1016.0001,282,282,984.2454,984.2454,282.0178,282.0178,31.7547,31.7547,0,0,984.2454,984.2454,282,282,365,365,365,365,0,0,365,365
"1975-10",6576.0005,5546.2599,1029.7435,5366.2563,NA,NA,NA,1183.0001,1183.0001,281,281,925.5641,925.5641,281.0009,281.0009,257.4359,257.4359,0,0,925.5641,925.5641,281,281,180,180,180,180,0,0,180,180
"1975-11",3800.0002,3800.0002,0,3741.0002,NA,NA,NA,799.0001,799.0001,92,92,799.0001,799.0001,92,92,0,0,0,0,799.0001,799.0001,92,92,59,59,59,59,0,0,59,59
"1975-12",516.0001,516.0001,0,516.0001,NA,NA,NA,129,129,0,0,129,129,0,0,0,0,0,0,129,129,0,0,0,0,0,0,0,0,0,0
"1976-01",516.0001,516.0001,0,516.0001,NA,NA,NA,129,129,0,0,129,129,0,0,0,0,0,0,129,129,0,0,0,0,0,0,0,0,0,0
"1976-02",484,484,0,484,NA,NA,NA,121,121,0,0,121,121,0,0,0,0,0,0,121,121,0,0,0,0,0,0,0,0,0,0
"1976-03",524,524,0,524,NA,NA,NA,131,131,0,0,131,131,0,0,0,0,0,0,131,131,0,0,0,0,0,0,0,0,0,0
"1976-04",2700,2700.0082,0,2617,NA,NA,NA,469,469,123,123,469,469,123.002,123.002,0,0,0,0,469,469,123,123,83,83,83,83,0,0,83,83
"1976-05",22663.9999,22664.1058,0,22240.9999,NA,NA,NA,4593,4593,650,650,4593,4593,650.0265,650.0265,0,0,0,0,4593,4593,650,650,423,423,423,423,0,0,423,423
"1976-06",24103.9978,18428.406,5803.311,17667.6883,NA,NA,NA,4825.9995,4825.9995,567,567,3375.1721,3375.1721,598.9294,598.9294,1450.8278,1450.8278,0,0,3375.1721,3375.1721,567,567,632.9999,632.9999,632.9999,632.9999,0,0,632.9999,632.9999
"1976-07",15759.9998,11865.6086,4060.0969,11236.9026,NA,NA,NA,2749,2749,727.9999,727.9999,1733.9757,1733.9757,769.4265,769.4265,1015.0242,1015.0242,0,0,1733.9757,1733.9757,727.9999,727.9999,463,463,463,463,0,0,463,463
"1976-08",9920,10043.7881,0,9516,NA,NA,NA,1533,1533,543,543,1533,1533,573.947,573.947,0,0,0,0,1533,1533,543,543,404,404,404,404,0,0,404,404
"1976-09",9263.9999,6804.6052,2459.4988,6327.0463,NA,NA,NA,1439,1439,408,408,824.1253,824.1253,408.026,408.026,614.8747,614.8747,0,0,822.0116,822.0116,408,408,469,469,469,469,0,0,469,469
"1976-10",6680,5455.5106,1224.5046,5235.4954,NA,NA,NA,1150,1150,300,300,843.8738,843.8738,300.0038,300.0038,306.1262,306.1262,0,0,843.8738,843.8738,300,300,220,220,220,220,0,0,220,220
"1976-11",4124,3650.9507,473.0494,3516.9507,NA,NA,NA,795,795,102,102,676.7377,676.7377,102,102,118.2623,118.2623,0,0,676.7377,676.7377,102,102,134,134,134,134,0,0,134,134
"1976-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1977-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1977-02",256,256,0,256,NA,NA,NA,0,0,64,64,0,0,64,64,0,0,0,0,0,0,64,64,0,0,0,0,0,0,0,0
"1977-03",736,736,0,736,NA,NA,NA,30,30,154,154,30,30,154,154,0,0,0,0,30,30,154,154,0,0,0,0,0,0,0,0
"1977-04",9452,4200.0422,5252,3251,NA,NA,NA,1492,1492,638,638,179,179,638.0106,638.0106,1313,1313,0,0,0,0,638,638,233,233,233,233,0,0,233,233
"1977-05",17215.9998,6145.3105,11070.8086,4318.9998,NA,NA,NA,3107,3107,727.9999,727.9999,339.298,339.298,728.0297,728.0297,2767.7021,2767.7021,0,0,0,0,727.9999,727.9999,469,469,469,469,0,0,469,469
"1977-06",22735.9998,4915.8566,18021.8014,4425.649,NA,NA,NA,4124,4124,890,890,0,0,940.4145,940.4145,4124,4124,0,0,0,0,890,890,669.9999,669.9999,288.5497,288.5497,381.4503,381.4503,288.5497,288.5497
"1977-07",14748,4567.933,10359.8982,4088.0763,NA,NA,NA,2373,2373,797,797,0,0,841.9578,841.9578,2373,2373,0,0,0,0,797,797,517,517,300.0254,300.0254,216.9745,216.9745,300.0254,300.0254
"1977-08",7964,3107.9961,4952,2686,NA,NA,NA,1238,1238,427,427,0,0,450.999,450.999,1238,1238,0,0,0,0,427,427,326,326,326,326,0,0,326,326
"1977-09",8812,2341.1839,6470.9139,2139.8145,NA,NA,NA,1365,1365,384,384,0,0,384.0245,384.0245,1365,1365,0,0,0,0,384,384,454,454,201.2715,201.2715,252.7285,252.7285,201.2715,201.2715
"1977-10",2824,1024.0036,1800,844,NA,NA,NA,450,450,76,76,0,0,76.0009,76.0009,450,450,0,0,0,0,76,76,180,180,180,180,0,0,180,180
"1977-11",252,252,0,222,NA,NA,NA,33,33,0,0,33,33,0,0,0,0,0,0,33,33,0,0,30,30,30,30,0,0,30,30
"1977-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1978-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1978-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1978-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1978-04",2940,2940.0092,0,2857,NA,NA,NA,514,514,138,138,514,514,138.0023,138.0023,0,0,0,0,514,514,138,138,83,83,83,83,0,0,83,83
"1978-05",21640.0009,21640.118,0,21178.0009,NA,NA,NA,3683.0002,3683.0002,1265,1265,3683.0002,3683.0002,1265.0293,1265.0293,0,0,0,0,3683.0002,3683.0002,1265,1265,462,462,462,462,0,0,462,462
