"Date","71_AGG_IrrigDemand","71_AGG_IrrigSupply","71_AGG_IrrigShortage","71_AGG_IrrigSupDirectFlow","71_AGG_MunDemand","71_AGG_MunSupply","71_AGG_MunShortage","71_ADS017_IrrigDemand","71_ADS019_IrrigDemand","71_ADS017_IrrigSupply","71_ADS019_IrrigSupply","71_ADS017_IrrigShortage","71_ADS019_IrrigShortage","71_ADS017_IrrigSupDirectFlow","71_ADS019_IrrigSupDirectFlow"
"1970-10",96,96.02,0,96,NA,NA,NA,37,59,37.02,59,0,0,37,59
"1970-11",60,60,0,60,NA,NA,NA,0,60,0,60,0,0,0,60
"1970-12",3,3,0,3,NA,NA,NA,0,3,0,3,0,0,0,3
"1971-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1971-02",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1971-03",92,92,0,92,NA,NA,NA,16,76,16,76,0,0,16,76
"1971-04",175,175,0,175,NA,NA,NA,88,87,88,87,0,0,88,87
"1971-05",605,605,0,605,NA,NA,NA,440,165,440,165,0,0,440,165
"1971-06",1112.0001,1047.5646,64.4355,1047.5646,NA,NA,NA,875.0001,237,875.0001,172.5645,0,64.4355,875.0001,172.5645
"1971-07",786,761.3167,24.6833,761.3167,NA,NA,NA,583,203,583,178.3167,0,24.6833,583,178.3167
"1971-08",513,513,0,513,NA,NA,NA,381,132,381,132,0,0,381,132
"1971-09",280,280,0,280,NA,NA,NA,180,100,180,100,0,0,180,100
"1971-10",119,119,0,119,NA,NA,NA,17,102,17,102,0,0,17,102
"1971-11",46,46,0,46,NA,NA,NA,1,45,1,45,0,0,1,45
"1971-12",6,6,0,6,NA,NA,NA,3,3,3,3,0,0,3,3
"1972-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1972-02",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1972-03",92,92,0,92,NA,NA,NA,16,76,16,76,0,0,16,76
"1972-04",193,193,0,193,NA,NA,NA,106,87,106,87,0,0,106,87
"1972-05",640,618.3167,21.6833,618.3167,NA,NA,NA,440,200,440,178.3167,0,21.6833,440,178.3167
"1972-06",958,939.5645,18.4355,939.5645,NA,NA,NA,767,191,767,172.5645,0,18.4355,767,172.5645
"1972-07",790,768.3167,21.6833,768.3167,NA,NA,NA,590,200,590,178.3167,0,21.6833,590,178.3167
"1972-08",583,583,0,583,NA,NA,NA,406,177,406,177,0,0,406,177
"1972-09",283,283.04,0,283,NA,NA,NA,174,109,174.04,109,0,0,174,109
"1972-10",63,63,0,63,NA,NA,NA,4,59,4,59,0,0,4,59
"1972-11",60,60,0,60,NA,NA,NA,0,60,0,60,0,0,0,60
"1972-12",3,3,0,3,NA,NA,NA,0,3,0,3,0,0,0,3
"1973-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1973-02",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1973-03",59,59,0,59,NA,NA,NA,30,29,30,29,0,0,30,29
"1973-04",146,146,0,146,NA,NA,NA,59,87,59,87,0,0,59,87
"1973-05",429,429,0,429,NA,NA,NA,329,100,329,100,0,0,329,100
"1973-06",857,857,0,857,NA,NA,NA,729,128,729,128,0,0,729,128
"1973-07",743,743,0,743,NA,NA,NA,570,173,570,173,0,0,570,173
"1973-08",513,513,0,513,NA,NA,NA,381,132,381,132,0,0,381,132
"1973-09",329,329.22,0,329,NA,NA,NA,207,122,207.22,122,0,0,207,122
"1973-10",257,257.22,0,257,NA,NA,NA,107,150,107.22,150,0,0,107,150
"1973-11",2,2,0,2,NA,NA,NA,2,0,2,0,0,0,2,0
"1973-12",2,2,0,2,NA,NA,NA,2,0,2,0,0,0,2,0
"1974-01",2,0,2,0,NA,NA,NA,2,0,0,0,2,0,0,0
"1974-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1974-03",29,29,0,29,NA,NA,NA,29,0,29,0,0,0,29,0
"1974-04",161,161,0,161,NA,NA,NA,72,89,72,89,0,0,72,89
"1974-05",879,764.3167,114.6833,764.3167,NA,NA,NA,586,293,586,178.3167,0,114.6833,586,178.3167
"1974-06",1515,1470.5645,44.4355,1470.5645,NA,NA,NA,1298,217,1298,172.5645,0,44.4355,1298,172.5645
"1974-07",643,643,0,643,NA,NA,NA,488,155,488,155,0,0,488,155
"1974-08",550,550,0,550,NA,NA,NA,400,150,400,150,0,0,400,150
"1974-09",336,336,0,336,NA,NA,NA,206,130,206,130,0,0,206,130
"1974-10",60,60,0,60,NA,NA,NA,43,17,43,17,0,0,43,17
"1974-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1974-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1975-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1975-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1975-03",39,39,0,39,NA,NA,NA,39,0,39,0,0,0,39,0
"1975-04",55,55,0,55,NA,NA,NA,55,0,55,0,0,0,55,0
"1975-05",439,439,0,439,NA,NA,NA,345,94,345,94,0,0,345,94
"1975-06",970,869.5645,100.4355,869.5645,NA,NA,NA,697,273,697,172.5645,0,100.4355,697,172.5645
"1975-07",812,695.3167,116.6833,695.3167,NA,NA,NA,517,295,517,178.3167,0,116.6833,517,178.3167
"1975-08",506,506,0,506,NA,NA,NA,371,135,371,135,0,0,371,135
"1975-09",418,418,0,418,NA,NA,NA,288,130,288,130,0,0,288,130
"1975-10",320,298.5167,21.6833,298.3167,NA,NA,NA,120,200,120.2,178.3167,0,21.6833,120,178.3167
"1975-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1975-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1976-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1976-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1976-03",29,29,0,29,NA,NA,NA,29,0,29,0,0,0,29,0
"1976-04",157,157,0,157,NA,NA,NA,97,60,97,60,0,0,97,60
