"Date","72_AGG_IrrigDemand","72_AGG_IrrigSupply","72_AGG_IrrigShortage","72_AGG_IrrigSupDirectFlow","72_AGG_MunDemand","72_AGG_MunSupply","72_AGG_MunShortage","7200512_D_IrrigDemand","7200512_D_IrrigSupply","7200512_D_IrrigSupply_1","7200512_D_IrrigShortage","7200512_D_IrrigShortage_1","7200512_D_IrrigSupDirectFlow","7200512_D_IrrigSupDirectFlow_1","72_ADC051_IrrigDemand","72_ADC051_IrrigDemand_1","72_ADC052_IrrigDemand","72_ADC052_IrrigDemand_1","72_ADC053_IrrigDemand","72_ADC053_IrrigDemand_1","72_ADC054_IrrigDemand","72_ADC054_IrrigDemand_1","72_ADC055_IrrigDemand","72_ADC055_IrrigDemand_1","72_ADC056_IrrigDemand","72_ADC056_IrrigDemand_1","72_ADC057_IrrigDemand","72_ADC057_IrrigDemand_1","72_ADC058_IrrigDemand","72_ADC058_IrrigDemand_1","72_ADC059_IrrigDemand","72_ADC060_IrrigDemand","72_ADC061_IrrigDemand","72_ADC061_IrrigDemand_1","72_ADC062_IrrigDemand","72_ADC063_IrrigDemand","72_ADC063_IrrigDemand_1","72_ADC064_IrrigDemand","72_ADC064_IrrigDemand_1","72_ADC065_IrrigDemand","72_ADC065_IrrigDemand_1","72_ADC051_IrrigSupply","72_ADC051_IrrigSupply_1","72_ADC052_IrrigSupply","72_ADC052_IrrigSupply_1","72_ADC053_IrrigSupply","72_ADC053_IrrigSupply_1","72_ADC054_IrrigSupply","72_ADC054_IrrigSupply_1","72_ADC055_IrrigSupply","72_ADC055_IrrigSupply_1","72_ADC056_IrrigSupply","72_ADC056_IrrigSupply_1","72_ADC057_IrrigSupply","72_ADC057_IrrigSupply_1","72_ADC058_IrrigSupply","72_ADC058_IrrigSupply_1","72_ADC059_IrrigSupply","72_ADC059_IrrigSupply_1","72_ADC060_IrrigSupply","72_ADC060_IrrigSupply_1","72_ADC061_IrrigSupply","72_ADC061_IrrigSupply_1","72_ADC062_IrrigSupply","72_ADC062_IrrigSupply_1","72_ADC063_IrrigSupply","72_ADC063_IrrigSupply_1","72_ADC064_IrrigSupply","72_ADC064_IrrigSupply_1","72_ADC065_IrrigSupply","72_ADC065_IrrigSupply_1","72_ADC051_IrrigShortage","72_ADC051_IrrigShortage_1","72_ADC052_IrrigShortage","72_ADC052_IrrigShortage_1","72_ADC053_IrrigShortage","72_ADC053_IrrigShortage_1","72_ADC054_IrrigShortage","72_ADC054_IrrigShortage_1","72_ADC055_IrrigShortage","72_ADC055_IrrigShortage_1","72_ADC056_IrrigShortage","72_ADC056_IrrigShortage_1","72_ADC057_IrrigShortage","72_ADC057_IrrigShortage_1","72_ADC058_IrrigShortage","72_ADC058_IrrigShortage_1","72_ADC059_IrrigShortage","72_ADC059_IrrigShortage_1","72_ADC060_IrrigShortage","72_ADC060_IrrigShortage_1","72_ADC061_IrrigShortage","72_ADC061_IrrigShortage_1","72_ADC062_IrrigShortage","72_ADC062_IrrigShortage_1","72_ADC063_IrrigShortage","72_ADC063_IrrigShortage_1","72_ADC064_IrrigShortage","72_ADC064_IrrigShortage_1","72_ADC065_IrrigShortage","72_ADC065_IrrigShortage_1","72_ADC051_IrrigSupDirectFlow","72_ADC051_IrrigSupDirectFlow_1","72_ADC052_IrrigSupDirectFlow","72_ADC052_IrrigSupDirectFlow_1","72_ADC053_IrrigSupDirectFlow","72_ADC053_IrrigSupDirectFlow_1","72_ADC054_IrrigSupDirectFlow","72_ADC054_IrrigSupDirectFlow_1","72_ADC055_IrrigSupDirectFlow","72_ADC055_IrrigSupDirectFlow_1","72_ADC056_IrrigSupDirectFlow","72_ADC056_IrrigSupDirectFlow_1","72_ADC057_IrrigSupDirectFlow","72_ADC057_IrrigSupDirectFlow_1","72_ADC058_IrrigSupDirectFlow","72_ADC058_IrrigSupDirectFlow_1","72_ADC059_IrrigSupDirectFlow","72_ADC059_IrrigSupDirectFlow_1","72_ADC060_IrrigSupDirectFlow","72_ADC060_IrrigSupDirectFlow_1","72_ADC061_IrrigSupDirectFlow","72_ADC061_IrrigSupDirectFlow_1","72_ADC062_IrrigSupDirectFlow","72_ADC062_IrrigSupDirectFlow_1","72_ADC063_IrrigSupDirectFlow","72_ADC063_IrrigSupDirectFlow_1","72_ADC064_IrrigSupDirectFlow","72_ADC064_IrrigSupDirectFlow_1","72_ADC065_IrrigSupDirectFlow","72_ADC065_IrrigSupDirectFlow_1","7200646_I_IrrigDemand","7200646_I_IrrigDemand_1","7200646_I_IrrigSupply","7200646_I_IrrigSupply_1","7200646_I_IrrigShortage","7200646_I_IrrigShortage_1","7200646_I_IrrigSupDirectFlow","7200646_I_IrrigSupDirectFlow_1","7200730_D_IrrigDemand","7200730_D_IrrigDemand_1","7200730_D_IrrigSupply","7200730_D_IrrigSupply_1","7200730_D_IrrigShortage","7200730_D_IrrigShortage_1","7200730_D_IrrigSupDirectFlow","7200730_D_IrrigSupDirectFlow_1","7200852_D_IrrigDemand","7200852_D_IrrigDemand_1","7200852_D_IrrigSupply","7200852_D_IrrigSupply_1","7200852_D_IrrigShortage","7200852_D_IrrigShortage_1","7200852_D_IrrigSupDirectFlow","7200852_D_IrrigSupDirectFlow_1","7200764_I_IrrigDemand","7200764_I_IrrigDemand_1","7200766_I_IrrigDemand","7200766_I_IrrigDemand_1","7200764_I_IrrigSupply","7200764_I_IrrigSupply_1","7200766_I_IrrigSupply","7200766_I_IrrigSupply_1","7200764_I_IrrigShortage","7200764_I_IrrigShortage_1","7200766_I_IrrigShortage","7200766_I_IrrigShortage_1","7200764_I_IrrigSupDirectFlow","7200764_I_IrrigSupDirectFlow_1","7200766_I_IrrigSupDirectFlow","7200766_I_IrrigSupDirectFlow_1","72_AMC001_MunDemand","72_AMC001_MunDemand_1","72_AMC001_MunSupply","72_AMC001_MunSupply_1","72_AMC001_MunShortage","72_AMC001_MunShortage_1","7200644_MunDemand","7200644_MunDemand_1","7200644_MunSupply","7200644_MunSupply_1","7200644_MunShortage","7200644_MunShortage_1","72_GJMun_MunDemand","72_GJMun_MunDemand_1","72_GJMun_MunSupply","72_GJMun_MunSupply_1","72_GJMun_MunShortage","72_GJMun_MunShortage_1","72_GJMunExp_MunDemand","72_GJMunExp_MunSupply","72_GJMunExp_MunSupply_1","72_GJMunExp_MunShortage","72_GJMunExp_MunShortage_1","7201523_MunDemand","7201523_MunSupply","7201523_MunSupply_1","7201523_MunShortage","7201523_MunShortage_1","7200816_MunDemand","7200816_MunDemand_1","7200816_MunSupply","7200816_MunSupply_1","7200816_MunShortage","7200816_MunShortage_1","72_UWCD_MunDemand","72_UWCD_MunDemand_1","72_UWCD_MunSupply","72_UWCD_MunSupply_1","72_UWCD_MunShortage","72_UWCD_MunShortage_1"
"1970-10",167794.0156,168375.5627,145.9406,7626.0594,7808.0005,7264.0004,544,151,151,151,0,0,151,151,18,342,92,92,188,188,30,30,82,82,83,83,227,227,75,75,118,302,26,26,84,61,61,50,50,616,616,26.96,26.96,92,92,188,188,31.4046,31.4046,82,82,46.5148,46.5148,227.0034,227.0034,75,75,118,118,302,302,26,26,84,84,61,61,50,50,616,616,0,0,0,0,0,0,0,0,0,0,36.4852,36.4852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,92,92,188,188,30,30,82,82,46.5148,46.5148,227,227,75,75,118,118,0,0,26,26,84,84,61,61,50,50,616,616,39843.0039,39843.0039,"39843.0078",39843.0078,0,0,0,0,31,31,31,31,0,0,31,31,34,34,34,34,0,0,0,0,3,3,0,0,3,3,6,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,293,293,293,293,0,0,556,556,420,420,136,136,NA,NA,NA,NA,NA,0,0,0,0,0,63,63,63,63,0,0,1040.0001,1040.0001,1040.0001,1040.0001,0,0
"1970-11",75921.1613,70882,484,1252,5676,5520,156,5,5,0,0,0,5,5,0,0,22,22,1783,557,0,0,31,31,10,10,26,26,162.5806,24,17,118,17,17,24,27,27,0,0,62,62,0,0,22,22,21,21,0,0,31,31,10,10,26,26,24,24,17,17,0,0,17,17,24,24,27,27,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,0,0,0,0,0,0,0,0,0,0,0,0,22,22,21,21,0,0,31,31,10,10,26,26,24,24,17,17,0,0,17,17,24,24,27,27,0,0,62,62,17410,17410,"17410.0000",17410,0,0,0,0,3,3,3,3,0,0,3,3,3,3,0,0,3,3,0,0,24,24,0,0,24,24,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,160,160,160,160,0,0,430,430,391,391,39,39,NA,NA,NA,NA,NA,0,0,0,0,0,49,49,49,49,0,0,780,780,780,780,0,0
"1970-12",2844.2668,1048,280,1048,5739.9999,5272.0001,468,0,0,0,0,0,0,0,0,0,20,20,4.1333,22,0,0,16,16,4,4,13,13,12,12,2,110,16,16,934.0001,27,27,0,0,61,61,0,0,20,20,22,22,0,0,16,16,4,4,13,13,12,12,2,2,40,40,16,16,23,23,27,27,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,20,20,22,22,0,0,16,16,4,4,13,13,12,12,2,2,40,40,16,16,23,23,27,27,0,0,61,61,0,0,"0.0000",0,0,0,0,0,3,3,3,3,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,165,165,165,165,0,0,441,441,324,324,117,117,NA,NA,NA,NA,NA,0,0,0,0,0,49,49,49,49,0,0,780,780,780,780,0,0
"1971-01",1974,1112,64.0001,1112,5684,5443.9999,240,0,0,0,0,0,0,0,0,0,12,12,16,16,0,0,551,17,12,12,2,2,6,6,0,116,17,17,19,17,17,0,0,59,59,0,0,12,12,16,16,0,0,17,17,12,12,2,2,6,6,0,0,100,100,17,17,19,19,17,17,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,12,12,16,16,0,0,17,17,12,12,2,2,6,6,0,0,100,100,17,17,19,19,17,17,0,0,59,59,0,0,"0.0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,170,170,170,170,0,0,424,424,364,364,60,60,NA,NA,NA,NA,NA,0,0,0,0,0,47,47,47,47,0,0,780,780,780,780,0,0
"1971-02",1386.9333,1388,0,1388,5406.4903,5276,224,0,0,0,0,0,0,0,0,119.4667,11,11,31,31,0,0,20,20,13,13,8,8,16,16,7,94,12,12,19,19,19,0,0,93,93,0,0,11,11,31,31,0,0,20,20,13,13,8,8,16,16,7,7,94,94,12,12,19,19,19,19,0,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,31,31,0,0,20,20,13,13,8,8,16,16,7,7,94,94,12,12,19,19,19,19,0,0,93,93,0,0,"0.0000",0,0,0,0,0,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,150,150,150,150,0,0,394,394,338,338,56,56,NA,NA,NA,NA,NA,0,0,0,0,0,4.2452,51,51,51,0,0,780,780,780,780,0,0
"1971-03",8680,9020.001,0,4100,6247.9999,6023.9999,224.0001,28,28,28,0,0,28,28,39,39,11,11,82,82,8,8,42,42,15,15,17,17,27,27,23,95,15,15,24,15,15,2,2,579,579,39,39,11,11,82,82,8,8,42,42,15,15,17,17,27,27,23,23,95,95,15,15,24,24,15,15,2,2,579,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,11,11,82,82,8,8,42,42,15,15,17,17,27,27,23,23,95,95,15,15,24,24,15,15,2,2,579,579,1230,1230,"1230.0002",1230.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,171,171,171,171,0,0,420,420,364,364,56,56,NA,NA,NA,NA,NA,0,0,0,0,0,61,61,61,61,0,0,910,910,910,910,0,0
"1971-04",167509.9994,168821.7181,99.6376,13496.3618,7148,7148,0,144,144,0,0,0,144,144,105,105,98,98,221,221,209,209,223,223,95,95,131,131,119,119,284,205,130,130,112,123,123,71,71,1040.9999,1040.9999,105,105,101.2741,101.2741,221,221,209,209,223,223,100.7,100.7,131.0091,131.0091,119,119,284,284,217.3,217.3,130,130,118.52,118.52,130.3042,130.3042,46.0906,46.0906,1040.9999,1040.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9094,24.9094,0,0,105,105,98,98,221,221,209,209,223,223,95,95,131,131,119,119,284,284,205,205,130,130,112,112,123,123,46.0906,46.0906,1040.9999,1040.9999,38851,38851,"38851.0117",38851.0117,0,0,0,0,19,19,19,19,0,0,19,19,40,40,42.4,42.4,0,0,40,40,29,29,0,0,29,29,14.82,14.82,0,0,0,0,29,29,0,0,0,0,0,0,0,0,237,237,237,237,0,0,450,450,450,450,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,60,60,60,60,0,0,1040,1040,1040,1040,0,0
"1971-05",236977.2664,241998.655,3053.5576,40692.7879,9179.9999,9179.9999,1e-04,306,306,306,0,0,306,306,297,297,142,513,848,0,807,807,923,923,583,583,653.9999,653.9999,489,489,1129,1159,395,395,1011.6333,606,606,240,240,1668,1668,297,297,513,513,848,848,807,807,923,923,583,583,654.022,654.022,489,489,1128.9999,1128.9999,597.9999,597.9999,395,395,415.6108,415.6108,606,606,240,240,1667.9999,1667.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,561,561,0,0,202.3892,202.3892,0,0,0,0,1e-04,1e-04,297,297,513,513,848,848,807,807,923,923,583,583,653.9999,653.9999,489,489,1128.9999,1128.9999,597.9999,597.9999,60.4467,60.4467,415.6108,415.6108,192.1398,192.1398,240,240,1667.9999,1667.9999,49578,49578,"49578.0313",49578.0313,0,0,0,0,105,105,105,105,0,0,105,105,316,316,316,316,0,0,316,316,29,29,0,0,29,29,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,330,330,330,330,0,0,570,570,570,570,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,95,95,95,95,0,0,1300,1300,1300,1300,0,0
"1971-06",185141.9998,277053.4481,10110.7371,58368.2323,10691.9995,10691.9995,0,362,362,362,0,0,362,362,668,668,1127,1127,1783,1783,1249.9999,1249.9999,1778,1778,937,937,942,942,780,780,1426,1721,560,560,971.0001,1030,1030,357,357,1689,1689,667.9999,667.9999,1127,1127,1783,1783,1249.9999,1249.9999,1778,1778,937.0001,937.0001,942.0457,942.0457,780.0001,780.0001,1426,1426,1721,1721,560.0001,560.0001,971.0001,971.0001,1030,1030,357,357,1688.9999,1688.9999,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,667.9999,667.9999,1127,1127,1783,1783,1249.9999,1249.9999,1778,1778,937.0001,937.0001,942,942,780.0001,780.0001,371.9614,371.9614,890.1948,890.1948,224.3811,224.3811,465.1898,465.1898,213.331,213.331,357,357,1688.9999,1688.9999,6576,53107,"50579.3164",50579.3164,2527.6841,2527.6841,0,0,718,718,718,718,0,0,718,718,549,549,549,549,0,0,0,0,36,36,0,0,36,36,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,376,376,376,376,0,0,763,763,763,763,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,104,104,104,104,0,0,1429.9999,1429.9999,1429.9999,1429.9999,0,0
"1971-07",267113.0193,265528.3036,12714.7999,42482.5106,11896,11895.9995,3e-04,346,346,346,0,0,346,346,468,468,981,981,84.1429,1358,779,779,1034,445.3667,572,572,886.0001,886.0001,695,695,1127,1396,352,352,786,690,758,320,320,1408,1408,468,468,981,981,1358,1358,779,779,1075.8232,1075.8232,606.1201,606.1201,886.0536,886.0536,695,695,1127,1127,1410.1599,1410.1599,352,352,786,786,802.0182,802.0182,0,320,1408,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,468,981,981,1358,1358,779,779,1034,1034,236.7064,236.7064,416.6656,416.6656,695,695,314.5753,314.5753,790,790,195.754,195.754,498.8556,498.8556,151.0708,151.0708,320,320,1408,1408,55444,55444,"52265.3008",52265.3008,3178.7,3178.7,0,0,601,601,601,601,0,0,601,601,233,233,247.18,247.18,0,0,0,0,27,27,0,0,28.42,28.42,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,439,439,439,439,0,0,844,844,844,844,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,131,131,131,131,0,0,1560,1560,1559.9999,1559.9999,1e-04,1e-04
