"Date","73_AGG_IrrigDemand","73_AGG_IrrigSupply","73_AGG_IrrigShortage","73_AGG_IrrigSupDirectFlow","73_AGG_MunDemand","73_AGG_MunSupply","73_AGG_MunShortage","73_ADS025_IrrigDemand","73_ADS025_IrrigSupply","73_ADS025_IrrigShortage","73_ADS025_IrrigSupDirectFlow"
"1970-10",248,248.0056,0,248,NA,NA,NA,248,248.0056,0,248
"1970-11",18,18,0,18,NA,NA,NA,18,18,0,18
"1970-12",19,19,0,19,NA,NA,NA,19,19,0,19
"1971-01",20,20,0,20,NA,NA,NA,20,20,0,20
"1971-02",9,9,0,9,NA,NA,NA,9,9,0,9
"1971-03",28,28,0,28,NA,NA,NA,28,28,0,28
"1971-04",861,861.0119,0,861,NA,NA,NA,861,861.0119,0,861
"1971-05",3079.0002,3079.0344,0,3079.0005,NA,NA,NA,3079.0002,3079.0344,0,3079.0005
"1971-06",2173,2173.0613,0,2173.0002,NA,NA,NA,2173,2173.0613,0,2173.0002
"1971-07",2283,2283.2295,0,2283.0002,NA,NA,NA,2283,2283.2295,0,2283.0002
"1971-08",1502,1293.7957,208.2044,1104,NA,NA,NA,1502,1293.7957,208.2044,1104
"1971-09",791,791.0249,0,791,NA,NA,NA,791,791.0249,0,791
"1971-10",187,187.0014,0,187,NA,NA,NA,187,187.0014,0,187
"1971-11",12,12,0,12,NA,NA,NA,12,12,0,12
"1971-12",13,13,0,13,NA,NA,NA,13,13,0,13
"1972-01",20,20,0,20,NA,NA,NA,20,20,0,20
"1972-02",14,14,0,14,NA,NA,NA,14,14,0,14
"1972-03",167,167.0052,0,167,NA,NA,NA,167,167.0052,0,167
"1972-04",1156,1156.0217,0,1156,NA,NA,NA,1156,1156.0217,0,1156
"1972-05",3463,2461.0383,1001.9617,2460.9998,NA,NA,NA,3463,2461.0383,1001.9617,2460.9998
"1972-06",1989.9999,1990.0557,0,1989.9999,NA,NA,NA,1989.9999,1990.0557,0,1989.9999
"1972-07",2204,1558.6122,645.3878,1098.9999,NA,NA,NA,2204,1558.6122,645.3878,1098.9999
"1972-08",1617,487,1129.9999,487,NA,NA,NA,1617,487,1129.9999,487
"1972-09",954.0001,600,354,600,NA,NA,NA,954.0001,600,354,600
"1972-10",248,248,0,248,NA,NA,NA,248,248,0,248
"1972-11",12,12,0,12,NA,NA,NA,12,12,0,12
"1972-12",13,13,0,13,NA,NA,NA,13,13,0,13
"1973-01",15,15,0,15,NA,NA,NA,15,15,0,15
"1973-02",14,14,0,14,NA,NA,NA,14,14,0,14
"1973-03",28,28,0,28,NA,NA,NA,28,28,0,28
"1973-04",629,629.0071,0,629,NA,NA,NA,629,629.0071,0,629
"1973-05",3585.9998,3586.0327,0,3586.0002,NA,NA,NA,3585.9998,3586.0327,0,3586.0002
"1973-06",2757,2757.0439,0,2757.0002,NA,NA,NA,2757,2757.0439,0,2757.0002
"1973-07",2011.0001,2011.116,0,2011.0004,NA,NA,NA,2011.0001,2011.116,0,2011.0004
"1973-08",1661,1661.1047,0,1661,NA,NA,NA,1661,1661.1047,0,1661
"1973-09",1093,982.9805,110.0195,885,NA,NA,NA,1093,982.9805,110.0195,885
"1973-10",502,502.0158,0,502,NA,NA,NA,502,502.0158,0,502
"1973-11",15,15.0001,0,15,NA,NA,NA,15,15.0001,0,15
"1973-12",13,13,0,13,NA,NA,NA,13,13,0,13
"1974-01",9,9,0,9,NA,NA,NA,9,9,0,9
"1974-02",14,14,0,14,NA,NA,NA,14,14,0,14
"1974-03",115,115.0036,0,115,NA,NA,NA,115,115.0036,0,115
"1974-04",861,861.0074,0,861,NA,NA,NA,861,861.0074,0,861
"1974-05",3968,3968.0444,0,3968,NA,NA,NA,3968,3968.0444,0,3968
"1974-06",2225,2225.0625,0,2225,NA,NA,NA,2225,2225.0625,0,2225
"1974-07",1957,1808.3068,148.6932,1675,NA,NA,NA,1957,1808.3068,148.6932,1675
"1974-08",1784.9999,986.3612,798.6388,659.9999,NA,NA,NA,1784.9999,986.3612,798.6388,659.9999
"1974-09",984.9999,299,685.9999,299,NA,NA,NA,984.9999,299,685.9999,299
"1974-10",483,483.1725,0,483,NA,NA,NA,483,483.1725,0,483
"1974-11",50,50.0008,0,50,NA,NA,NA,50,50.0008,0,50
"1974-12",16,15.987,0.013,15.987,NA,NA,NA,16,15.987,0.013,15.987
"1975-01",9,9,0,9,NA,NA,NA,9,9,0,9
"1975-02",11,11,0,11,NA,NA,NA,11,11,0,11
"1975-03",12,12,0,12,NA,NA,NA,12,12,0,12
"1975-04",330,330.004,0,330,NA,NA,NA,330,330.004,0,330
"1975-05",3475.0002,3475.0288,0,3475.0005,NA,NA,NA,3475.0002,3475.0288,0,3475.0005
"1975-06",3367,3367.0454,0,3367.0005,NA,NA,NA,3367,3367.0454,0,3367.0005
"1975-07",2088.9998,2089.0659,0,2088.9998,NA,NA,NA,2088.9998,2089.0659,0,2088.9998
"1975-08",1774,1642.0454,131.9546,1524,NA,NA,NA,1774,1642.0454,131.9546,1524
"1975-09",1107,686.6226,420.3775,345,NA,NA,NA,1107,686.6226,420.3775,345
"1975-10",333,333.1678,0,333,NA,NA,NA,333,333.1678,0,333
"1975-11",15,15,0,15,NA,NA,NA,15,15,0,15
"1975-12",16,15.987,0.013,15.987,NA,NA,NA,16,15.987,0.013,15.987
"1976-01",9,9,0,9,NA,NA,NA,9,9,0,9
"1976-02",14,14,0,14,NA,NA,NA,14,14,0,14
"1976-03",16,15.9873,0.0127,15.987,NA,NA,NA,16,15.9873,0.0127,15.987
"1976-04",856,856.016,0,856,NA,NA,NA,856,856.016,0,856
"1976-05",3269,3269.0354,0,3269.0002,NA,NA,NA,3269,3269.0354,0,3269.0002
"1976-06",2183,2183.0552,0,2183.0002,NA,NA,NA,2183,2183.0552,0,2183.0002
"1976-07",2244,1801.0632,442.9368,1347,NA,NA,NA,2244,1801.0632,442.9368,1347
"1976-08",1807.0001,580.55,1226.4501,575,NA,NA,NA,1807.0001,580.55,1226.4501,575
"1976-09",1120,587,532.9999,587,NA,NA,NA,1120,587,532.9999,587
"1976-10",383,383.1694,0,383,NA,NA,NA,383,383.1694,0,383
"1976-11",15,15,0,15,NA,NA,NA,15,15,0,15
"1976-12",16,15.987,0.013,15.987,NA,NA,NA,16,15.987,0.013,15.987
"1977-01",9,9,0,9,NA,NA,NA,9,9,0,9
"1977-02",55,55,0,55,NA,NA,NA,55,55,0,55
"1977-03",104,95.001,8.999,95,NA,NA,NA,104,95.001,8.999,95
"1977-04",1249.9999,988.0234,261.9766,988,NA,NA,NA,1249.9999,988.0234,261.9766,988
