"Date","78_AGG_IrrigDemand","78_AGG_IrrigSupply","78_AGG_IrrigShortage","78_AGG_IrrigSupDirectFlow","78_AGG_MunDemand","78_AGG_MunSupply","78_AGG_MunShortage","78_ADS004_IrrigDemand","78_ADS004_IrrigSupply","78_ADS004_IrrigShortage","78_ADS004_IrrigSupDirectFlow","7800692_MunDemand","7800692_MunSupply","7800692_MunShortage","7800562_MunDemand","7800562_MunSupply","7800562_MunShortage","7804672_MunDemand","7804672_MunSupply","7804672_MunShortage"
"1970-10",727,727,0,727,101,101,0,727,727,0,727,55,55,0,46,46,0,0,0,0
"1970-11",13,13,0,13,49,49,0,13,13,0,13,49,49,0,0,0,0,0,0,0
"1970-12",18,18,0,18,59,59,0,18,18,0,18,59,59,0,0,0,0,0,0,0
"1971-01",20,20,0,20,57,57,0,20,20,0,20,57,57,0,0,0,0,0,0,0
"1971-02",16,16,0,16,53,53,0,16,16,0,16,53,53,0,0,0,0,0,0,0
"1971-03",26,26,0,26,62,62,0,26,26,0,26,62,62,0,0,0,0,0,0,0
"1971-04",255,255,0,255,84,84.04,0,255,255,0,255,60,60,0,24,24.04,0,0,0,0
"1971-05",1354.0001,1354.0002,0,1354.0001,351,351,0,1354.0001,1354.0002,0,1354.0001,72,72,0,253,253,0,26,26,0
"1971-06",2420,2420.1982,0,2420.0002,623,623,0,2420,2420.1982,0,2420.0002,95,95,0,363,363,0,165,165,0
"1971-07",2007,2007.2178,0,2007,465,415.04,50,2007,2007.2178,0,2007,96,96,0,274,274.04,0,95,45,50
"1971-08",867,867,0,867,239,239,0,867,867,0,867,80,80,0,119,119,0,40,40,0
"1971-09",667,667,0,667,213,182.0642,30.9358,667,667,0,667,67,67,0,127,96.0642,30.9358,19,19,0
"1971-10",232,232,0,232,142,142,0,232,232,0,232,55,55,0,87,87,0,0,0,0
"1971-11",13,13,0,13,49,49,0,13,13,0,13,49,49,0,0,0,0,0,0,0
"1971-12",18,18,0,18,59,59,0,18,18,0,18,59,59,0,0,0,0,0,0,0
"1972-01",20,20,0,20,57,57,0,20,20,0,20,57,57,0,0,0,0,0,0,0
"1972-02",16,16,0,16,53,53,0,16,16,0,16,53,53,0,0,0,0,0,0,0
"1972-03",26,26,0,26,62,62,0,26,26,0,26,62,62,0,0,0,0,0,0,0
"1972-04",294,294.2376,0,294,101,101,0,294,294.2376,0,294,60,60,0,41,41,0,0,0,0
"1972-05",1593,1593,0,1593,351,351,0,1593,1593,0,1593,72,72,0,253,253,0,26,26,0
"1972-06",2102.0002,2102.0002,0,2102.0002,670,670,0,2102.0002,2102.0002,0,2102.0002,95,95,0,410,410,0,165,165,0
"1972-07",1978.0001,1978.0001,0,1978.0001,461,332.6837,128.3162,1978.0001,1978.0001,0,1978.0001,96,96,0,270,236.6837,33.3162,95,0,95
"1972-08",978,978.0001,0,978,253,178.7763,74.2237,978,978.0001,0,978,80,80,0,133,98.7763,34.2237,40,0,40
"1972-09",846,846.1584,0,846,201,182,19,846,846.1584,0,846,67,67,0,115,115,0,19,0,19
"1972-10",199,199,0,199,142,142,0,199,199,0,199,55,55,0,87,87,0,0,0,0
"1972-11",13,13,0,13,49,49,0,13,13,0,13,49,49,0,0,0,0,0,0,0
"1972-12",18,18,0,18,59,59,0,18,18,0,18,59,59,0,0,0,0,0,0,0
"1973-01",20,20,0,20,57,57,0,20,20,0,20,57,57,0,0,0,0,0,0,0
"1973-02",16,16,0,16,53,53,0,16,16,0,16,53,53,0,0,0,0,0,0,0
"1973-03",26,26,0,26,62,62,0,26,26,0,26,62,62,0,0,0,0,0,0,0
"1973-04",100,100,0,100,73,73,0,100,100,0,100,60,60,0,13,13,0,0,0,0
"1973-05",1459,1459.1387,0,1459,296,296.08,0,1459,1459.1387,0,1459,72,72,0,198,198.08,0,26,26,0
"1973-06",1896,1896.1584,0,1896,593,593,0,1896,1896.1584,0,1896,95,95,0,333,333,0,165,165,0
"1973-07",1982.9999,1983.1781,0,1982.9999,530,530,0,1982.9999,1983.1781,0,1982.9999,96,96,0,339,339,0,95,95,0
"1973-08",868,868,0,868,256,256,0,868,868,0,868,80,80,0,136,136,0,40,40,0
"1973-09",809,809.1387,0,809,213,213,0,809,809.1387,0,809,67,67,0,127,127,0,19,19,0
"1973-10",494,494.2376,0,494,122,104.3749,17.6251,494,494.2376,0,494,55,55,0,67,49.3749,17.6251,0,0,0
"1973-11",9,9,0,9,49,49,0,9,9,0,9,49,49,0,0,0,0,0,0,0
"1973-12",18,18,0,18,59,59,0,18,18,0,18,59,59,0,0,0,0,0,0,0
"1974-01",9,9,0,9,57,57,0,9,9,0,9,57,57,0,0,0,0,0,0,0
"1974-02",10,10,0,10,53,53,0,10,10,0,10,53,53,0,0,0,0,0,0,0
"1974-03",7,7,0,7,62,62,0,7,7,0,7,62,62,0,0,0,0,0,0,0
"1974-04",269,269,0,269,97,97.02,0,269,269,0,269,60,60,0,37,37.02,0,0,0,0
"1974-05",1806,1806.0001,0,1806,393,393,0,1806,1806.0001,0,1806,72,72,0,295,295,0,26,26,0
"1974-06",2504,2504,0,2504,694,677,17,2504,2504,0,2504,95,95,0,434,434,0,165,148,17
"1974-07",1784.9999,1785.099,0,1784.9999,434,339,95,1784.9999,1785.099,0,1784.9999,96,96,0,243,243,0,95,0,95
"1974-08",898,898.0792,0,898,242,203.12,39,898,898.0792,0,898,80,80,0,122,122.12,0,40,1,39
"1974-09",995.9999,996.1584,0,995.9999,255,145.5154,109.4846,995.9999,996.1584,0,995.9999,67,67,0,169,78.5154,90.4846,19,0,19
"1974-10",394,394,0,394,61,61,0,394,394,0,394,55,55,0,6,6,0,0,0,0
"1974-11",15,15,0,15,49,49,0,15,15,0,15,49,49,0,0,0,0,0,0,0
"1974-12",16,16,0,16,59,59,0,16,16,0,16,59,59,0,0,0,0,0,0,0
"1975-01",4,4,0,4,57,57,0,4,4,0,4,57,57,0,0,0,0,0,0,0
"1975-02",9,9,0,9,53,53,0,9,9,0,9,53,53,0,0,0,0,0,0,0
"1975-03",4,4,0,4,62,62,0,4,4,0,4,62,62,0,0,0,0,0,0,0
"1975-04",87,87,0,87,68,68,0,87,87,0,87,60,60,0,8,8,0,0,0,0
"1975-05",1480,1480.0001,0,1480,300,300,0,1480,1480.0001,0,1480,72,72,0,202,202,0,26,26,0
"1975-06",2400,2400.0002,0,2400.0002,582,582,0,2400,2400.0002,0,2400.0002,95,95,0,322,322,0,165,165,0
"1975-07",2760,2760.0002,0,2760.0002,721,721,0,2760,2760.0002,0,2760.0002,96,96,0,530,530,0,95,95,0
"1975-08",1331,1331,0,1331,301,301,0,1331,1331,0,1331,80,80,0,181,181,0,40,40,0
"1975-09",817,817,0,817,197,197.06,0,817,817,0,817,67,67,0,111,111.06,0,19,19,0
"1975-10",601.9999,601.9999,0,601.9999,114,87,27,601.9999,601.9999,0,601.9999,55,55,0,59,32,27,0,0,0
"1975-11",5,5,0,5,49,49,0,5,5,0,5,49,49,0,0,0,0,0,0,0
"1975-12",7,7,0,7,59,59,0,7,7,0,7,59,59,0,0,0,0,0,0,0
"1976-01",4,4,0,4,57,57,0,4,4,0,4,57,57,0,0,0,0,0,0,0
"1976-02",4,4,0,4,53,53,0,4,4,0,4,53,53,0,0,0,0,0,0,0
"1976-03",7,7,0,7,62,62,0,7,7,0,7,62,62,0,0,0,0,0,0,0
"1976-04",277,277,0,277,95,95.1,0,277,277,0,277,60,60,0,35,35.1,0,0,0,0
"1976-05",2070,2070,0,2070,345,345,0,2070,2070,0,2070,72,72,0,247,247,0,26,26,0
"1976-06",2650,2650,0,2650,744,744,0,2650,2650,0,2650,95,95,0,484,484,0,165,165,0
"1976-07",2081.9998,2081.9998,0,2081.9998,622,622,0,2081.9998,2081.9998,0,2081.9998,96,96,0,431,431,0,95,95,0
"1976-08",1249.9999,1249.9999,0,1249.9999,250,250,0,1249.9999,1249.9999,0,1249.9999,80,80,0,130,130,0,40,40,0
"1976-09",966.9999,966.9999,0,966.9999,147,147.06,0,966.9999,966.9999,0,966.9999,67,67,0,61,61.06,0,19,19,0
"1976-10",530,530,0,530,120,120,0,530,530,0,530,55,55,0,65,65,0,0,0,0
"1976-11",7,7,0,7,49,49,0,7,7,0,7,49,49,0,0,0,0,0,0,0
"1976-12",17,17,0,17,59,59,0,17,17,0,17,59,59,0,0,0,0,0,0,0
"1977-01",5,5,0,5,57,57,0,5,5,0,5,57,57,0,0,0,0,0,0,0
"1977-02",10,10,0,10,53,53,0,10,10,0,10,53,53,0,0,0,0,0,0,0
"1977-03",5,5,0,5,62,62,0,5,5,0,5,62,62,0,0,0,0,0,0,0
"1977-04",444,444,0,444,95,95.1,0,444,444,0,444,60,60,0,35,35.1,0,0,0,0
"1977-05",1858,1858,0,1858,638,520.5544,117.4456,1858,1858,0,1858,72,72,0,540,422.5544,117.4456,26,26,0
"1977-06",2380.9998,2381.2576,0,2380.9998,715,697,18,2380.9998,2381.2576,0,2380.9998,95,95,0,455,455,0,165,147,18
"1977-07",1462.9999,1463,0,1462.9999,432,406,26,1462.9999,1463,0,1462.9999,96,96,0,241,241,0,95,69,26
"1977-08",1168.0001,1168.0001,0,1168.0001,279,279,0,1168.0001,1168.0001,0,1168.0001,80,80,0,159,159,0,40,40,0
"1977-09",867,867,0,867,205,186,19,867,867,0,867,67,67,0,119,119,0,19,0,19
"1977-10",422,422.1188,0,422,136,131.023,4.977,422,422.1188,0,422,55,55,0,81,76.023,4.977,0,0,0
"1977-11",15,15,0,15,49,49,0,15,15,0,15,49,49,0,0,0,0,0,0,0
"1977-12",24,24,0,24,59,59,0,24,24,0,24,59,59,0,0,0,0,0,0,0
"1978-01",4,4,0,4,57,57,0,4,4,0,4,57,57,0,0,0,0,0,0,0
"1978-02",9,9,0,9,53,53,0,9,9,0,9,53,53,0,0,0,0,0,0,0
"1978-03",33,33,0,33,62,62,0,33,33,0,33,62,62,0,0,0,0,0,0,0
"1978-04",80,80,0,80,71,71.06,0,80,80,0,80,60,60,0,11,11.06,0,0,0,0
"1978-05",1170,1170.1981,0,1170,257,257.14,0,1170,1170.1981,0,1170,72,72,0,159,159.14,0,26,26,0
"1978-06",2525.0002,2525.0002,0,2525.0002,906,855.6451,50.3549,2525.0002,2525.0002,0,2525.0002,95,95,0,646,595.6451,50.3549,165,165,0
"1978-07",2221.9998,2222.1189,0,2221.9998,495,464,31,2221.9998,2222.1189,0,2221.9998,96,96,0,304,304,0,95,64,31
"1978-08",1350,1350.0001,0,1350,303,209.0008,93.9992,1350,1350.0001,0,1350,80,80,0,183,129.0008,53.9992,40,0,40
"1978-09",939.0001,939.0001,0,939.0001,214,78.3749,135.6251,939.0001,939.0001,0,939.0001,67,67,0,128,11.3749,116.6251,19,0,19
"1978-10",511,511.0594,0,511,124,55,69,511,511.0594,0,511,55,55,0,69,0,69,0,0,0
"1978-11",112,112,0,112,49,49,0,112,112,0,112,49,49,0,0,0,0,0,0,0
"1978-12",55,55,0,55,59,59,0,55,55,0,55,59,59,0,0,0,0,0,0,0
"1979-01",9,9,0,9,57,57,0,9,9,0,9,57,57,0,0,0,0,0,0,0
"1979-02",4,4,0,4,53,53,0,4,4,0,4,53,53,0,0,0,0,0,0,0
"1979-03",7,7,0,7,62,62,0,7,7,0,7,62,62,0,0,0,0,0,0,0
"1979-04",231,231.2574,0,231,91,91,0,231,231.2574,0,231,60,60,0,31,31,0,0,0,0
"1979-05",1222,1222.1188,0,1222,265,265,0,1222,1222.1188,0,1222,72,72,0,167,167,0,26,26,0
"1979-06",2273.9998,2274.0398,0,2273.9998,601,601,0,2273.9998,2274.0398,0,2273.9998,95,95,0,341,341,0,165,165,0
"1979-07",2231,2231.2576,0,2231,561,561,0,2231,2231.2576,0,2231,96,96,0,370,370,0,95,95,0
"1979-08",861.0001,861.0001,0,861.0001,289,289,0,861.0001,861.0001,0,861.0001,80,80,0,169,169,0,40,40,0
"1979-09",1211,1211.0594,0,1211,251,230.8756,20.1244,1211,1211.0594,0,1211,67,67,0,165,145.8756,19.1244,19,18,1
"1979-10",557,557.2178,0,557,131,96,35,557,557.2178,0,557,55,55,0,76,41,35,0,0,0
"1979-11",53,53,0,53,49,49,0,53,53,0,53,49,49,0,0,0,0,0,0,0
"1979-12",37,37,0,37,59,59,0,37,37,0,37,59,59,0,0,0,0,0,0,0
"1980-01",40,40,0,40,57,57,0,40,40,0,40,57,57,0,0,0,0,0,0,0
"1980-02",32,32,0,32,53,53,0,32,32,0,32,53,53,0,0,0,0,0,0,0
"1980-03",35,35,0,35,62,62,0,35,35,0,35,62,62,0,0,0,0,0,0,0
"1980-04",235,235.099,0,235,91,91.26,0,235,235.099,0,235,60,60,0,31,31.26,0,0,0,0
"1980-05",1235,1235.099,0,1235,267,267,0,1235,1235.099,0,1235,72,72,0,169,169,0,26,26,0
"1980-06",2465,2465.0002,0,2465.0002,629,629,0,2465,2465.0002,0,2465.0002,95,95,0,369,369,0,165,165,0
"1980-07",2413,2413,0,2413,519,519,0,2413,2413,0,2413,96,96,0,328,328,0,95,95,0
"1980-08",1050,1050,0,1050,263,263,0,1050,1050,0,1050,80,80,0,143,143,0,40,40,0
"1980-09",817,817,0,817,197,197.06,0,817,817,0,817,67,67,0,111,111.06,0,19,19,0
"1980-10",345,345,0,345,134,110.2624,23.7376,345,345,0,345,55,55,0,79,55.2624,23.7376,0,0,0
"1980-11",29,29,0,29,49,49,0,29,29,0,29,49,49,0,0,0,0,0,0,0
"1980-12",7,7,0,7,59,59,0,7,7,0,7,59,59,0,0,0,0,0,0,0
"1981-01",9,9,0,9,57,57,0,9,9,0,9,57,57,0,0,0,0,0,0,0
"1981-02",9,9,0,9,53,53,0,9,9,0,9,53,53,0,0,0,0,0,0,0
"1981-03",4,4,0,4,62,62,0,4,4,0,4,62,62,0,0,0,0,0,0,0
"1981-04",167,167,0,167,82,82.12,0,167,167,0,167,60,60,0,22,22.12,0,0,0,0
"1981-05",1152,1152,0,1152,319,319,0,1152,1152,0,1152,72,72,0,221,221,0,26,26,0
"1981-06",2356,2356,0,2356,666,666,0,2356,2356,0,2356,95,95,0,406,406,0,165,165,0
"1981-07",1596,1596.1583,0,1596,425,425,0,1596,1596.1583,0,1596,96,96,0,234,234,0,95,95,0
"1981-08",761,761.0594,0,761,224,224,0,761,761.0594,0,761,80,80,0,104,104,0,40,40,0
"1981-09",867,867,0,867,235,235,0,867,867,0,867,67,67,0,149,149,0,19,19,0
"1981-10",349,349,0,349,145,145,0,349,349,0,349,55,55,0,90,90,0,0,0,0
"1981-11",3,3,0,3,49,49,0,3,3,0,3,49,49,0,0,0,0,0,0,0
"1981-12",8,8,0,8,59,59,0,8,8,0,8,59,59,0,0,0,0,0,0,0
"1982-01",7,7,0,7,57,57,0,7,7,0,7,57,57,0,0,0,0,0,0,0
"1982-02",2,2,0,2,53,53,0,2,2,0,2,53,53,0,0,0,0,0,0,0
"1982-03",3,3,0,3,62,62,0,3,3,0,3,62,62,0,0,0,0,0,0,0
"1982-04",276,276,0,276,97,97.02,0,276,276,0,276,60,60,0,37,37.02,0,0,0,0
"1982-05",1211,1211.0594,0,1211,263,263,0,1211,1211.0594,0,1211,72,72,0,165,165,0,26,26,0
"1982-06",2331.0002,2331.2573,0,2331.0002,609,609,0,2331.0002,2331.2573,0,2331.0002,95,95,0,349,349,0,165,165,0
"1982-07",2050,2050,0,2050,571,571,0,2050,2050,0,2050,96,96,0,380,380,0,95,95,0
"1982-08",1040.9999,1040.9999,0,1040.9999,227,227.22,0,1040.9999,1040.9999,0,1040.9999,80,80,0,107,107.22,0,40,40,0
"1982-09",647,647,0,647,162,162,0,647,647,0,647,67,67,0,76,76,0,19,19,0
"1982-10",259,259.1386,0,259,90,90.1,0,259,259.1386,0,259,55,55,0,35,35.1,0,0,0,0
"1982-11",0,0,0,0,49,49,0,0,0,0,0,49,49,0,0,0,0,0,0,0
"1982-12",0,0,0,0,59,59,0,0,0,0,0,59,59,0,0,0,0,0,0,0
"1983-01",0,0,0,0,57,57,0,0,0,0,0,57,57,0,0,0,0,0,0,0
"1983-02",0,0,0,0,53,53,0,0,0,0,0,53,53,0,0,0,0,0,0,0
"1983-03",3,3,0,3,62,62,0,3,3,0,3,62,62,0,0,0,0,0,0,0
"1983-04",102,102,0,102,73,73,0,102,102,0,102,60,60,0,13,13,0,0,0,0
"1983-05",1478.0001,1478.0002,0,1478.0001,300,300,0,1478.0001,1478.0002,0,1478.0001,72,72,0,202,202,0,26,26,0
"1983-06",1940.9999,1940.9999,0,1940.9999,552,552,0,1940.9999,1940.9999,0,1940.9999,95,95,0,292,292,0,165,165,0
"1983-07",2067,2067,0,2067,546,546,0,2067,2067,0,2067,96,96,0,355,355,0,95,95,0
"1983-08",887,887.0198,0,887,265,265,0,887,887.0198,0,887,80,80,0,145,145,0,40,40,0
"1983-09",857,857.2178,0,857,242,242,0,857,857.2178,0,857,67,67,0,156,156,0,19,19,0
"1983-10",383,383.1782,0,383,107,107,0,383,383.1782,0,383,55,55,0,52,52,0,0,0,0
"1983-11",43,43,0,43,49,49,0,43,43,0,43,49,49,0,0,0,0,0,0,0
"1983-12",0,0,0,0,59,59,0,0,0,0,0,59,59,0,0,0,0,0,0,0
"1984-01",0,0,0,0,57,57,0,0,0,0,0,57,57,0,0,0,0,0,0,0
"1984-02",0,0,0,0,53,53,0,0,0,0,0,53,53,0,0,0,0,0,0,0
"1984-03",1,1,0,1,62,62,0,1,1,0,1,62,62,0,0,0,0,0,0,0
"1984-04",226,226,0,226,91,91.26,0,226,226,0,226,60,60,0,31,31.26,0,0,0,0
"1984-05",1734.9999,1735.0989,0,1734.9999,335,335.02,0,1734.9999,1735.0989,0,1734.9999,72,72,0,237,237.02,0,26,26,0
"1984-06",1948,1948.0792,0,1948,552,552,0,1948,1948.0792,0,1948,95,95,0,292,292,0,165,165,0
"1984-07",2069,2069,0,2069,472,472.26,0,2069,2069,0,2069,96,96,0,281,281.26,0,95,95,0
"1984-08",971,971,0,971,218,218.08,0,971,971,0,971,80,80,0,98,98.08,0,40,40,0
"1984-09",935,935.099,0,935,301,301,0,935,935.099,0,935,67,67,0,215,215,0,19,19,0
"1984-10",142,142,0,142,549,549,0,142,142,0,142,55,55,0,494,494,0,0,0,0
"1984-11",61,61,0,61,49,49,0,61,61,0,61,49,49,0,0,0,0,0,0,0
