"Date","80_AGG_IrrigDemand","80_AGG_IrrigSupply","80_AGG_IrrigShortage","80_AGG_IrrigSupDirectFlow","80_AGG_MunDemand","80_AGG_MunSupply","80_AGG_MunShortage","8000774_D_IrrigDemand","8000774_D_IrrigSupply","8000774_D_IrrigSupply_1","8000774_D_IrrigShortage","8000774_D_IrrigShortage_1","8000774_D_IrrigSupDirectFlow","8000774_D_IrrigSupDirectFlow_1","8000732_D_IrrigDemand","8000732_D_IrrigSupply","8000732_D_IrrigSupply_1","8000732_D_IrrigShortage","8000732_D_IrrigShortage_1","8000732_D_IrrigSupDirectFlow","8000732_D_IrrigSupDirectFlow_1","8000812_IrrigDemand","8000812_IrrigDemand_1","8000812_IrrigSupply","8000812_IrrigSupply_1","8000812_IrrigShortage","8000812_IrrigShortage_1","8000812_IrrigSupDirectFlow","8000812_IrrigSupDirectFlow_1","8000799_D_IrrigDemand","8000799_D_IrrigSupply","8000799_D_IrrigSupply_1","8000799_D_IrrigShortage","8000799_D_IrrigShortage_1","8000799_D_IrrigSupDirectFlow","8000799_D_IrrigSupDirectFlow_1","8000662_D_IrrigDemand","8000662_D_IrrigDemand_1","8000662_D_IrrigSupply","8000662_D_IrrigSupply_1","8000662_D_IrrigShortage","8000662_D_IrrigShortage_1","8000662_D_IrrigSupDirectFlow","8000662_D_IrrigSupDirectFlow_1","8000794_IrrigDemand","8000794_IrrigDemand_1","8000794_IrrigSupply","8000794_IrrigSupply_1","8000794_IrrigShortage","8000794_IrrigShortage_1","8000794_IrrigSupDirectFlow","8000794_IrrigSupDirectFlow_1","8000651_IrrigDemand","8000651_IrrigDemand_1","8000651_IrrigSupply","8000651_IrrigSupply_1","8000651_IrrigShortage","8000651_IrrigShortage_1","8000651_IrrigSupDirectFlow","8000651_IrrigSupDirectFlow_1","8000657_D_IrrigDemand","8000657_D_IrrigDemand_1","8000657_D_IrrigSupply","8000657_D_IrrigSupply_1","8000657_D_IrrigShortage","8000657_D_IrrigShortage_1","8000657_D_IrrigSupDirectFlow","8000657_D_IrrigSupDirectFlow_1","8000673_D_IrrigDemand","8000673_D_IrrigDemand_1","8000673_D_IrrigSupply","8000673_D_IrrigSupply_1","8000673_D_IrrigShortage","8000673_D_IrrigShortage_1","8000673_D_IrrigSupDirectFlow","8000673_D_IrrigSupDirectFlow_1","8000784_IrrigDemand","8000784_IrrigDemand_1","8000784_IrrigSupply","8000784_IrrigSupply_1","8000784_IrrigShortage","8000784_IrrigShortage_1","8000784_IrrigSupDirectFlow","8000784_IrrigSupDirectFlow_1","8000713_IrrigDemand","8000713_IrrigDemand_1","8000713_IrrigSupply","8000713_IrrigSupply_1","8000713_IrrigShortage","8000713_IrrigShortage_1","8000713_IrrigSupDirectFlow","8000713_IrrigSupDirectFlow_1","8000829_D_IrrigDemand","8000829_D_IrrigDemand_1","8000829_D_IrrigSupply","8000829_D_IrrigSupply_1","8000829_D_IrrigShortage","8000829_D_IrrigShortage_1","8000829_D_IrrigSupDirectFlow","8000829_D_IrrigSupDirectFlow_1","8000759_IrrigDemand","8000759_IrrigDemand_1","8000759_IrrigSupply","8000759_IrrigSupply_1","8000759_IrrigShortage","8000759_IrrigShortage_1","8000759_IrrigSupDirectFlow","8000759_IrrigSupDirectFlow_1","8000792_IrrigDemand","8000792_IrrigDemand_1","8000792_IrrigSupply","8000792_IrrigSupply_1","8000792_IrrigShortage","8000792_IrrigShortage_1","8000792_IrrigSupDirectFlow","8000792_IrrigSupDirectFlow_1","8000667_IrrigDemand","8000667_IrrigDemand_1","8000667_IrrigSupply","8000667_IrrigSupply_1","8000667_IrrigShortage","8000667_IrrigShortage_1","8000667_IrrigSupDirectFlow","8000667_IrrigSupDirectFlow_1","8000831_D_IrrigDemand","8000831_D_IrrigDemand_1","8000831_D_IrrigSupply","8000831_D_IrrigSupply_1","8000831_D_IrrigShortage","8000831_D_IrrigShortage_1","8000831_D_IrrigSupDirectFlow","8000831_D_IrrigSupDirectFlow_1","8000650_IrrigDemand","8000650_IrrigDemand_1","8000650_IrrigSupply","8000650_IrrigSupply_1","8000650_IrrigShortage","8000650_IrrigShortage_1","8000650_IrrigSupDirectFlow","8000650_IrrigSupDirectFlow_1","80_ADP001_IrrigDemand","80_ADP001_IrrigDemand_1","80_ADP001_IrrigSupply","80_ADP001_IrrigSupply_1","80_ADP001_IrrigShortage","80_ADP001_IrrigShortage_1","80_ADP001_IrrigSupDirectFlow","80_ADP001_IrrigSupDirectFlow_1","8000760_IrrigDemand","8000760_IrrigDemand_1","8000760_IrrigSupply","8000760_IrrigSupply_1","8000760_IrrigShortage","8000760_IrrigSupDirectFlow","8000760_IrrigSupDirectFlow_1","8000761_IrrigDemand","8000761_IrrigDemand_1","8000761_IrrigSupply","8000761_IrrigSupply_1","8000761_IrrigShortage","8000761_IrrigShortage_1","8000761_IrrigSupDirectFlow","8000761_IrrigSupDirectFlow_1","8000785_IrrigDemand","8000785_IrrigDemand_1","8000785_IrrigSupply","8000785_IrrigSupply_1","8000785_IrrigShortage","8000785_IrrigShortage_1","8000785_IrrigSupDirectFlow","8000785_IrrigSupDirectFlow_1","80_AMP001_I_MunDemand","80_AMP001_I_MunDemand_1","80_AMP001_I_MunSupply","80_AMP001_I_MunSupply_1","80_AMP001_I_MunShortage","80_AMP001_I_MunShortage_1","80_AMP001_O_MunDemand","80_AMP001_O_MunDemand_1","80_AMP001_O_MunSupply","80_AMP001_O_MunSupply_1","80_AMP001_O_MunShortage","80_AMP001_O_MunShortage_1"
"1970-10",114,102.376,0,108,590.9201,590.9201,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,2,12,12,12.304,12.304,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,2,2,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,3,3,3.29,3.29,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.16,75.16,75.16,75.16,0,0,72.57,72.57,72.57,72.57,0,0
"1970-11",0,7.7419,0,23.2258,311.3772,300.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5286,75.16,75.16,75.16,0,0,0,0,0,0,0,0
"1970-12",106.8,0,0,170,300.64,300.64,0,0,0,0,0,0,0,0,19.6333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.16,75.16,75.16,75.16,0,0,0,0,0,0,0,0
"1971-01",12,0,0,0,300.64,300.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.16,75.16,75.16,75.16,0,0,0,0,0,0,0,0
"1971-02",0,0,0,195.0968,286.0929,300.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8865,75.16,75.16,75.16,0,0,0,0,0,0,0,0
"1971-03",115.8,0,0,0,300.64,300.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.16,75.16,75.16,75.16,0,0,0,0,0,0,0,0
"1971-04",31.6774,31.871,0,28,668.991,487.24,0,3,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9355,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.16,72.7355,75.16,75.16,0,0,93.3,93.3,93.3,0,0,0
"1971-05",3760,3935.8252,128.1748,3970.3296,922.68,922.68,0,33,33,33,0,0,33,33,100,100,100,0,0,100,100,20,20,20,20,0,0,20,20,60,60,60,0,0,60,60,117,117,117,117,0,0,117,117,30,30,18.3096,18.3096,11.6904,11.6904,17.8317,17.8317,6,6,6,6,0,0,6,6,78,78,78,78,0,0,78,78,100,100,100,100,0,0,100,100,80,80,80,80,0,0,80,80,9,9,9,9,0,0,9,9,85,36,85,85,0,0,85,85,41,41,41,41,0,0,41,41,44,44,23.6467,23.6467,20.3533,20.3533,22.7507,22.7507,39,39,39,39,0,0,39,39,70,70,70,0,0,0,70,0,7,7,7,7,0,0,7,7,97,97,97,97,0,0,97,97,18,18,18,18,0,18,18,20,20,20,0,0,0,20,20,7,7,7,7,0,0,7,7,75.16,75.16,75.16,75.16,0,0,155.51,155.51,155.51,155.51,0,0
"1971-06",6788,7103.7656,392.2343,7101.0932,1088.52,1088.52,0,84,84,84,0,0,84,84,190,190,190,0,0,190,190,45,45,45,45,0,0,45,45,80,80,80,0,0,80,80,192,192,192,192,0,0,192,192,56,56,17.9246,17.9246,38.0754,38.0754,17.2564,17.2564,9,9,9,9,0,0,9,9,105,105,105,105,0,0,105,105,204,204,204,204,0,0,204,204,139,139,139,139,0,0,139,139,26,26,26,26,0,0,26,26,129,129,129,129,0,0,129,129,65,65,65,65,0,0,65,65,82,82,22.0168,22.0168,59.9831,59.9831,22.0168,22.0168,79,79,79,79,0,0,79,79,112,112,112,112,0,0,112,112,21,21,21,21,0,0,21,21,169,169,169,169,0,0,169,169,30,30,30,30,0,30,30,38,38,38,38,0,0,38,38,19,19,19,19,0,0,19,19,75.16,75.16,75.16,75.16,0,0,196.97,196.97,196.97,196.97,0,0
"1971-07",2894,2946.3616,97.6704,3042.3297,1130,1130,0,22,22,22,0,0,22,22,83,83,83,0,0,83,83,18,18,18,18,0,0,18,18,18,18,18,0,0,18,18,96,96,96,96,0,0,96,96,24,24,17.8317,17.8317,6.1683,6.1683,17.8317,17.8317,3,3,3,3,0,0,3,3,57,57,57,57,0,0,57,57,52,52,52,0,0,0,52,52,63,63,63,63,0,0,63,63,12,12,12,12,0,0,12,12,62,62,64.008,64.008,0,0,62,62,40,40,40,40,0,0,40,40,41,41,22.7507,22.7507,18.2493,18.2493,22.7507,22.7507,38,38,38,38,0,0,38,38,36,36,36,36,0,0,36,36,6,6,6,6,0,0,6,6,78,78,78,78,0,0,78,78,11,11,11,11,0,11,11,17,17,17,17,0,0,17,17,8,8,8,8,0,0,8,8,75.16,75.16,75.16,75.16,0,0,207.34,207.34,207.34,207.34,0,0
