"district","type","extraction_template","pathrepl","noderepl","varrepl","typerepl","final"
"01","IrrigDemand","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""PATHREPL"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""statemod_output_district_NODEREPL.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""01*"",OutputFile=""statemod_output_district_01.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""01*"",OutputFile=""statemod_output_district_01.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""01*"",OutputFile=""statemod_output_district_01.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""01*"",OutputFile=""statemod_output_district_01.csv"",ValueColumns=""%A"")"
"02","IrrigDemand","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""PATHREPL"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""statemod_output_district_NODEREPL.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""02*"",OutputFile=""statemod_output_district_02.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""02*"",OutputFile=""statemod_output_district_02.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""02*"",OutputFile=""statemod_output_district_02.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""02*"",OutputFile=""statemod_output_district_02.csv"",ValueColumns=""%A"")"
"04","IrrigDemand","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""PATHREPL"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""statemod_output_district_NODEREPL.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""04*"",OutputFile=""statemod_output_district_04.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""04*"",OutputFile=""statemod_output_district_04.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""04*"",OutputFile=""statemod_output_district_04.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""04*"",OutputFile=""statemod_output_district_04.csv"",ValueColumns=""%A"")"
"05","IrrigDemand","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""PATHREPL"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""statemod_output_district_NODEREPL.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""05*"",OutputFile=""statemod_output_district_05.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""05*"",OutputFile=""statemod_output_district_05.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""05*"",OutputFile=""statemod_output_district_05.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""05*"",OutputFile=""statemod_output_district_05.csv"",ValueColumns=""%A"")"
"06","IrrigDemand","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""PATHREPL"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""statemod_output_district_NODEREPL.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""06*"",OutputFile=""statemod_output_district_06.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""06*"",OutputFile=""statemod_output_district_06.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""06*"",OutputFile=""statemod_output_district_06.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""06*"",OutputFile=""statemod_output_district_06.csv"",ValueColumns=""%A"")"
"07","IrrigDemand","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""PATHREPL"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""statemod_output_district_NODEREPL.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""07*"",OutputFile=""statemod_output_district_07.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""07*"",OutputFile=""statemod_output_district_07.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""07*"",OutputFile=""statemod_output_district_07.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""07*"",OutputFile=""statemod_output_district_07.csv"",ValueColumns=""%A"")"
"08","IrrigDemand","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""PATHREPL"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""statemod_output_district_NODEREPL.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""08*"",OutputFile=""statemod_output_district_08.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""08*"",OutputFile=""statemod_output_district_08.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""08*"",OutputFile=""statemod_output_district_08.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""08*"",OutputFile=""statemod_output_district_08.csv"",ValueColumns=""%A"")"
"09","IrrigDemand","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""PATHREPL"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""statemod_output_district_NODEREPL.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""09*"",OutputFile=""statemod_output_district_09.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""09*"",OutputFile=""statemod_output_district_09.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""09*"",OutputFile=""statemod_output_district_09.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""09*"",OutputFile=""statemod_output_district_09.csv"",ValueColumns=""%A"")"
"23","IrrigDemand","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""PATHREPL"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""statemod_output_district_NODEREPL.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""23*"",OutputFile=""statemod_output_district_23.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""23*"",OutputFile=""statemod_output_district_23.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""23*"",OutputFile=""statemod_output_district_23.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""23*"",OutputFile=""statemod_output_district_23.csv"",ValueColumns=""%A"")"
"28","IrrigDemand","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""PATHREPL"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""NODEREPL*"",OutputFile=""statemod_output_district_NODEREPL.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""28*"",OutputFile=""statemod_output_district_28.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""28*"",OutputFile=""statemod_output_district_28.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""28*"",OutputFile=""statemod_output_district_28.csv"",ValueColumns=""%A"")","WriteDelimitedFile(TSList=AllTS,TSID=""28*"",OutputFile=""statemod_output_district_28.csv"",ValueColumns=""%A"")"
